liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Won,Time Played,Times Tackled,Total Big Chances Created,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels,Aerial Duels lost,Blocks,Foul Attempted Tackle,Leftside Passes,Total Clearances,Total Fouls Conceded,Unsuccessful Passes Own Half,Yellow Cards,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Corners Won,Shots On Target ( inc goals ),Substitute On,Throw Ins to Own Player,Total Big Chances Missed,Total Shots,Unsuccessful Long Passes,Corners Taken (incl short corners),Successful Corners into Box,Successful Lay-offs,Unsuccessful Dribbles,Attempts from Set Pieces,Red Cards - 2nd Yellow,Total Red Cards,Unsuccessful Corners into Box,Unsuccessful Launches,Unsuccessful lay-offs,Goals,Goals Openplay,Goals from Inside Box,Left Foot Goals,Tackles Lost,Home Goals,Away Goals,Overruns,Goal Assists,Successful Launches,Successful Long Passes,Aerial Duels won,GK Successful Distribution,Goal Kicks,Catches,GK Unsuccessful Distribution,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Blocked Shots,Goals Conceded Outside Box,Shots Off Target (inc woodwork),Offsides,Assists (Intentional),Hit Woodwork,Headed Goals,Throw Ins to Opposition Player,Total Big Chances Scored,Right Foot Goals,Total Big Chances Saved,Goals from Outside Box,Handballs conceded,Clean Sheets,Through balls,Second Goal Assists,Goalkeeper Smother,Clearances Off the Line,Saves made - caught,Straight Red Cards,Last Player Tackle,Other Goals,Own Goal Scored,Drops,Penalty Goals Conceded,Penalties Faced,Penalties Conceded,Direct Setpiece Goals,Set Pieces Goals,Foul Won Penalty,Penalties Taken,Penalty Goals
USA_USL_Cup,2026,Detroit City FC,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,Defender,30,1.0,2.0,,6.0,,6.0,1.0,22.0,1.0,,,3.0,,3.0,2.0,,45.0,,1.0,1.0,3.0,4.0,1.0,1.0,,,,,38.0,14.0,29.0,43.0,,90.0,,,3.0,8.0,50.0,43.0,,1.0,7.0,67.0,4.0,5.0,0.0,3.0,,1.0,,22.0,7.0,,3.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,Forward,15,1.0,1.0,,3.0,2.0,1.0,4.0,2.0,1.0,,,2.0,2.0,,,,5.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,2.0,3.0,,2.0,,17.0,2.0,,,5.0,5.0,2.0,,,3.0,11.0,3.0,3.0,0.0,1.0,,,,1.0,,,,,,,2.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,7o3vvz5w2ftz08ba23b79mgkq,A. Diop,Midfielder,8,1.0,2.0,,7.0,3.0,4.0,4.0,4.0,1.0,,,4.0,3.0,1.0,1.0,,13.0,,,,,5.0,,,,,,,12.0,9.0,3.0,11.0,,45.0,,,1.0,3.0,13.0,12.0,,,1.0,19.0,2.0,1.0,0.0,3.0,,,2.0,2.0,,3.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,1cqnjzgntshx2ag3crh0p2uzu,A. Diouf,Forward,32,1.0,5.0,,8.0,3.0,5.0,9.0,2.0,1.0,,,7.0,2.0,5.0,,,14.0,,4.0,1.0,,5.0,,1.0,1.0,,,2.0,10.0,7.0,3.0,10.0,,73.0,1.0,,3.0,8.0,14.0,10.0,,3.0,4.0,27.0,5.0,4.0,0.0,1.0,1.0,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,Midfielder,22,1.0,5.0,,,,,7.0,5.0,1.0,,,,,,,1.0,25.0,,,,3.0,,1.0,1.0,1.0,,,,18.0,9.0,9.0,18.0,,61.0,,,,11.0,25.0,18.0,,2.0,7.0,31.0,6.0,5.0,0.0,,,,,15.0,,,2.0,,1.0,,,,,1.0,,,2.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,974nt2pay3nvbe8uyzx0qdhxw,C. Herrera,Goalkeeper,1,1.0,,,1.0,,1.0,,8.0,1.0,,,,,,,,13.0,,,,9.0,6.0,,1.0,,,,,12.0,,15.0,14.0,,90.0,,,,5.0,20.0,15.0,,,5.0,32.0,4.0,,0.0,1.0,,,,6.0,,,1.0,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,9.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,Defender,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,2x500ds4ke374qi3jcpdi1wtm,C. Montgomery,Defender,4,1.0,4.0,,9.0,5.0,4.0,1.0,24.0,1.0,,,5.0,4.0,1.0,,,50.0,,,,5.0,17.0,,1.0,,,,,47.0,11.0,40.0,50.0,,90.0,,,1.0,4.0,54.0,51.0,,1.0,3.0,67.0,2.0,2.0,0.0,4.0,1.0,1.0,3.0,9.0,7.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,Forward,9,1.0,1.0,,6.0,3.0,3.0,7.0,1.0,1.0,,,5.0,2.0,3.0,,,4.0,,1.0,1.0,,2.0,,1.0,1.0,,,,3.0,3.0,,3.0,1.0,45.0,2.0,,1.0,7.0,4.0,3.0,2.0,1.0,1.0,18.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Detroit City FC,7jizpx7yu2zxvcrnf9z4408vd,Rhys Williams,Defender,2,1.0,2.0,,8.0,4.0,4.0,7.0,1.0,1.0,,,7.0,4.0,3.0,,,5.0,,1.0,,2.0,,,,,,,,3.0,2.0,1.0,3.0,1.0,29.0,2.0,,1.0,6.0,5.0,3.0,2.0,1.0,2.0,15.0,2.0,2.0,0.0,1.0,,,1.0,2.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
