liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Games Played,Headed Goals,Ground Duels lost,Leftside Passes,Clearances Off the Line,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Offsides,Successful Lay-offs,Right Foot Goals,Successful Crosses & Corners,Successful Corners into Box,Throw Ins to Opposition Player,Corners Taken (incl short corners),Goals from Outside Box,Attempts from Set Pieces,Successful Crosses open play,Left Foot Goals,Unsuccessful Crosses & Corners,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Penalties Taken,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Penalties Conceded,Total Red Cards,Straight Red Cards,Hit Woodwork,Last Man Tackle,Red Cards - 2nd Yellow,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Second Goal Assists,Own Goal Scored,Set Pieces Goals,Crosses not Claimed,Penalties Off Target,Penalties Saved,Saves from Penalty
USA_USL_League_One,2019,Forward Madison FC,84b0srjzbt28iqdk80oyh9pzp,J. Banks,Forward,29,2377.0,7.0,2.0,5.0,5.0,786.0,16.0,114.0,394.0,20.0,4.0,59.0,21.0,24.0,5.0,35.0,285.0,294.0,41.0,105.0,2.0,836.0,4.0,23.0,39.0,612.0,20.0,44.0,164.0,210.0,39.0,178.0,8.0,144.0,26.0,31.0,30.0,1280.0,28.0,12.0,5.0,207.0,297.0,56.0,10.0,147.0,20.0,60.0,48.0,23.0,13.0,265.0,30.0,25.0,28.0,,83.0,215.0,,5.0,625.0,672.0,58.0,7.0,27.0,118.0,14.0,25.0,124.0,27.0,7.0,9.0,3.0,16.0,14.0,,33.0,,3.0,2.0,2.0,44.0,12.0,,1.0,,2.0,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,
USA_USL_League_One,2019,Forward Madison FC,bpddvnzqyy1yqrz3m2gorjai,B. Barnes,Goalkeeper,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Forward Madison FC,c1s4trz9x0b7lhnwoooqsp0fe,J. Toyama,Defender,77,945.0,14.0,17.0,2.0,,290.0,7.0,74.0,152.0,3.0,2.0,11.0,15.0,2.0,2.0,15.0,135.0,91.0,22.0,43.0,2.0,292.0,7.0,21.0,24.0,230.0,10.0,4.0,54.0,70.0,10.0,58.0,4.0,66.0,9.0,22.0,13.0,562.0,26.0,12.0,,155.0,105.0,17.0,10.0,90.0,2.0,8.0,40.0,5.0,18.0,175.0,8.0,12.0,26.0,,70.0,43.0,,,237.0,238.0,20.0,,18.0,85.0,4.0,24.0,85.0,13.0,3.0,3.0,,5.0,3.0,2.0,7.0,,,2.0,,17.0,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Forward Madison FC,avh1715j0qu1hbbat4b7ovbze,Z. Bartley,Midfielder,17,152.0,1.0,8.0,,,52.0,1.0,10.0,30.0,,1.0,4.0,2.0,1.0,,7.0,33.0,14.0,4.0,9.0,1.0,55.0,1.0,5.0,2.0,38.0,3.0,1.0,13.0,12.0,1.0,12.0,1.0,3.0,1.0,3.0,2.0,97.0,9.0,3.0,1.0,30.0,12.0,2.0,10.0,18.0,,4.0,7.0,6.0,5.0,43.0,,3.0,9.0,,18.0,21.0,,,40.0,42.0,13.0,,3.0,25.0,1.0,1.0,12.0,1.0,,1.0,,2.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Forward Madison FC,hwiky3rrlzjvzxow970bbcvd,B. Bement,Forward,14,521.0,,16.0,,2.0,158.0,5.0,56.0,79.0,2.0,5.0,5.0,1.0,4.0,4.0,33.0,95.0,36.0,10.0,47.0,,164.0,3.0,20.0,8.0,108.0,3.0,9.0,52.0,35.0,17.0,49.0,3.0,19.0,3.0,2.0,7.0,272.0,19.0,12.0,1.0,66.0,33.0,29.0,10.0,41.0,5.0,4.0,6.0,17.0,4.0,116.0,2.0,7.0,19.0,,42.0,40.0,,2.0,106.0,112.0,50.0,,8.0,75.0,2.0,3.0,24.0,4.0,1.0,7.0,1.0,3.0,1.0,,1.0,,,2.0,1.0,4.0,,1.0,1.0,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Forward Madison FC,apf8q4a5prhsiw3dk6yblkt0p,L. Bennett II,Midfielder,21,223.0,1.0,7.0,,,121.0,,24.0,52.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,34.0,59.0,5.0,15.0,1.0,129.0,,8.0,2.0,97.0,4.0,2.0,21.0,35.0,1.0,16.0,,22.0,2.0,1.0,11.0,172.0,9.0,2.0,1.0,24.0,43.0,1.0,10.0,12.0,1.0,11.0,4.0,1.0,1.0,28.0,,5.0,9.0,,13.0,27.0,,,102.0,108.0,4.0,,3.0,16.0,2.0,4.0,11.0,4.0,1.0,,,3.0,2.0,,6.0,,,1.0,,6.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Forward Madison FC,24phk71hogkxcnzqcjgvfb105,R. Coulter,Goalkeeper,1,630.0,,,16.0,,62.0,,,22.0,45.0,1.0,82.0,,,,,84.0,66.0,,,2.0,170.0,,,,52.0,7.0,,82.0,27.0,,62.0,,48.0,7.0,,20.0,238.0,7.0,,,,118.0,,10.0,3.0,,36.0,1.0,3.0,,3.0,4.0,7.0,7.0,,,25.0,,,30.0,88.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,72.0,1.0,,,6.0,13.0,8.0,13.0,2.0,,27.0,,,,,1.0,,,
USA_USL_League_One,2019,Forward Madison FC,1wfz5avhq6h41axvxggwa6vvt,A. Danladi,Forward,0,63.0,,,,,16.0,2.0,2.0,7.0,,,,,3.0,,2.0,12.0,2.0,,7.0,,16.0,1.0,,1.0,9.0,,4.0,7.0,5.0,,7.0,,2.0,1.0,,,30.0,1.0,,,5.0,4.0,8.0,10.0,3.0,1.0,,,2.0,1.0,9.0,,,1.0,,4.0,5.0,,,9.0,9.0,4.0,,,6.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Forward Madison FC,akv3da7wngnu21b8mkvwijutx,C. Díaz,Defender,27,2320.0,175.0,1.0,11.0,1.0,959.0,5.0,110.0,380.0,46.0,6.0,85.0,10.0,7.0,5.0,26.0,424.0,357.0,75.0,167.0,3.0,983.0,1.0,23.0,44.0,682.0,20.0,11.0,252.0,254.0,12.0,222.0,1.0,174.0,26.0,22.0,68.0,1707.0,27.0,11.0,8.0,246.0,438.0,22.0,10.0,198.0,4.0,49.0,45.0,36.0,16.0,308.0,57.0,25.0,27.0,,84.0,181.0,,1.0,709.0,731.0,62.0,7.0,53.0,110.0,22.0,56.0,162.0,38.0,2.0,,1.0,6.0,,45.0,,,,6.0,,38.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Forward Madison FC,867s9blcop3abx7p14j9jccfd,B. Eaton,Midfielder,6,410.0,,7.0,,,174.0,3.0,28.0,66.0,2.0,1.0,12.0,4.0,8.0,1.0,9.0,76.0,66.0,11.0,32.0,,176.0,3.0,8.0,6.0,125.0,6.0,14.0,44.0,47.0,4.0,32.0,3.0,26.0,5.0,10.0,13.0,279.0,12.0,5.0,1.0,47.0,49.0,6.0,10.0,28.0,6.0,7.0,6.0,5.0,5.0,61.0,10.0,7.0,12.0,,24.0,52.0,,,130.0,132.0,14.0,,6.0,33.0,5.0,8.0,23.0,1.0,1.0,5.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
