liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Games Played,Headed Goals,Ground Duels lost,Leftside Passes,Clearances Off the Line,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Offsides,Successful Lay-offs,Right Foot Goals,Successful Crosses & Corners,Successful Corners into Box,Throw Ins to Opposition Player,Corners Taken (incl short corners),Goals from Outside Box,Attempts from Set Pieces,Successful Crosses open play,Left Foot Goals,Unsuccessful Crosses & Corners,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Penalties Taken,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Penalties Conceded,Total Red Cards,Straight Red Cards,Hit Woodwork,Last Man Tackle,Red Cards - 2nd Yellow,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Second Goal Assists,Own Goal Scored,Set Pieces Goals,Crosses not Claimed,Penalties Off Target,Penalties Saved,Saves from Penalty
USA_USL_League_One,2019,Greenville Triumph SC,1qrex8sb20ph8yz34gq29s3my,C. Bermúdez,Midfielder,7,1424.0,19.0,7.0,4.0,3.0,394.0,13.0,64.0,185.0,9.0,6.0,25.0,12.0,12.0,1.0,34.0,328.0,81.0,25.0,126.0,,402.0,14.0,24.0,31.0,229.0,14.0,28.0,151.0,116.0,22.0,180.0,6.0,89.0,17.0,34.0,25.0,796.0,24.0,14.0,1.0,165.0,145.0,69.0,10.0,97.0,16.0,22.0,31.0,11.0,23.0,210.0,4.0,15.0,24.0,,79.0,77.0,,3.0,243.0,251.0,45.0,,15.0,113.0,10.0,10.0,86.0,41.0,7.0,4.0,1.0,15.0,5.0,1.0,22.0,,,9.0,2.0,54.0,12.0,1.0,1.0,,1.0,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,dtkckxt7m78cddxmyvm702r8q,D. Boland,Defender,2,1655.0,123.0,9.0,12.0,1.0,637.0,12.0,99.0,222.0,56.0,4.0,109.0,18.0,11.0,1.0,30.0,408.0,197.0,33.0,128.0,1.0,642.0,8.0,24.0,7.0,335.0,11.0,14.0,237.0,22.0,16.0,237.0,4.0,85.0,19.0,33.0,57.0,1127.0,28.0,10.0,4.0,124.0,285.0,19.0,10.0,67.0,3.0,70.0,13.0,17.0,14.0,171.0,28.0,12.0,28.0,,74.0,236.0,,1.0,403.0,405.0,47.0,5.0,22.0,104.0,11.0,30.0,50.0,57.0,1.0,1.0,,14.0,,50.0,,,,14.0,1.0,57.0,,,3.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,eyi8jdk3mcihcrhkymlc21b6x,Choi Sang-Ryeong,Defender,13,32.0,3.0,5.0,,,12.0,,,7.0,,,1.0,,1.0,,1.0,3.0,2.0,1.0,2.0,,12.0,,,2.0,8.0,,1.0,3.0,2.0,,3.0,,1.0,,,,22.0,5.0,,,5.0,5.0,,10.0,5.0,,1.0,1.0,1.0,,7.0,,,5.0,,1.0,5.0,,,9.0,9.0,2.0,,,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,3ivdfynwv7yf8tvgy8uto3aol,P. Clowes,Midfielder,6,1899.0,22.0,6.0,15.0,1.0,925.0,16.0,118.0,405.0,41.0,8.0,91.0,14.0,11.0,2.0,33.0,301.0,312.0,39.0,155.0,1.0,958.0,10.0,48.0,8.0,622.0,15.0,22.0,246.0,230.0,12.0,216.0,6.0,96.0,21.0,30.0,39.0,1245.0,27.0,31.0,3.0,147.0,383.0,17.0,10.0,123.0,11.0,90.0,25.0,53.0,1.0,233.0,32.0,17.0,27.0,,77.0,227.0,,,685.0,712.0,86.0,4.0,24.0,110.0,15.0,27.0,70.0,5.0,,5.0,1.0,5.0,2.0,20.0,5.0,1.0,1.0,3.0,,9.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,55wn70di4d4ehg48fyrugbdre,J. Donnelly,Forward,17,631.0,,1.0,,,122.0,10.0,32.0,62.0,1.0,1.0,2.0,2.0,6.0,,52.0,111.0,15.0,5.0,48.0,1.0,125.0,3.0,15.0,12.0,70.0,5.0,13.0,50.0,32.0,8.0,52.0,3.0,17.0,7.0,10.0,4.0,263.0,8.0,4.0,1.0,78.0,34.0,33.0,10.0,63.0,7.0,5.0,16.0,31.0,6.0,161.0,5.0,5.0,8.0,,46.0,27.0,,,72.0,75.0,83.0,1.0,1.0,98.0,4.0,3.0,32.0,6.0,8.0,7.0,,2.0,,,,,,2.0,,6.0,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,8228opqekl1nxkm0mmqdvm415,D. Greczek,Goalkeeper,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,Midfielder,21,251.0,1.0,15.0,,,143.0,3.0,18.0,82.0,3.0,1.0,11.0,2.0,4.0,,11.0,74.0,27.0,12.0,28.0,,145.0,2.0,9.0,4.0,98.0,3.0,5.0,39.0,39.0,4.0,41.0,8.0,20.0,2.0,9.0,8.0,233.0,17.0,7.0,,38.0,58.0,6.0,10.0,23.0,1.0,8.0,4.0,4.0,2.0,53.0,,3.0,17.0,,19.0,30.0,,,105.0,106.0,15.0,,10.0,30.0,2.0,6.0,19.0,1.0,1.0,,,3.0,3.0,2.0,12.0,,1.0,,,10.0,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,dhc0qpcxud7h64y5hx39bd9wq,Carlos Gómez,Midfielder,10,2261.0,1.0,5.0,3.0,7.0,573.0,15.0,141.0,340.0,3.0,3.0,14.0,9.0,14.0,1.0,37.0,252.0,184.0,24.0,97.0,1.0,605.0,9.0,18.0,41.0,472.0,19.0,33.0,111.0,194.0,42.0,126.0,8.0,122.0,24.0,20.0,18.0,994.0,29.0,9.0,,164.0,141.0,82.0,10.0,110.0,19.0,22.0,24.0,23.0,18.0,224.0,6.0,20.0,29.0,,77.0,129.0,,7.0,468.0,494.0,60.0,7.0,19.0,114.0,5.0,26.0,87.0,6.0,4.0,8.0,7.0,30.0,20.0,,44.0,,,3.0,,33.0,20.0,2.0,5.0,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,f0pvxeyui9i0jz7bigb8cfx0p,M. Hemmings,Defender,5,1154.0,49.0,2.0,2.0,,476.0,3.0,103.0,192.0,15.0,3.0,36.0,4.0,9.0,1.0,27.0,195.0,161.0,12.0,99.0,,484.0,4.0,19.0,5.0,340.0,6.0,18.0,135.0,76.0,6.0,119.0,2.0,52.0,13.0,10.0,27.0,713.0,15.0,4.0,4.0,75.0,187.0,29.0,10.0,65.0,9.0,9.0,25.0,29.0,4.0,131.0,18.0,7.0,15.0,,39.0,118.0,,,343.0,349.0,56.0,6.0,8.0,66.0,4.0,9.0,36.0,11.0,2.0,2.0,,4.0,,12.0,,,,4.0,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Greenville Triumph SC,eodra3cclrp6hcng0aif4phhx,D. Jaye,Goalkeeper,22,2610.0,1.0,,83.0,,455.0,2.0,,127.0,160.0,,298.0,,,2.0,3.0,305.0,380.0,2.0,2.0,1.0,807.0,,,,284.0,20.0,,300.0,124.0,,222.0,,244.0,29.0,1.0,78.0,1055.0,29.0,,,6.0,526.0,,10.0,13.0,,223.0,8.0,7.0,,16.0,24.0,22.0,29.0,,,157.0,,,304.0,507.0,10.0,14.0,2.0,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,52.0,266.0,12.0,4.0,1.0,10.0,21.0,16.0,30.0,1.0,1.0,67.0,,,,,1.0,,,
