liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Goals,Right Foot Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Passes Opposition Half,Yellow Cards,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Winning Goal,Successful Crosses & Corners,Unsuccessful Long Passes,Successful Crosses open play,Offsides,Throw Ins to Own Player,Successful Lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Blocks,Successful Long Passes,Left Foot Goals,Clean Sheets,Tackles Lost,Successful Launches,Hit Woodwork,Assists (Intentional),Unsuccessful lay-offs,Goal Assists,Through balls,Throw Ins to Opposition Player,Handballs conceded,Last Man Tackle,Successful Corners into Box,Second Goal Assists,Attempts from Set Pieces,Foul Won Penalty,Headed Goals,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Goals from Outside Box,Clearances Off the Line,Own Goal Scored,Home Goals,Away Goals,Goal Kicks,Crosses not Claimed,Total Red Cards,Red Cards - 2nd Yellow,Drops,Straight Red Cards,Other Goals,Set Pieces Goals,Penalties Off Target
USA_USL_League_One,2020,Greenville Triumph SC,ckefp96qi7xs4yt9n329paajt,A. Booth,Midfielder,19,1.0,108.0,7.0,1.0,1.0,49.0,1.0,4.0,17.0,33.0,,1.0,,4.0,16.0,9.0,8.0,8.0,,50.0,,5.0,1.0,37.0,1.0,5.0,8.0,16.0,3.0,8.0,1.0,7.0,,3.0,1.0,83.0,,7.0,3.0,19.0,9.0,13.0,10.0,13.0,3.0,2.0,2.0,3.0,25.0,4.0,1.0,1.0,7.0,,8.0,8.0,1.0,41.0,42.0,6.0,6.0,12.0,,11.0,0.0,,,,,,1.0,,2.0,,5.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,
USA_USL_League_One,2020,Greenville Triumph SC,bj3zanm7fwttsy6stka2l84b9,P. Christensen,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Greenville Triumph SC,3ivdfynwv7yf8tvgy8uto3aol,P. Clowes,Midfielder,6,1.0,481.0,3.0,,,226.0,2.0,6.0,37.0,96.0,1.0,2.0,1.0,8.0,60.0,97.0,13.0,31.0,,239.0,6.0,5.0,1.0,168.0,4.0,6.0,47.0,54.0,4.0,46.0,4.0,26.0,6.0,4.0,5.0,303.0,,9.0,5.0,32.0,91.0,4.0,10.0,21.0,,3.0,4.0,1.0,44.0,8.0,5.0,4.0,9.0,,15.0,57.0,,180.0,192.0,12.0,8.0,23.0,7.0,17.0,0.0,1.0,16.0,1.0,,2.0,,5.0,6.0,,24.0,,,5.0,4.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Greenville Triumph SC,55wn70di4d4ehg48fyrugbdre,J. Donnelly,Forward,17,10.0,458.0,11.0,1.0,1.0,138.0,5.0,15.0,14.0,77.0,3.0,7.0,1.0,23.0,110.0,12.0,13.0,52.0,,139.0,3.0,8.0,5.0,73.0,1.0,9.0,54.0,39.0,13.0,53.0,1.0,25.0,3.0,15.0,11.0,259.0,,14.0,2.0,53.0,53.0,29.0,10.0,61.0,5.0,8.0,35.0,3.0,111.0,3.0,2.0,10.0,14.0,,27.0,33.0,1.0,84.0,85.0,58.0,7.0,50.0,4.0,26.0,1.0,4.0,2.0,4.0,7.0,1.0,,,4.0,,12.0,,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
USA_USL_League_One,2020,Greenville Triumph SC,9te8786y0k6pgwzf4szprlm5m,C. Dowler,Midfielder,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Greenville Triumph SC,ee12f0u7m07sw81xkozouyd3p,B. Fricke,Defender,15,1.0,1300.0,,1.0,,696.0,2.0,3.0,27.0,158.0,1.0,5.0,4.0,20.0,163.0,400.0,12.0,64.0,,712.0,3.0,11.0,5.0,458.0,6.0,5.0,154.0,123.0,2.0,107.0,3.0,60.0,15.0,7.0,48.0,843.0,,15.0,5.0,43.0,297.0,13.0,10.0,56.0,2.0,7.0,32.0,,95.0,48.0,10.0,1.0,15.0,,19.0,265.0,1.0,545.0,558.0,52.0,10.0,39.0,11.0,24.0,0.0,,90.0,,,,,35.0,3.0,17.0,100.0,,6.0,2.0,6.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,1.0,,1.0,,,1.0,1.0,,
USA_USL_League_One,2020,Greenville Triumph SC,dhc0qpcxud7h64y5hx39bd9wq,Carlos Gómez,Midfielder,10,8.0,622.0,1.0,,,139.0,2.0,10.0,41.0,67.0,,8.0,2.0,8.0,68.0,41.0,6.0,27.0,,141.0,6.0,3.0,5.0,103.0,3.0,10.0,34.0,23.0,5.0,37.0,3.0,35.0,8.0,12.0,5.0,236.0,,9.0,1.0,30.0,48.0,17.0,10.0,22.0,3.0,1.0,10.0,6.0,48.0,1.0,5.0,8.0,9.0,,18.0,29.0,,106.0,107.0,18.0,3.0,26.0,10.0,12.0,0.0,1.0,7.0,1.0,,,3.0,2.0,7.0,,4.0,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Greenville Triumph SC,a8t6v344qzil1g1kmji8l3rv9,H. Hawkins,Defender,2,,104.0,3.0,,,46.0,,,5.0,8.0,1.0,,,,9.0,29.0,2.0,3.0,,46.0,2.0,1.0,1.0,32.0,,1.0,9.0,17.0,,6.0,,7.0,2.0,,3.0,69.0,,5.0,1.0,8.0,20.0,1.0,10.0,8.0,,2.0,3.0,,11.0,9.0,,,5.0,,3.0,4.0,,37.0,37.0,3.0,2.0,3.0,1.0,5.0,0.0,,6.0,,,4.0,,3.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Greenville Triumph SC,f0pvxeyui9i0jz7bigb8cfx0p,M. Hemmings,Midfielder,5,,45.0,1.0,,,24.0,,1.0,3.0,12.0,,2.0,,,3.0,10.0,2.0,2.0,,24.0,,,,19.0,1.0,,2.0,5.0,,1.0,,2.0,,2.0,1.0,32.0,,1.0,,3.0,7.0,,10.0,2.0,,,,,3.0,2.0,1.0,,1.0,,1.0,9.0,,22.0,22.0,,1.0,1.0,,2.0,0.0,,,,,,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Greenville Triumph SC,eodra3cclrp6hcng0aif4phhx,D. Jaye,Goalkeeper,22,,1440.0,,,,288.0,,,,74.0,1.0,,4.0,1.0,162.0,270.0,1.0,3.0,,501.0,,,,238.0,7.0,,157.0,89.0,,113.0,,133.0,16.0,,44.0,615.0,,16.0,,3.0,298.0,,10.0,5.0,,4.0,2.0,,6.0,13.0,11.0,,16.0,,,114.0,,218.0,344.0,3.0,1.0,1.0,,3.0,0.0,,154.0,,,,,68.0,,,106.0,,9.0,,24.0,,,,,,,,,,,,,,,,32.0,136.0,,5.0,,,4.0,16.0,8.0,16.0,,,1.0,42.0,,,,,,123.0,3.0,,,,,,,
