liga,temporada,equipo,id,nombre,posicion,dorsal,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Through balls,Total Clearances,Penalty Goals Conceded,Unsuccessful Passes Own Half,Successful Long Passes,Index,Clean Sheets,Leftside Passes,Unsuccessful Launches,Successful Dribbles,Open Play Passes,Interceptions,PutThrough/Blocked Distribution Won,Successful Passes Own Half,Successful Open Play Passes,Aerial Duels lost,Total Fouls Won,Key Passes (Attempt Assists),Blocks,Unsuccessful Long Passes,Times Tackled,Tackles Won,Successful Short Passes,Goals Conceded Outside Box,Throw Ins to Own Player,PutThrough/Blocked Distribution,Successful Launches,Goals Conceded Inside Box,Ground Duels lost,Blocked Shots,Total Fouls Conceded,Total Losses Of Possession,Unsuccessful Short Passes,Successful Crosses & Corners,Total Tackles,Starts,Successful Crosses open play,Recoveries,Unsuccessful Passes Opposition Half,Forward Passes,Tackles Lost,Touches,Time Played,Successful Passes Opposition Half,Goals Conceded,Appearances,Substitute Off,Games Played,Duels lost,Aerial Duels,Backward Passes,Substitute On,Foul Attempted Tackle,Corners Won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Passes,Ground Duels,Ground Duels won,Rightside Passes,Duels,Unsuccessful Dribbles,Total Touches In Opposition Box,Duels won,Throw Ins to Opposition Player,Winning Goal,Penalties Faced,Yellow Cards,Saves made - caught,Catches,Goal Kicks,Saves Made from Inside Box,Punches,Saves Made,Saves Made from Outside Box,Crosses not Claimed,Aerial Duels won,GK Unsuccessful Distribution,Drops,Saves made - parried,GK Successful Distribution,Total Shots,Shots Off Target (inc woodwork),Assists (Intentional),Offsides,Foul Won Penalty,Hit Woodwork,Attempts from Set Pieces,Unsuccessful Corners into Box,Goals from Inside Box,Successful Corners into Box,Right Foot Goals,Goals,Shots On Target ( inc goals ),Second Goal Assists,Corners Taken (incl short corners),Headed Goals,Unsuccessful lay-offs,Handballs conceded,Penalties Taken,Successful Lay-offs,Goal Assists,Home Goals,Away Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Total Red Cards,Other Goals,Set Pieces Goals,Penalties Off Target,Penalties Conceded,Own Goal Scored,Left Foot Goals,Clearances Off the Line,Last Man Tackle,Straight Red Cards,Penalty Goals,Saves from Penalty,Penalties Saved,Goalkeeper Smother
USA_USL_League_One,2022,Charlotte Independence,4kycyoyxmsfs6w1kanr4pjqj8,N. Abrams,Goalkeeper,31,2.0,,,,,1.0,,1.0,10.0,,2.0,,,8.0,,,21.0,7.0,,,,,2.0,,,20.0,,,,1.0,2.0,,,,2.0,,,,1.0,,16.0,2.0,7.0,,46.0,90.0,,2.0,1.0,,1.0,,,,,,,21.0,23.0,,,14.0,,,,,,0.0,1.0,,,3.0,13.0,5.0,,7.0,2.0,,,1.0,,2.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,auovphw2qu2hb8ksdrln14f3e,H. Acosta,Defender,3,125.0,,,1.0,70.0,3.0,35.0,52.0,10.0,4.0,222.0,31.0,4.0,692.0,17.0,3.0,433.0,568.0,14.0,6.0,2.0,18.0,82.0,5.0,15.0,528.0,5.0,4.0,5.0,5.0,23.0,22.0,,11.0,136.0,43.0,,29.0,18.0,,56.0,90.0,255.0,14.0,896.0,1545.0,147.0,28.0,25.0,8.0,25.0,36.0,40.0,45.0,7.0,3.0,,580.0,705.0,61.0,39.0,183.0,101.0,3.0,8.0,65.0,1.0,0.0,,2.0,,,,,,,,,26.0,,,,,8.0,4.0,,,,,,,2.0,,1.0,2.0,4.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,
USA_USL_League_One,2022,Charlotte Independence,f3d0x1nyin2vvtsuvbrvkvvqi,J. Amaya,Midfielder,27,16.0,,,1.0,4.0,,3.0,10.0,10.0,,22.0,1.0,1.0,93.0,4.0,2.0,40.0,77.0,3.0,1.0,2.0,2.0,6.0,2.0,2.0,68.0,,,4.0,2.0,4.0,10.0,2.0,7.0,21.0,10.0,,3.0,3.0,,19.0,13.0,35.0,1.0,120.0,232.0,38.0,4.0,8.0,3.0,8.0,13.0,3.0,15.0,5.0,5.0,1.0,78.0,94.0,15.0,5.0,22.0,18.0,1.0,1.0,5.0,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,dq6datcirhjvuslw4d3xbxzhl,G. Barber,Midfielder,24,43.0,14.0,14.0,,2.0,3.0,11.0,6.0,10.0,,62.0,2.0,13.0,198.0,3.0,4.0,42.0,155.0,6.0,8.0,5.0,1.0,2.0,22.0,9.0,153.0,4.0,4.0,9.0,,16.0,42.0,2.0,20.0,98.0,41.0,2.0,12.0,5.0,2.0,23.0,46.0,39.0,3.0,326.0,659.0,119.0,20.0,21.0,5.0,21.0,48.0,8.0,58.0,16.0,6.0,2.0,159.0,202.0,75.0,33.0,43.0,83.0,14.0,16.0,35.0,1.0,0.0,,8.0,,,,,,,,,2.0,,,,,5.0,5.0,1.0,,1.0,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,
USA_USL_League_One,2022,Charlotte Independence,5ipniqriorngkrwjbn63lbomi,G. Barone,Midfielder,21,6.0,6.0,11.0,,2.0,,1.0,2.0,10.0,,13.0,,,56.0,2.0,2.0,19.0,50.0,2.0,4.0,5.0,,1.0,4.0,,48.0,,9.0,2.0,,6.0,6.0,,,24.0,5.0,4.0,1.0,1.0,1.0,3.0,16.0,10.0,1.0,101.0,106.0,35.0,6.0,8.0,1.0,8.0,8.0,3.0,17.0,7.0,,2.0,50.0,56.0,11.0,5.0,16.0,14.0,,4.0,6.0,,0.0,,,,,,,,,,,1.0,,,,,2.0,1.0,,,1.0,,,3.0,,3.0,,,1.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,ablfcyx3mu662t2a1op8vevis,N. Behrmann,Midfielder,26,1.0,,,,,,,,10.0,,3.0,,,9.0,,,1.0,8.0,1.0,,,,,1.0,1.0,8.0,,,,,,3.0,,2.0,3.0,1.0,,2.0,,,1.0,1.0,,1.0,13.0,13.0,7.0,,2.0,,2.0,4.0,1.0,4.0,2.0,1.0,,8.0,9.0,5.0,2.0,2.0,6.0,1.0,1.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,czghj91buh8kbg7t1ffkfdje2,L. Bellina,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,ak8qtklu33xyv7o3ze3b8usq1,K. Bennett,Forward,90,78.0,13.0,13.0,,8.0,4.0,13.0,2.0,10.0,,56.0,3.0,13.0,305.0,7.0,14.0,92.0,227.0,69.0,37.0,9.0,3.0,3.0,61.0,7.0,242.0,3.0,2.0,26.0,,31.0,107.0,13.0,41.0,203.0,75.0,3.0,16.0,25.0,3.0,57.0,78.0,63.0,9.0,644.0,2075.0,155.0,34.0,29.0,17.0,29.0,176.0,105.0,125.0,4.0,15.0,14.0,244.0,322.0,171.0,64.0,78.0,276.0,30.0,112.0,100.0,,2.0,,5.0,,,,,,,,,36.0,,,,,48.0,23.0,3.0,10.0,,,,,11.0,,9.0,11.0,25.0,,,2.0,2.0,2.0,3.0,9.0,4.0,6.0,5.0,,,,,,,1.0,,,,,,3.0,,,
USA_USL_League_One,2022,Charlotte Independence,14hkfiu3q5s8uddoupp9qi1hw,D. Chan,Goalkeeper,35,14.0,,,,,,8.0,7.0,10.0,,5.0,4.0,,8.0,,,10.0,2.0,,,,,13.0,,1.0,9.0,,,1.0,1.0,4.0,,,,14.0,1.0,,1.0,1.0,,6.0,6.0,18.0,,40.0,90.0,6.0,4.0,1.0,,1.0,,,,,,,16.0,30.0,1.0,1.0,7.0,1.0,,,1.0,,0.0,,,1.0,,18.0,4.0,,4.0,,,,5.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,8gm6yotwnqihxn67u5tx9m2cq,O. Ciss,Midfielder,6,236.0,9.0,9.0,2.0,24.0,7.0,51.0,100.0,10.0,5.0,358.0,43.0,22.0,1263.0,12.0,33.0,497.0,1027.0,17.0,41.0,15.0,8.0,104.0,44.0,34.0,962.0,6.0,3.0,51.0,9.0,42.0,127.0,12.0,47.0,323.0,132.0,4.0,56.0,30.0,4.0,185.0,194.0,422.0,22.0,1670.0,2652.0,569.0,48.0,30.0,8.0,30.0,144.0,42.0,140.0,,31.0,6.0,1062.0,1298.0,244.0,117.0,378.0,286.0,21.0,31.0,142.0,1.0,1.0,,11.0,,,,,,,,,25.0,,,,,23.0,10.0,1.0,1.0,,1.0,,,1.0,,2.0,3.0,13.0,,,,2.0,3.0,,3.0,2.0,2.0,1.0,,2.0,,,,,2.0,,1.0,1.0,,,,,,
