dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
99,,Greenville Triumph SC,USL League One,Goalkeeper,USA,113mck575esofosg0reheh7je,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/113mck575esofosg0reheh7je
24,,Greenville Triumph SC,USL League One,Midfielder,Jamaica,11fnw0grmhiwnqc6xg7xjlasp,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/11fnw0grmhiwnqc6xg7xjlasp
10,Lucas Coutinho,Greenville Triumph SC,USL League One,Attacker,Brazil,1obodv132w5wxq4nb008ty06i,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/1obodv132w5wxq4nb008ty06i
14,,Greenville Triumph SC,USL League One,Defender,Somalia,1oi0xwbvvnlerq9ykqj0taqne,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/1oi0xwbvvnlerq9ykqj0taqne
3,,Greenville Triumph SC,USL League One,Defender,USA,35wb4ujehz3nx4kgvxcn4ndn9,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/35wb4ujehz3nx4kgvxcn4ndn9
7,,Greenville Triumph SC,USL League One,Attacker,France,3dukfh4bzwt1f43e42kd86jv8,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/3dukfh4bzwt1f43e42kd86jv8
8,,Greenville Triumph SC,USL League One,Midfielder,USA,3uyvzfylq1i5xnl6i90uap6uh,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/3uyvzfylq1i5xnl6i90uap6uh
11,,Greenville Triumph SC,USL League One,Midfielder,USA,455giqy5a93c8qxrsjx3vzlgq,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/455giqy5a93c8qxrsjx3vzlgq
22,,Greenville Triumph SC,USL League One,Defender,USA,47qjwuunr527xutfx0rqc6lm,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/47qjwuunr527xutfx0rqc6lm
6,,Greenville Triumph SC,USL League One,Defender,USA,5ovqq8auluw1j3k3j73x03sb8,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/5ovqq8auluw1j3k3j73x03sb8
,,Greenville Triumph SC,USL League One,,Bermuda,69kgwfbvz7gxodcxbjhvbmqdw,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/69kgwfbvz7gxodcxbjhvbmqdw
,,Greenville Triumph SC,USL League One,,USA,6au51ld0ysm9stm5qzhoibs2d,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/6au51ld0ysm9stm5qzhoibs2d
1,,Greenville Triumph SC,USL League One,Goalkeeper,USA,6i0jmexul7bdkldopvslc8t90,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/6i0jmexul7bdkldopvslc8t90
9,,Greenville Triumph SC,USL League One,Attacker,Switzerland,6ydk69km9oe49cg6plrc6u0wk,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/6ydk69km9oe49cg6plrc6u0wk
25,,Greenville Triumph SC,USL League One,Attacker,Colombia,74kulsc49v28gagdio1exxv4l,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/74kulsc49v28gagdio1exxv4l
19,,Greenville Triumph SC,USL League One,Attacker,Jamaica,7ey36fzfv9qmuxhswgnvehilm,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/7ey36fzfv9qmuxhswgnvehilm
2,,Greenville Triumph SC,USL League One,Defender,USA,7ryen5rxs6y6uk93saq7vyd7u,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/7ryen5rxs6y6uk93saq7vyd7u
5,,Greenville Triumph SC,USL League One,Midfielder,USA,7tpgi9n5bp18oo50ei1kblmnd,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/7tpgi9n5bp18oo50ei1kblmnd
18,,Greenville Triumph SC,USL League One,Attacker,USA,7xu75spzqhk3bm2fzbj34fq7e,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/7xu75spzqhk3bm2fzbj34fq7e
12,,Greenville Triumph SC,USL League One,Midfielder,USA,8mnq6su69w3xyujz7n03n4zqh,9feqf3iawhgmv76pzwdebdv8q,jznihqxle06xych9ygwiwnsa,9uygmwspl0njqzuaow65kzzf8,https://www.scoresway.com/en_GB/soccer/usl-league-one-2023/9uygmwspl0njqzuaow65kzzf8/teams/view/9feqf3iawhgmv76pzwdebdv8q/player/view/8mnq6su69w3xyujz7n03n4zqh
