liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Short Passes,Successful Passes Opposition Half,Successful Long Passes,Forward Passes,Starts,Saves Made from Outside Box,Open Play Passes,Goals Conceded Inside Box,Successful Passes Own Half,Successful Open Play Passes,Rightside Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Opposition Half,GK Unsuccessful Distribution,Appearances,Recoveries,Catches,Total Passes,Saves Made from Inside Box,Goals Conceded,Unsuccessful Passes Own Half,Saves Made,Games Played,Index,Unsuccessful Long Passes,Time Played,Goal Kicks,Crosses not Claimed,Total Successful Passes ( Excl Crosses & Corners ) ,GK Successful Distribution,Leftside Passes,Total Losses Of Possession,Saves made - parried,Touches,Winning Goal,Headed Goals,Penalty Goals,Aerial Duels won,Successful Crosses & Corners,Through balls,Corners Won,Times Tackled,Tackles Lost,Blocks,Unsuccessful Crosses open play,Goals Conceded Outside Box,Successful Crosses open play,Backward Passes,Goals from Inside Box,Hit Woodwork,Duels lost,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Interceptions,Throw Ins to Own Player,Ground Duels lost,Goals,Ground Duels,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Successful Corners into Box,Unsuccessful Short Passes,Foul Attempted Tackle,Substitute Off,Successful Lay-offs,Right Foot Goals,Total Tackles,Aerial Duels lost,Successful Dribbles,Aerial Duels,Penalties Taken,Shots On Target ( inc goals ),Total Shots,Penalty Goals Conceded,Duels,Overruns,Substitute On,Duels won,Unsuccessful Dribbles,Handballs conceded,Unsuccessful Crosses & Corners,Attempts from Set Pieces,Total Fouls Won,Corners Taken (incl short corners),Shots Off Target (inc woodwork),Blocked Shots,Ground Duels won,Unsuccessful Corners into Box,Total Touches In Opposition Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Total Clearances,Offsides,Total Fouls Conceded,Key Passes (Attempt Assists),Home Goals,Away Goals,Left Foot Goals,Straight Red Cards,Goals from Outside Box,Successful Launches,Total Red Cards,Yellow Cards,Clearances Off the Line,Assists (Intentional),Goal Assists,Penalties Conceded,Clean Sheets,Penalties Faced,Punches,Drops,Goalkeeper Smother,Saves made - caught,Last Player Tackle,Own Goal Scored,Red Cards - 2nd Yellow,Last Man Tackle,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Penalties Off Target,Other Goals
USA_USL_League_One,2023,One Knoxville SC,wqscoq98ex43hn9m45x81p0p,S. Andreassen,Forward,19,72.0,58.0,3.0,33.0,4.0,,120.0,4.0,19.0,74.0,26.0,46.0,43.0,,13.0,11.0,,121.0,,5.0,6.0,,13.0,10.0,3.0,424.0,,,75.0,,21.0,66.0,,195.0,1.0,,,30.0,2.0,,4.0,4.0,1.0,,3.0,1.0,2.0,41.0,1.0,1.0,32.0,,1.0,1.0,,20.0,1.0,47.0,3.0,1.0,3.0,,43.0,2.0,4.0,5.0,1.0,4.0,12.0,5.0,42.0,,2.0,7.0,,89.0,1.0,9.0,57.0,2.0,2.0,3.0,,18.0,,5.0,2.0,27.0,,24.0,,2.0,3.0,2.0,15.0,5.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,One Knoxville SC,3n1x0x4dlcl53f0z5l0r9zso9,G. Calixtro,Forward,91,177.0,142.0,14.0,78.0,10.0,,259.0,7.0,53.0,190.0,47.0,69.0,71.0,,15.0,41.0,,260.0,,12.0,15.0,,15.0,10.0,8.0,873.0,,,191.0,,83.0,130.0,,428.0,0.0,,,10.0,4.0,3.0,11.0,20.0,3.0,1.0,11.0,5.0,4.0,52.0,1.0,,73.0,5.0,5.0,9.0,2.0,50.0,1.0,86.0,18.0,2.0,6.0,,61.0,11.0,4.0,7.0,1.0,9.0,23.0,15.0,33.0,,7.0,18.0,1.0,119.0,4.0,5.0,46.0,9.0,4.0,17.0,,12.0,5.0,11.0,7.0,36.0,5.0,39.0,,2.0,8.0,1.0,28.0,9.0,0.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,
USA_USL_League_One,2023,One Knoxville SC,641y4ji285n1knqul0flhzsyy,R. Castro Jr.,Forward,0,145.0,110.0,3.0,44.0,8.0,,167.0,7.0,43.0,135.0,44.0,32.0,31.0,,11.0,22.0,,180.0,,9.0,4.0,,11.0,10.0,6.0,691.0,,,148.0,,41.0,64.0,,284.0,1.0,,1.0,5.0,5.0,,4.0,15.0,3.0,1.0,3.0,2.0,5.0,51.0,1.0,,35.0,,4.0,3.0,1.0,23.0,1.0,49.0,10.0,,3.0,,26.0,2.0,7.0,4.0,1.0,6.0,12.0,8.0,17.0,1.0,8.0,15.0,1.0,66.0,2.0,3.0,31.0,4.0,,3.0,,12.0,,7.0,6.0,26.0,,29.0,,3.0,1.0,4.0,4.0,11.0,0.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,One Knoxville SC,8835ktm5d7b8nx5xrvyeh0c2c,G. Claudio,Defender,55,159.0,73.0,15.0,109.0,5.0,,239.0,6.0,102.0,171.0,17.0,70.0,53.0,,19.0,31.0,,244.0,,7.0,23.0,,19.0,10.0,23.0,543.0,,,174.0,,93.0,110.0,,407.0,0.0,1.0,,39.0,1.0,,3.0,15.0,2.0,3.0,6.0,1.0,1.0,25.0,1.0,,46.0,8.0,4.0,11.0,32.0,33.0,1.0,54.0,7.0,,4.0,,47.0,2.0,5.0,,,6.0,13.0,4.0,52.0,,2.0,8.0,,106.0,2.0,14.0,60.0,8.0,,6.0,,11.0,,6.0,3.0,21.0,,18.0,14.0,,24.0,,10.0,,0.0,1.0,,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,One Knoxville SC,1kvjc217588h0ws1xccocijt,J. Crisler,Defender,5,842.0,319.0,114.0,534.0,24.0,,1158.0,24.0,637.0,931.0,274.0,236.0,169.0,,27.0,126.0,,1192.0,,30.0,73.0,,27.0,10.0,111.0,2192.0,3.0,,956.0,3.0,315.0,267.0,,1492.0,0.0,2.0,,83.0,,1.0,2.0,8.0,5.0,12.0,6.0,6.0,,69.0,2.0,,103.0,25.0,9.0,31.0,50.0,57.0,2.0,98.0,19.0,,9.0,,125.0,13.0,1.0,,,14.0,46.0,4.0,129.0,,8.0,17.0,5.0,227.0,,3.0,124.0,2.0,1.0,6.0,,25.0,,9.0,5.0,41.0,,46.0,7.0,,70.0,2.0,36.0,11.0,1.0,1.0,,,,6.0,,12.0,,1.0,2.0,1.0,6.0,,,,,,,,,,,,,,,
USA_USL_League_One,2023,One Knoxville SC,5jbmmf1sex63e9fbx3ktyewkq,Dani Fernandez,Defender,13,949.0,395.0,60.0,498.0,21.0,,1149.0,14.0,615.0,976.0,485.0,177.0,123.0,,25.0,99.0,,1186.0,,21.0,59.0,,25.0,10.0,78.0,1773.0,8.0,,1009.0,8.0,116.0,208.0,,1454.0,0.0,,,46.0,1.0,,6.0,4.0,7.0,11.0,5.0,7.0,1.0,87.0,2.0,,96.0,25.0,15.0,17.0,59.0,47.0,2.0,89.0,20.0,,23.0,,99.0,8.0,7.0,,1.0,30.0,49.0,3.0,95.0,,7.0,15.0,3.0,184.0,,4.0,88.0,4.0,1.0,5.0,,9.0,,8.0,7.0,42.0,,31.0,7.0,,40.0,2.0,29.0,2.0,2.0,0.0,1.0,,,7.0,1.0,3.0,,,,,2.0,,,,,,,,1.0,,,,,,,
USA_USL_League_One,2023,One Knoxville SC,6oesd646dw3xw7bbhg25i06c4,S. Fletcher,Midfielder,23,63.0,27.0,2.0,23.0,1.0,,78.0,,38.0,62.0,25.0,17.0,8.0,,10.0,21.0,,82.0,,1.0,9.0,,10.0,10.0,5.0,132.0,,,65.0,,22.0,23.0,,111.0,0.0,,,3.0,,,,2.0,2.0,,,1.0,,12.0,,,8.0,2.0,,2.0,,5.0,,17.0,2.0,,5.0,,12.0,1.0,1.0,,,7.0,3.0,,6.0,,,,,23.0,1.0,9.0,15.0,,1.0,,,5.0,,,,12.0,,,,,7.0,,3.0,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,One Knoxville SC,1thnzs4pucge191fthqovktpm,C. Hart,Midfielder,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,One Knoxville SC,3wkl0kgfkjim07ywgf8bo1trd,I. Ilić,Forward,10,258.0,172.0,7.0,89.0,15.0,,349.0,14.0,93.0,260.0,83.0,89.0,69.0,,21.0,44.0,,354.0,,17.0,23.0,,21.0,10.0,15.0,1153.0,,,265.0,,90.0,146.0,,509.0,0.0,,2.0,21.0,,1.0,3.0,18.0,5.0,,3.0,3.0,,92.0,3.0,1.0,66.0,7.0,1.0,4.0,,43.0,4.0,81.0,11.0,,6.0,,74.0,6.0,15.0,17.0,4.0,11.0,23.0,6.0,44.0,3.0,8.0,15.0,2.0,125.0,2.0,6.0,59.0,6.0,,3.0,,21.0,,7.0,3.0,38.0,,42.0,,1.0,6.0,1.0,11.0,15.0,1.0,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
USA_USL_League_One,2023,One Knoxville SC,72n63o5exsow0l5o2fpfd6kgk,C. Johnson,Midfielder,12,418.0,298.0,20.0,144.0,20.0,,521.0,14.0,151.0,429.0,134.0,95.0,91.0,,30.0,70.0,,533.0,,20.0,34.0,,30.0,10.0,17.0,1638.0,,,438.0,,130.0,176.0,,782.0,1.0,,,15.0,11.0,1.0,13.0,26.0,10.0,1.0,13.0,6.0,4.0,125.0,3.0,,89.0,9.0,11.0,10.0,4.0,64.0,3.0,115.0,26.0,,20.0,5.0,78.0,12.0,17.0,12.0,2.0,30.0,25.0,6.0,40.0,,10.0,29.0,3.0,155.0,3.0,10.0,66.0,9.0,3.0,30.0,,15.0,17.0,19.0,11.0,51.0,10.0,41.0,,,17.0,2.0,25.0,13.0,2.0,1.0,1.0,,,1.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,
