dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
22,Walter Varela,Portland Hearts of Pine SC,USL League One,Midfielder,Cabo Verde,208io2neq09rtpsvbpnhc54ic,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/208io2neq09rtpsvbpnhc54ic
17,,Portland Hearts of Pine SC,USL League One,Midfielder,USA,228yqlynay7kd51aql84pnifo,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/228yqlynay7kd51aql84pnifo
80,,Portland Hearts of Pine SC,USL League One,Attacker,Sierra Leone,2jbcmz368q7694p3hju1r4ydw,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/2jbcmz368q7694p3hju1r4ydw
11,,Portland Hearts of Pine SC,USL League One,Attacker,USA,34d5bg99voq5p7ez5ss7xj2wa,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/34d5bg99voq5p7ez5ss7xj2wa
3,,Portland Hearts of Pine SC,USL League One,Attacker,France,5ba5vm3lf2ua6mzmphhf8p15g,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/5ba5vm3lf2ua6mzmphhf8p15g
77,,Portland Hearts of Pine SC,USL League One,Midfielder,Japan,5io6t8nfg6x964pexylu2lmuh,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/5io6t8nfg6x964pexylu2lmuh
2,,Portland Hearts of Pine SC,USL League One,Defender,USA,5nykil6w1bxfevpp2c5rr32fo,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/5nykil6w1bxfevpp2c5rr32fo
12,,Portland Hearts of Pine SC,USL League One,Attacker,USA,5y3ffas67ufbxhtmjmbq3e9xx,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/5y3ffas67ufbxhtmjmbq3e9xx
10,Ollie Wright,Portland Hearts of Pine SC,USL League One,Midfielder,England,6qe888q8yqq73bxr27jbyu2hg,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/6qe888q8yqq73bxr27jbyu2hg
9,,Portland Hearts of Pine SC,USL League One,Attacker,USA,75ya8t62q1sp6ew1nlanfdduy,3v6u0mvt4sp4kj1gjqq7y3wno,jznihqxle06xych9ygwiwnsa,4b8z3pen6fglo1t1ultg1gmc4,https://www.scoresway.com/en_GB/soccer/usl-league-one-2025/4b8z3pen6fglo1t1ultg1gmc4/teams/view/3v6u0mvt4sp4kj1gjqq7y3wno/player/view/75ya8t62q1sp6ew1nlanfdduy
