liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Foul Won Penalty,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Headed Goals,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocks,Interceptions,Penalties Conceded,Successful Launches,Unsuccessful Launches,Corners Taken (incl short corners),Hit Woodwork,Successful Corners into Box,Through balls,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Offsides,Total Big Chances Missed,Unsuccessful lay-offs,Attempts from Set Pieces,Left Foot Goals,Clean Sheets,GK Successful Distribution,Goal Kicks,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Saves Made,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Overruns,Straight Red Cards,Total Red Cards,Punches,Saves Made from Inside Box,Total Big Chances Saved,Clearances Off the Line,Last Player Tackle,Goalkeeper Smother,Penalties Saved,Saves from Penalty,Own Goal Scored,Second Goal Assists,Crosses not Claimed,Red Cards - 2nd Yellow,Direct Corner Goals,Direct Setpiece Goals,Set Pieces Goals
USA_USL_League_One,2026,Antelope Valley Alta FC,jur37jjs6esvj9ed495h4npw,A. Aoumaich,Forward,18,11,8,3,7,49,5,69,3,68,38,30,138,31,6,1,7,3,10,7,3,2,2,1,57,30,27,1,1,9,4,158,1,1,2,35,4,3,11,2,75,9,2,4,6,6,1,2,2,9,3,7,130,87,46,124,1,6,1,6,472,16,1,2,3,13,11,64,159,6,131,7,24,28,256,6,6,9,8,32,2,20,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,d2y1o7r8e3133yypb72op14ic,M. Alassane,Midfielder,5,10,5,5,8,39,,57,1,67,29,38,46,118,5,,8,,9,6,3,,,,57,24,33,,,3,93,323,,,1,24,8,7,37,,76,3,1,,7,4,1,,,4,5,18,283,139,147,268,5,10,5,10,567,5,1,,9,12,15,60,326,1,286,15,3,40,426,1,1,3,15,25,16,25,,,,0,4,9,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,d9h35wh77rn8rr46b5i3ctedw,A. Ortiz,Defender,3,3,2,1,6,64,,101,4,22,11,11,105,178,1,,6,,11,9,2,,,,19,9,10,,,6,53,395,,,2,56,6,3,29,,117,6,,1,5,,1,3,2,,1,29,360,213,166,347,1,3,1,29,471,2,1,,8,4,6,63,412,1,376,4,3,36,507,17,9,1,26,43,10,10,,,,0,,5,,6,7,16,1,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,1vqkrt63dzacj168tijew9je2,C. Anderson,Forward,19,14,9,5,7,20,1,20,2,38,22,16,61,8,3,,7,1,8,7,1,1,1,,24,13,11,1,,3,14,57,,,2,13,5,2,13,1,16,4,4,5,5,5,2,1,1,2,7,1,42,34,10,42,1,2,,1,467,4,1,1,5,8,6,32,58,9,43,3,21,15,120,1,1,2,1,13,3,14,1,1,0,0,,5,,1,,,,,,,1,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,cfu41iigtl9ecf4g90qev2d5g,G. Antwi,Forward,20,10,7,3,8,55,1,79,5,61,35,26,134,23,2,1,8,1,6,4,2,1,,1,51,28,23,1,,3,43,127,,,,40,6,2,12,,7,3,5,7,4,4,4,1,1,8,,5,103,69,36,99,2,4,,4,350,17,1,,4,4,9,63,128,12,104,6,15,24,226,8,8,14,4,30,2,20,1,1,0,0,,4,,2,3,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,8w2q97y62qno1rpt7mr9ghx5g,C. Bahena,Midfielder,99,6,4,2,8,52,7,79,4,43,22,21,153,46,3,,8,,6,5,1,,,,37,18,19,,,10,59,203,,,2,33,4,2,18,,51,12,5,3,5,3,3,7,7,6,6,13,171,127,56,163,,4,,4,445,8,2,,3,3,9,73,208,8,176,4,19,32,307,21,13,5,10,48,5,22,,,,0,,2,,,1,5,2,,,5,2,2,2,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,8x1m9jmypxtxezmzbc5t9zfh0,E. Ceja Gonzalez,Defender,16,4,3,1,2,3,,,,7,4,3,5,39,,,2,,1,,1,,,,3,1,2,,,1,16,86,,,,,,,1,,34,1,,,1,,1,,,,,3,81,22,65,84,,,,1,135,,,,10,1,2,5,92,,87,,2,5,110,,,,4,4,1,1,,,,0,2,,,,2,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,2p6g2orqpma171l31joi9vdas,J. Desdunes,Forward,7,14,10,4,7,103,5,114,6,83,35,48,254,78,1,1,7,4,12,9,3,2,4,,69,25,44,,,20,50,294,2,2,2,46,6,4,32,3,98,20,10,10,7,1,,5,2,13,6,25,253,198,89,257,2,7,1,5,603,19,1,3,4,4,23,119,329,20,282,9,24,47,501,18,7,11,19,55,10,28,1,3,1,1,,4,,4,8,14,,2,1,6,,,1,,2,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,32fghx5a0volzlf34tov0fkdl,D. Doumbia,Goalkeeper,27,2,,2,2,,,5,,3,,3,,12,,,2,,2,2,,,,,1,,1,,,,16,19,,,1,,,,8,,7,,,,1,,1,,,,,5,16,5,24,24,,,,,91,,,,3,,1,6,35,,29,,,6,49,,,,6,5,1,,,,,0,,,,2,4,,,,,,,,,,,,,,14,11,2,1,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,8inlhs4q425he037a0ofs73mc,J. Garcia,Midfielder,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
