dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
18,,Brooklyn Italians,US Open Cup,Goalkeeper,USA,1do0j874r2chva5ukwfzv1gid,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/1do0j874r2chva5ukwfzv1gid
9,,Brooklyn Italians,US Open Cup,Midfielder,Venezuela,369rn5bv7choa5ctxg16g5ihh,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/369rn5bv7choa5ctxg16g5ihh
,,Brooklyn Italians,US Open Cup,Midfielder,Panama,6uel6zsun3pauqodkwbl7ir4l,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/6uel6zsun3pauqodkwbl7ir4l
24,,Brooklyn Italians,US Open Cup,Defender,USA,813lb1eonjaew77qs1943szbp,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/813lb1eonjaew77qs1943szbp
10,,Brooklyn Italians,US Open Cup,Midfielder,Colombia,a71221ez60ru670h0g6fhms45,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/a71221ez60ru670h0g6fhms45
5,,Brooklyn Italians,US Open Cup,Defender,USA,bhdexzrmy2nnn0muaiem8d711,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bhdexzrmy2nnn0muaiem8d711
1,,Brooklyn Italians,US Open Cup,Goalkeeper,USA,bik0j2193e5jof3kyuk1nqqqd,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bik0j2193e5jof3kyuk1nqqqd
3,,Brooklyn Italians,US Open Cup,Defender,USA,bissvpu179guxp4dhv3ferg7p,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bissvpu179guxp4dhv3ferg7p
2,,Brooklyn Italians,US Open Cup,Defender,USA,bj1tjgofmyigu55x9p6yv8ez9,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bj1tjgofmyigu55x9p6yv8ez9
11,,Brooklyn Italians,US Open Cup,Attacker,USA,bjb79rrqvrxuklp5smb4jtrrp,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bjb79rrqvrxuklp5smb4jtrrp
22,Salvatore Barone,Brooklyn Italians,US Open Cup,Midfielder,USA,bjkvcd8dq5149ev3i669hsvrp,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bjkvcd8dq5149ev3i669hsvrp
8,,Brooklyn Italians,US Open Cup,Midfielder,USA,bjtqqitg34l3tlfqfk2ywupjp,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bjtqqitg34l3tlfqfk2ywupjp
4,,Brooklyn Italians,US Open Cup,Midfielder,USA,bk2es23mvmzkdhj8ngkypqvv9,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bk2es23mvmzkdhj8ngkypqvv9
15,,Brooklyn Italians,US Open Cup,Defender,Liberia,bkbqk3p63hkxfbf7msrhdh1w5,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bkbqk3p63hkxfbf7msrhdh1w5
17,,Brooklyn Italians,US Open Cup,Midfielder,Philippines,bkwmtayh3rckvuppge27s5v4l,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bkwmtayh3rckvuppge27s5v4l
16,,Brooklyn Italians,US Open Cup,Midfielder,USA,bl5v0xp0ucuq47ksnlan9or85,3shxifr1px969vi99pjbuuphr,2bmwykmdlcc2u1c40ytoc39vy,9dix6hbqctygcjh4rk65f7qda,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/teams/view/3shxifr1px969vi99pjbuuphr/player/view/bl5v0xp0ucuq47ksnlan9or85
