liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
USA_US_Open_Cup,2014,Columbus Crew,dhhcu04sgmbsolhao61hmyk7p,B. Añor,Defender,,2,2,0,0,0,0,0,1
USA_US_Open_Cup,2014,Columbus Crew,b6o0ffhw2hu48cb8dk0bm489h,J. Arrieta,Attacker,,2,2,0,0,0,0,2,0
USA_US_Open_Cup,2014,Columbus Crew,42w6z6waf5m9y58wl5ap8gted,C. Barson,Defender,,2,0,0,0,0,0,1,0
USA_US_Open_Cup,2014,Columbus Crew,7gffceo7j2515z6ks8g53t80l,A. Bedell,Attacker,,1,0,0,1,1,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,2064tn0xmtvyqn799kddgrnpx,S. Clark,Goalkeeper,,2,0,1,0,0,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,e6iefbralp7fndpuoaatzfpat,E. Finlay,Midfielder,,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,g8wp1jywkhrxjjv1okn1a85x,E. Gehrig,Defender,,2,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,36i28drwexthu5ztdvhs01lud,K. George,Midfielder,,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,crlprp30citeo87zkm7juxlg5,H. Jimenez,Defender,,2,0,0,0,0,0,0,2
USA_US_Open_Cup,2014,Columbus Crew,e9edcsoafeo8g7heb4sjt3u8l,J. Meram,Midfielder,,2,0,0,0,0,0,1,1
USA_US_Open_Cup,2014,Columbus Crew,66ad5z9aw2m2ni3aar4r9nsgl,D. Paladini,Midfielder,,1,0,0,1,1,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,2a4bnzt35s1sihckf86e8bys5,M. Parkhurst,Defender,,2,0,0,1,1,0,1,0
USA_US_Open_Cup,2014,Columbus Crew,c31uuxvrfj83xl7jupzaewnh1,B. Speas,Midfielder,,2,0,0,0,0,0,0,1
USA_US_Open_Cup,2014,Columbus Crew,bsam14hhfnimjei73c7e8n45x,B. Sweat,Defender,,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,b4fisyd57o49077v5nwv9ex91,T. Tchani,Midfielder,,2,0,0,0,0,0,0,1
USA_US_Open_Cup,2014,Columbus Crew,6045hqgmu7l31xwe2dp06mwnp,W. Trapp,Midfielder,,1,0,0,0,0,0,1,0
USA_US_Open_Cup,2014,Columbus Crew,8z84uw3htniui8chcn206v8wl,T. Wahl,Defender,,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,x4hsnlz1ngvhw8xc4215s2j9,J. Williams,Defender,,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,Columbus Crew,4em5qsl3lsbm2oy1aiaifnlqt,D. Withrow,Goalkeeper,,0,0,0,0,0,0,0,0
