liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
USA_US_Open_Cup,2014,North Carolina FC,64dhvm0ah5g8fq5c1g4k68ic5,Nazmi Albadawi,Midfielder,,4,1,1,0,0,0,0,2
USA_US_Open_Cup,2014,North Carolina FC,7mskuqmpc2jm7yerjo4410mvp,U. Bentick,Defender,,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,2f5x1j9yg8vk1y4kjs11cvt1x,J. Burt,Defender,,1,0,0,0,0,0,1,0
USA_US_Open_Cup,2014,North Carolina FC,4w79es60pg2wxubax1jz1puqd,B. Cyrino,Midfielder,,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,b70np1r56yzrylah2l44j9o0l,C. Elizondo,Attacker,,4,0,0,0,0,0,0,4
USA_US_Open_Cup,2014,North Carolina FC,7i7ysz3j5bhwh0vzmijx1hgwl,A. Fitzgerald,Goalkeeper,,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,cmvnmv0959f7iys7gn90xi0np,J. Goodwin,Goalkeeper,,4,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,dhgmkbcclcew0n0ecxq2x1dqt,M. Grella,Midfielder,,2,0,0,0,0,0,0,2
USA_US_Open_Cup,2014,North Carolina FC,chli7yw77j3au4vr9uuy3f8ph,D. Jackson,Attacker,,4,1,0,0,0,0,4,0
USA_US_Open_Cup,2014,North Carolina FC,2ypc9g4tjc386007vai0nm76d,Aaron King,Attacker,,2,0,0,0,0,0,2,0
USA_US_Open_Cup,2014,North Carolina FC,bukeg6qmngq8dd7dvt1qd6o5x,A. King,Defender,,3,0,1,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,tto74vcfqypj58dv9c154d79,K. Low,Defender,,4,0,2,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,c476hevyzhjvzmcce26mddp05,J. Davidson,Midfielder,,4,1,0,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,Midfielder,,4,1,0,0,0,0,2,0
USA_US_Open_Cup,2014,North Carolina FC,2mz56a490eypjji8mrpp5hg45,N. Millington,Midfielder,,1,0,0,0,0,0,1,0
USA_US_Open_Cup,2014,North Carolina FC,dman1rm5w1irqi0alv4bzi11x,N. Platter,Goalkeeper,,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,25fvengsnh2ko6qa5ctpdp4np,Z. Schilawski,Attacker,,4,2,0,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,ba8zp8iejucld8tjf5lg3mqxh,D. Scott,Defender,,3,0,1,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,2c1zqvqhrdojjqhh5g5n5yp5h,T. Shipalane,Midfielder,,4,0,0,0,0,0,0,3
USA_US_Open_Cup,2014,North Carolina FC,783sod287ug30a3hcv9v8j8b9,T. Ståhl,Defender,,2,0,2,0,0,0,0,1
USA_US_Open_Cup,2014,North Carolina FC,54a2xankjy4asukg93gv7rxed,C. Tobin,Defender,,4,0,1,0,0,0,0,0
USA_US_Open_Cup,2014,North Carolina FC,17wu8h8zlblmf0ckeonrt1al1,N. Zimmerman,Attacker,,2,0,0,0,0,0,2,0
