liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
USA_US_Open_Cup,2015,Chattanooga FC,1o2gurksac8h9p1lx2eytn6c5,M. Aldred,Midfielder,4.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,crwe51swymhll8wgwdwjolbe1,L. Chandler,Goalkeeper,31.0,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,3uouompslfosa8w8o17jqwzc9,J. Davidson,Attacker,23.0,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,bmibmsnkr8oa6ckm2y0g30d05,J. Dunstan,Defender,21.0,1,0,0,0,0,0,0,1
USA_US_Open_Cup,2015,Chattanooga FC,a16b2xghcg4s15wu59blkc92h,N. Edington,Defender,24.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,bsrj9xidbyyekj8e09t1kj4d1,Zeca Ferraz,Attacker,9.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,5sf18r16wo9fup208mrlvdf55,J. Finlay,Defender,12.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,cv70pd6t7ptnzfccc83ldrx0p,Samuel Goni,Midfielder,15.0,1,0,0,0,0,0,0,1
USA_US_Open_Cup,2015,Chattanooga FC,blnhbgqgrjuui23m6e1midxhx,G. Hartley,Goalkeeper,1.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,5hn57u3t8dppvtemqx3remort,S. Hohn,Midfielder,19.0,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,42lkrb520teholdeonlvjw1yh,J. Hopkins,Defender,14.0,1,0,0,0,0,0,1,0
USA_US_Open_Cup,2015,Chattanooga FC,8l3vqy1qzsulumesq1ru2srmd,J. Moore,Midfielder,3.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,8lhkvu17xn29i5knl2p44kq1h,C. Ochieng,Attacker,10.0,1,1,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,a9nfb1rupbthy8sfbiw0d71m1,S. Reyneke,Attacker,11.0,1,0,0,0,0,0,0,1
USA_US_Open_Cup,2015,Chattanooga FC,9xjabe2ec71w2ew0q6dhlzieh,S. Rutter,Defender,18.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,935t1vb6n50o281xmeosm43jd,N. Scere,Midfielder,20.0,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,Chattanooga FC,bmt0hj6i55nxyt77uwd69dgb9,Luis Trude,Midfielder,8.0,1,0,0,0,0,0,1,0
USA_US_Open_Cup,2015,Chattanooga FC,8m7hpmgtk3h001i4vqj8je8d1,L. Winter,Attacker,17.0,1,2,0,0,0,0,1,0
