liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
USA_US_Open_Cup,2015,FC Dallas,1k3vd2f0e8r92fqkg5981y66t,M. Barrios,Attacker,21.0,2,3,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,2zedqkn15thv6wx5xmgv48gd1,K. Bekker,Midfielder,4.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,awagggfalu3hw3eysu28ygiqd,F. Castillo,Attacker,11.0,1,0,0,0,0,0,0,1
USA_US_Open_Cup,2015,FC Dallas,7y2l1sdm56aj3n9y8ehbr7g7p,C. Craft,Midfielder,16.0,1,0,0,0,0,0,1,0
USA_US_Open_Cup,2015,FC Dallas,d5hgq9en54sht3iy363fe2imt,M. Díaz,Midfielder,10.0,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,6du4hxr4ytjajxpsvu2kcf1ex,O. Earle,Defender,33.0,1,0,0,0,0,0,1,0
USA_US_Open_Cup,2015,FC Dallas,e6dl266olr7cuphtwckbs9tcl,R. Escobar,Midfielder,20.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,1yrzkigyp8tp4s9lft6an4rth,Michel Pereira,Midfielder,31.0,2,0,1,0,0,0,0,1
USA_US_Open_Cup,2015,FC Dallas,f149n1tslt3wqg9r6gk2y8edx,D. Garcia,Midfielder,26.0,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,83fa3xeia5zzfl19tk08vy3f9,J. Gonzalez,Goalkeeper,44.0,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,8mzf1lhkgv7obfx70f45f3651,A. Harris,Defender,14.0,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,cmz985xi3gvv1mdwb10r5ijmd,M. Hedges,Defender,24.0,1,0,0,0,0,0,0,1
USA_US_Open_Cup,2015,FC Dallas,e6ubrovhf8hi704f1kuyeafv9,M. Hernández,Defender,3.0,1,0,0,0,0,0,0,1
USA_US_Open_Cup,2015,FC Dallas,82sayfife5cfdk9isox5gg8ut,R. Hollingshead,Defender,12.0,2,0,0,0,0,0,0,1
USA_US_Open_Cup,2015,FC Dallas,9qo5m138mgxcux6kbkid4jk5x,Z. Loyd,Defender,17.0,1,0,1,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,15b2nynloa5lr4ed6ize90t79,B. Pérez,Attacker,7.0,0,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,6k22ppzw6wv0c4gskzxk28fyt,K. Acosta,Midfielder,23.0,2,1,0,0,0,0,2,0
USA_US_Open_Cup,2015,FC Dallas,8njj3j7pdb071u9fs2wxozc9h,C. Seitz,Goalkeeper,18.0,2,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,40hk06raazm0saowd4g9qt6mt,D. Texeira,Attacker,9.0,2,2,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,hko74gjxp71eto4a30f86bpx,V. Ulloa,Midfielder,8.0,2,0,0,0,0,0,1,1
USA_US_Open_Cup,2015,FC Dallas,2wbdazjmsxba9yoqxk204ft1x,J. Watson,Defender,,1,0,0,0,0,0,0,0
USA_US_Open_Cup,2015,FC Dallas,i5f7g3p3e0i6zwc2bc9eglw5,Á. Zendejas,Attacker,29.0,2,0,0,0,0,0,1,0
USA_US_Open_Cup,2015,FC Dallas,eooivgc2bc7bdbl1gq784ehn9,W. Zimmerman,Defender,25.0,2,0,1,0,0,0,0,0
