dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Atlanta Silverbacks,US Open Cup,Goalkeeper,Senegal,1730mexl78x2z3yg9yyyqdyax,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/1730mexl78x2z3yg9yyyqdyax
,,Atlanta Silverbacks,US Open Cup,Midfielder,Kuwait,2k3a7hnxxsqxru3wsgxy1a50p,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/2k3a7hnxxsqxru3wsgxy1a50p
,,Atlanta Silverbacks,US Open Cup,Attacker,Russia,2ptm23mrdxnmjjsnvwv6vud3p,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/2ptm23mrdxnmjjsnvwv6vud3p
,,Atlanta Silverbacks,US Open Cup,Attacker,USA,386s9r04r4zispcgf7bkj2dp1,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/386s9r04r4zispcgf7bkj2dp1
,,Atlanta Silverbacks,US Open Cup,Defender,USA,3w03n14bsn4w989a2ys6s5vx1,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/3w03n14bsn4w989a2ys6s5vx1
,,Atlanta Silverbacks,US Open Cup,Attacker,USA,4jl35ut1gp7tg2hym08mcx2w9,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/4jl35ut1gp7tg2hym08mcx2w9
,,Atlanta Silverbacks,US Open Cup,Defender,USA,4ypghapmc8a4h1ejwnh9yni09,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/4ypghapmc8a4h1ejwnh9yni09
,,Atlanta Silverbacks,US Open Cup,Unknown,USA,67kd9qrjnnokqagi4ykjz3vft,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/67kd9qrjnnokqagi4ykjz3vft
,,Atlanta Silverbacks,US Open Cup,Defender,Mexico,6wqtw5uo0i1ynohekur3c5yad,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/6wqtw5uo0i1ynohekur3c5yad
,,Atlanta Silverbacks,US Open Cup,Midfielder,USA,8c6u7cwwy98snfg6arxzbdecp,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/8c6u7cwwy98snfg6arxzbdecp
,,Atlanta Silverbacks,US Open Cup,Attacker,Nigeria,8uhv6p48t7q8asix54huk5o0l,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/8uhv6p48t7q8asix54huk5o0l
,,Atlanta Silverbacks,US Open Cup,Defender,USA,9rjxx0ug2k6j4lpa8038llb6x,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/9rjxx0ug2k6j4lpa8038llb6x
,,Atlanta Silverbacks,US Open Cup,Defender,Jamaica,adtj390ppqqntlidx3y25nb2t,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/adtj390ppqqntlidx3y25nb2t
,,Atlanta Silverbacks,US Open Cup,Attacker,USA,afdwg8o7vmktlepdh8n6fe0h5,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/afdwg8o7vmktlepdh8n6fe0h5
,,Atlanta Silverbacks,US Open Cup,Defender,USA,c6n8l1z3vdkwxh8e71us851wp,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/c6n8l1z3vdkwxh8e71us851wp
,,Atlanta Silverbacks,US Open Cup,Attacker,Sierra Leone,c9yd2t9fnpp00zluru45vg2qd,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/c9yd2t9fnpp00zluru45vg2qd
,,Atlanta Silverbacks,US Open Cup,Midfielder,USA,ckny0vz4n0242o8pw5vllrvft,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/ckny0vz4n0242o8pw5vllrvft
,,Atlanta Silverbacks,US Open Cup,Defender,USA,cpal5wmj811d0fodrrqo22d49,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/cpal5wmj811d0fodrrqo22d49
,,Atlanta Silverbacks,US Open Cup,Defender,Gambia,dgm67llgbrp8lvt2c5w1rm7zd,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/dgm67llgbrp8lvt2c5w1rm7zd
,,Atlanta Silverbacks,US Open Cup,Attacker,USA,dpuipcija85hwmej5ubw5tasp,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/dpuipcija85hwmej5ubw5tasp
,,Atlanta Silverbacks,US Open Cup,,Brazil,dr8lq9ytodwxjsjoaqvfq37xl,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/dr8lq9ytodwxjsjoaqvfq37xl
,,Atlanta Silverbacks,US Open Cup,Defender,Sierra Leone,dzrt6slcyqx6cg2s9yz8p4pud,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/dzrt6slcyqx6cg2s9yz8p4pud
,,Atlanta Silverbacks,US Open Cup,Midfielder,Sweden,e0vri4u2nqptbqrwv6kovefh1,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/e0vri4u2nqptbqrwv6kovefh1
,,Atlanta Silverbacks,US Open Cup,Midfielder,Costa Rica,ee6ue12shayc4qubdc28dojbp,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/ee6ue12shayc4qubdc28dojbp
,,Atlanta Silverbacks,US Open Cup,Midfielder,Sierra Leone,f2mdeq5qt5uugss3rat9ffzkl,c5oqwovshxanfm4kwanle7j8l,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/c5oqwovshxanfm4kwanle7j8l/player/view/f2mdeq5qt5uugss3rat9ffzkl
