liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Unsuccessful Dribbles,Duels,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Foul Won Penalty,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Penalty Goals,Tackles Won,Duels lost,Tackles Lost,Ground Duels won,Offsides,Successful Lay-offs,Unsuccessful Long Passes,Clean Sheets,Interceptions,Unsuccessful lay-offs,Successful Launches,Unsuccessful Launches,Blocks,Aerial Duels won,Total Clearances,Penalties Conceded,Saves Made,GK Successful Distribution,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Assists (Intentional),Through balls,Clearances Off the Line,Headed Goals,Crosses not Claimed,Other Goals
USA_US_Open_Cup,2016,Houston Dynamo FC,cfucb8do9rkxdk9381cinmqd,J. Anibaba,Defender,2.0,2.0,,1.0,,,,1.0,,2.0,135.0,11.0,,30.0,,3.0,,15.0,3.0,,,3.0,16.0,10.0,2.0,3.0,30.0,,,24.0,2.0,,5.0,,1.0,1.0,4.0,,3.0,4.0,1.0,3.0,3.0,65.0,,2.0,,4.0,,16.0,,10.0,2.0,,,1.0,,,,7.0,2.0,,2.0,,,,,2.0,10.0,,,25.0,25.0,3.0,,,2.0,5.0,,2.0,,,2.0,,3.0,,,2.0,2.0,,3.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,ba0arukvcwn1gagiglyxqz5jp,G. Barnes,Midfielder,10.0,1.0,,,,,,,1.0,5.0,85.0,,,27.0,2.0,6.0,,15.0,,1.0,,3.0,16.0,6.0,,6.0,27.0,,1.0,19.0,,2.0,6.0,,12.0,,10.0,2.0,,7.0,1.0,,1.0,46.0,,1.0,,9.0,,6.0,1.0,10.0,8.0,1.0,1.0,2.0,,4.0,4.0,15.0,,,5.0,,,,,4.0,3.0,,,21.0,21.0,6.0,,,,7.0,,5.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,1knx6w8nx8sd81peciwtes3x1,D. Beasley,Defender,7.0,1.0,,,,,,,1.0,,71.0,9.0,,61.0,,14.0,1.0,33.0,,,,,9.0,27.0,,2.0,62.0,,,56.0,,,3.0,,25.0,,2.0,,,5.0,1.0,,1.0,79.0,,1.0,,2.0,,19.0,,10.0,1.0,,,3.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,4.0,,,58.0,59.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,1612zaoj1lx3v08ko4tdl1vxl,C. Brown,Goalkeeper,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,dut4jl28mnzev74hm4pc9s2j9,W. Bruin,Forward,12.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,boikvurf3t5v7rteeu92o8s89,R. Casner,Forward,32.0,1.0,,,,,,1.0,,,19.0,,,9.0,,2.0,1.0,3.0,,1.0,,,2.0,5.0,,2.0,9.0,,,7.0,,1.0,2.0,,2.0,1.0,2.0,,,,,1.0,,12.0,,1.0,,2.0,,,,10.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,1.0,5.0,,,7.0,7.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,8i548jt5cee1vc5woeh5zmmz9,R. Clark,Midfielder,13.0,1.0,,1.0,,,,,,,90.0,,,43.0,,3.0,,22.0,,,,2.0,9.0,16.0,,5.0,43.0,2.0,,34.0,1.0,,5.0,,15.0,1.0,3.0,,,3.0,1.0,2.0,2.0,48.0,,1.0,2.0,3.0,,10.0,,10.0,2.0,,,4.0,,,,7.0,1.0,,,,,,,3.0,15.0,,,38.0,38.0,4.0,,,,5.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,tyov0w4vvjp4v8w9rw4fl9zp,Alex,Midfielder,14.0,3.0,2.0,,,,,1.0,,1.0,185.0,2.0,,115.0,,18.0,,63.0,3.0,1.0,,,34.0,32.0,1.0,16.0,117.0,3.0,1.0,89.0,2.0,3.0,22.0,,33.0,1.0,18.0,,,8.0,2.0,4.0,5.0,148.0,,3.0,3.0,15.0,,43.0,6.0,10.0,6.0,2.0,,6.0,,2.0,,17.0,2.0,1.0,1.0,,,,,11.0,23.0,2.0,,93.0,95.0,2.0,1.0,,1.0,11.0,,4.0,,,6.0,1.0,4.0,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,
USA_US_Open_Cup,2016,Houston Dynamo FC,7aq775owdtnqe0p1k0qab2qc5,T. Deric,Goalkeeper,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,15kop7o6luu9ppzl283ixra39,B. García,Midfielder,27.0,3.0,,,,,,2.0,1.0,2.0,97.0,,,68.0,,15.0,,37.0,1.0,,,,20.0,18.0,1.0,12.0,69.0,1.0,2.0,54.0,1.0,,14.0,,20.0,,16.0,,,9.0,1.0,3.0,1.0,85.0,2.0,3.0,1.0,11.0,,15.0,3.0,10.0,8.0,,,1.0,,4.0,,12.0,1.0,,3.0,,1.0,,,4.0,19.0,,,54.0,55.0,1.0,1.0,,1.0,4.0,,7.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
USA_US_Open_Cup,2016,Houston Dynamo FC,54lvjptxkuwq2w18zx20b6gnp,Agus,Defender,4.0,3.0,,,,,,,,,270.0,,,116.0,,5.0,,25.0,2.0,1.0,,2.0,34.0,68.0,1.0,7.0,119.0,1.0,,77.0,2.0,1.0,26.0,,40.0,,18.0,,,5.0,3.0,3.0,8.0,149.0,,3.0,,5.0,,51.0,2.0,10.0,4.0,,,16.0,,1.0,1.0,9.0,2.0,,,,,,,3.0,23.0,,,91.0,93.0,4.0,,,1.0,5.0,,2.0,,,19.0,1.0,9.0,,,11.0,1.0,2.0,12.0,,,,,,,,,,,,,,,,,,
