dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,LA Wolves FC,US Open Cup,Midfielder,USA,17274dx3vua44acuooglyjgmh,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/17274dx3vua44acuooglyjgmh
,,LA Wolves FC,US Open Cup,Attacker,England,1n34frcnookp7qe3q20r0dwbt,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/1n34frcnookp7qe3q20r0dwbt
,,LA Wolves FC,US Open Cup,Midfielder,USA,2r2dfhejokkuhgltmcokux0x5,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/2r2dfhejokkuhgltmcokux0x5
,,LA Wolves FC,US Open Cup,Defender,USA,3mlrkwr4yc2n29hhrt88jf9ih,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/3mlrkwr4yc2n29hhrt88jf9ih
,,LA Wolves FC,US Open Cup,Attacker,USA,5amrf34o9ab2fdz4b2utuf9pl,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/5amrf34o9ab2fdz4b2utuf9pl
,,LA Wolves FC,US Open Cup,Defender,USA,6oghmw0zl5u8z6gse12sc5drd,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/6oghmw0zl5u8z6gse12sc5drd
,,LA Wolves FC,US Open Cup,Defender,USA,6roxjryj30982wflby2pquh9l,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/6roxjryj30982wflby2pquh9l
,,LA Wolves FC,US Open Cup,Attacker,USA,7bpt1ou206h77brj86qfqnbop,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/7bpt1ou206h77brj86qfqnbop
,,LA Wolves FC,US Open Cup,Defender,USA,8rrhgm4sf85roq5l4o1nc8wyx,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/8rrhgm4sf85roq5l4o1nc8wyx
,,LA Wolves FC,US Open Cup,Defender,USA,8vovfbuh7u6v7tmy6aqpdn015,aj4nld9mh0aix5gp6d83jowk0,2bmwykmdlcc2u1c40ytoc39vy,jd3ycveqnkjvntl7b8wndb6x,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/teams/view/aj4nld9mh0aix5gp6d83jowk0/player/view/8vovfbuh7u6v7tmy6aqpdn015
