dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Charlotte Independence,US Open Cup,Midfielder,Cameroon,1kt0w2462h04z4nufpj5lcjdg,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/1kt0w2462h04z4nufpj5lcjdg
,,Charlotte Independence,US Open Cup,Defender,USA,1lo1gcb2moic7qgduktouj9qs,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/1lo1gcb2moic7qgduktouj9qs
7,,Charlotte Independence,US Open Cup,Midfielder,Côte d'Ivoire,1tm1alsanccpl0hcg85u78ded,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/1tm1alsanccpl0hcg85u78ded
32,Jaime Siaj,Charlotte Independence,US Open Cup,Attacker,Jordan,1zs9knt17zjeb0huwrxyonvu1,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/1zs9knt17zjeb0huwrxyonvu1
,,Charlotte Independence,US Open Cup,Defender,Jamaica,3efamfz6fqcn29w1yvqrgtpzp,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/3efamfz6fqcn29w1yvqrgtpzp
,,Charlotte Independence,US Open Cup,Defender,Costa Rica,3jd12xkywe8nkmby7kbpkln8p,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/3jd12xkywe8nkmby7kbpkln8p
15,,Charlotte Independence,US Open Cup,Defender,USA,3q20y870ja3uut11bq45qk7hl,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/3q20y870ja3uut11bq45qk7hl
25,,Charlotte Independence,US Open Cup,Defender,Uganda,4b8ces4st12vw6c8pliyo2b4l,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/4b8ces4st12vw6c8pliyo2b4l
18,,Charlotte Independence,US Open Cup,Goalkeeper,USA,4h9sb0oh6398gota6h68f80r9,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/4h9sb0oh6398gota6h68f80r9
,Donnie Smith,Charlotte Independence,US Open Cup,Defender,USA,4s7k0q09gi5l9dmseaxfig0k5,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/4s7k0q09gi5l9dmseaxfig0k5
14,,Charlotte Independence,US Open Cup,Midfielder,England,56txiyhvsvhudyr1b21rznmjt,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/56txiyhvsvhudyr1b21rznmjt
,,Charlotte Independence,US Open Cup,Defender,USA,5u6h6cptsad9e6n4uv76q0fl5,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/5u6h6cptsad9e6n4uv76q0fl5
10,,Charlotte Independence,US Open Cup,Attacker,Colombia,7mbwt78vow5s9u7h7tuqjjw7p,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/7mbwt78vow5s9u7h7tuqjjw7p
22,,Charlotte Independence,US Open Cup,Midfielder,Liberia,9j7k19w9hlw0cz8egy841huc5,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/9j7k19w9hlw0cz8egy841huc5
,,Charlotte Independence,US Open Cup,Defender,USA,9z7vbl0hv6r5lkl3adk4oav9x,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/9z7vbl0hv6r5lkl3adk4oav9x
,,Charlotte Independence,US Open Cup,Attacker,USA,b9d0uzamji8vccf2eujjsk9g5,1jonibkcr7qa3eozzxh0dcxd5,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/1jonibkcr7qa3eozzxh0dcxd5/player/view/b9d0uzamji8vccf2eujjsk9g5
