liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Goals Conceded Inside Box,Starts,Appearances,Index,Goals Conceded,Games Played,Substitute Off,Yellow Cards,Substitute On,Goals,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Open Play Passes,Successful Passes Opposition Half,Aerial Duels lost,Total Passes,Touches,Total Touches In Opposition Box,Successful Long Passes,Duels,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Saves Made,GK Successful Distribution,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Unsuccessful Passes Own Half,Catches,Forward Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Throw Ins to Own Player,Backward Passes,Interceptions,Penalties Conceded,Successful Launches,Corners Won,Total Tackles,Total Fouls Conceded,Foul Attempted Tackle,Ground Duels,Duels won,Total Fouls Won,Aerial Duels won,Ground Duels lost,Tackles Won,Ground Duels won,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Tackles Lost,PutThrough/Blocked Distribution,Blocks,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Total Shots,Handballs conceded,Successful Crosses & Corners,Successful Corners into Box,Blocked Shots,Corners Taken (incl short corners),Shots On Target ( inc goals ),Unsuccessful Corners into Box,Attempts from Set Pieces,Successful Crosses open play,Successful Dribbles,Throw Ins to Opposition Player,Successful Lay-offs,Right Foot Goals,Unsuccessful Dribbles,Goals from Inside Box,Penalties Taken,Penalty Goals,Hit Woodwork,Foul Won Penalty,Offsides,Through balls,Goals Conceded Outside Box,Assists (Intentional),Goal Assists,Unsuccessful lay-offs,Punches,Drops,Headed Goals,Left Foot Goals,Clean Sheets,Goals from Outside Box,Penalties Off Target,Goalkeeper Smother,Clearances Off the Line,Set Pieces Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks,Second Goal Assists,Own Goal Scored,Other Goals,Last Man Tackle
USA_US_Open_Cup,2017,FC Motown,nykdca1ck5mdpepm2ohnd42x,J. Barrajo,Defender,2.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,blfafvronti0lls25j66lui8l,J. Barrenechea,Defender,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,5nipdyowbjjzdd5jr6j4fuwvd,A. Berriel,Attacker,17.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,b8kd44naaogeciao0fqjjvft,F. Castellanos,Midfielder,5.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,e36dz52u9tmz0lyn9y8s1v2sp,J. Congolino,Attacker,14.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,1jgmod7kisbqgj0iuva5lurqh,Dennis Correia,Defender,3.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,b1zjlp7qzvwqa8h20br7w2b55,A. Ferrer,Attacker,19.0,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,5f748in1pfvpvq5259woj8lbd,M. Garcia,Attacker,11.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,7i5fs0pwkcxfak2zt7fbljbah,S. Gehman,Midfielder,7.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,FC Motown,3qqxutlybmdt2zz6a2bge0wyd,M. Hackett,Defender,13.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
