dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
9,,Houston Dutch Lions FC,US Open Cup,Attacker,USA,1svzdk8iu3un02trmlybpc06h,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/1svzdk8iu3un02trmlybpc06h
2,,Houston Dutch Lions FC,US Open Cup,Defender,USA,20c11ba8u1fet63907d1bg92h,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/20c11ba8u1fet63907d1bg92h
,,Houston Dutch Lions FC,US Open Cup,Defender,England,2j665vo7h9m614jcfhgsbubjd,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/2j665vo7h9m614jcfhgsbubjd
,,Houston Dutch Lions FC,US Open Cup,Goalkeeper,USA,3g188c0tey4lbcjmgtgdlnqw9,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/3g188c0tey4lbcjmgtgdlnqw9
13,,Houston Dutch Lions FC,US Open Cup,Defender,Mexico,3ia9nfdoxvtfxnue0t8nsgag9,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/3ia9nfdoxvtfxnue0t8nsgag9
,,Houston Dutch Lions FC,US Open Cup,Midfielder,Portugal,4k7wmy996v0utn9mzjg39eju1,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/4k7wmy996v0utn9mzjg39eju1
12,,Houston Dutch Lions FC,US Open Cup,Goalkeeper,USA,51tnl7b2spuupky5ogpefja3t,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/51tnl7b2spuupky5ogpefja3t
1,,Houston Dutch Lions FC,US Open Cup,Goalkeeper,Mexico,5bxvq9zwrhfil4n7w6ms3xp7t,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/5bxvq9zwrhfil4n7w6ms3xp7t
,,Houston Dutch Lions FC,US Open Cup,Midfielder,USA,6hh61dks6ufqtub74sy69uzmx,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/6hh61dks6ufqtub74sy69uzmx
,,Houston Dutch Lions FC,US Open Cup,Goalkeeper,USA,6u8kkftd66hvmowh5wux69yh,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/6u8kkftd66hvmowh5wux69yh
20,,Houston Dutch Lions FC,US Open Cup,Attacker,Mexico,73da1bow1jplk5704qwfwlpm1,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/73da1bow1jplk5704qwfwlpm1
10,,Houston Dutch Lions FC,US Open Cup,Midfielder,Netherlands,748rvvp14nqcjt0lckiw120o9,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/748rvvp14nqcjt0lckiw120o9
24,,Houston Dutch Lions FC,US Open Cup,Attacker,Mexico,78vw41y9wfddrw30dpxovls6h,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/78vw41y9wfddrw30dpxovls6h
14,,Houston Dutch Lions FC,US Open Cup,Defender,USA,7u1w9yug84tps080ldwudl4vd,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/7u1w9yug84tps080ldwudl4vd
7,,Houston Dutch Lions FC,US Open Cup,Attacker,USA,7wvcj23p737wtknzjpjg7hp7t,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/7wvcj23p737wtknzjpjg7hp7t
5,,Houston Dutch Lions FC,US Open Cup,Defender,USA,8gwdirbsfmatgfefrt72wsxk9,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/8gwdirbsfmatgfefrt72wsxk9
26,,Houston Dutch Lions FC,US Open Cup,Midfielder,Brazil,9hc823mn0q748cp4afd46rsvd,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/9hc823mn0q748cp4afd46rsvd
3,,Houston Dutch Lions FC,US Open Cup,Midfielder,Netherlands,aezg2kijkauiphxt97pdkotsl,duetavtx19mz5oi24usstj4mf,2bmwykmdlcc2u1c40ytoc39vy,cd8sfgfqq5fv387wemrjmlrl5,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/teams/view/duetavtx19mz5oi24usstj4mf/player/view/aezg2kijkauiphxt97pdkotsl
