liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Successful Lay-offs,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Throw Ins to Own Player,Aerial Duels lost,Total Tackles,Successful Dribbles,Unsuccessful Passes Own Half,Duels won,Shots On Target ( inc goals ),Aerial Duels won,Total Clearances,Aerial Duels,Tackles Won,Interceptions,Ground Duels won,Substitute On,Goals,Right Foot Goals,Substitute Off,Blocked Shots,Throw Ins to Opposition Player,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Goals from Inside Box,Penalties Taken,Goal Assists,Penalty Goals,Offsides,Successful Launches,PutThrough/Blocked Distribution Won,Goals from Outside Box,Clean Sheets,Through balls,Tackles Lost,Yellow Cards,Blocks,Saves Made,GK Successful Distribution,Unsuccessful Launches,Catches,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Clearances Off the Line,Unsuccessful lay-offs,Left Foot Goals,Foul Won Penalty,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Attempts from Set Pieces,Punches,Saves Made from Outside Box,Penalties Faced,Assists (Intentional),Headed Goals,Handballs conceded,Hit Woodwork,Penalties Conceded,Second Goal Assists,Drops,Own Goal Scored,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal,Saves made - caught,Goal Kicks,Set Pieces Goals,Other Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Goalkeeper Smother
USA_US_Open_Cup,2018,Charleston Battery,7u1kmvvgmk08p9pawrhxkqwvd,T. Anunga,Midfielder,22.0,2.0,204.0,2.0,138.0,,17.0,,67.0,4.0,2.0,31.0,55.0,13.0,139.0,2.0,103.0,1.0,2.0,17.0,,37.0,3.0,15.0,26.0,2.0,5.0,177.0,,3.0,2.0,21.0,45.0,1.0,10.0,4.0,24.0,3.0,2.0,3.0,,8.0,40.0,121.0,122.0,8.0,,,11.0,,4.0,16.0,,3.0,2.0,3.0,11.0,3.0,13.0,1.0,,,,,,19.0,,2.0,,,,,,,4.0,,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,3rnqn98rump6gskreijyzbj6x,R. Arambula,Midfielder,18.0,2.0,180.0,3.0,91.0,1.0,12.0,3.0,32.0,6.0,1.0,22.0,52.0,9.0,96.0,1.0,71.0,,1.0,15.0,1.0,25.0,2.0,19.0,17.0,2.0,1.0,118.0,4.0,2.0,1.0,13.0,24.0,,10.0,,13.0,,5.0,2.0,3.0,8.0,35.0,78.0,81.0,8.0,,,3.0,2.0,1.0,5.0,,,1.0,,1.0,2.0,5.0,,,,,,,10.0,2.0,,,,,,,1.0,1.0,,2.0,,2.0,,2.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,b4zuh9zkysfe0bc6hb2gv4b8p,R. Beebe,Goalkeeper,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,coxaq9p6ottf9z6ilyzntl42x,J. Bolt,Defender,2.0,,16.0,,8.0,1.0,1.0,,3.0,1.0,,4.0,4.0,1.0,9.0,,7.0,,,2.0,,4.0,,1.0,1.0,,,13.0,1.0,1.0,,,4.0,,10.0,,,,,1.0,,,,6.0,7.0,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,1qy6habugg41z0xmgrm2by86h,V. Candela,Midfielder,12.0,2.0,163.0,1.0,56.0,,7.0,1.0,17.0,4.0,1.0,20.0,35.0,7.0,62.0,5.0,50.0,1.0,2.0,11.0,1.0,12.0,1.0,14.0,15.0,2.0,,90.0,4.0,3.0,5.0,19.0,18.0,1.0,10.0,1.0,21.0,3.0,4.0,3.0,2.0,9.0,25.0,45.0,51.0,9.0,,,6.0,,1.0,12.0,1.0,2.0,1.0,2.0,6.0,1.0,10.0,1.0,,,1.0,,,1.0,,4.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,1u3f8w69di8iig48sxp19dql1,O. Cooper,Goalkeeper,23.0,,270.0,,24.0,,,,8.0,16.0,,16.0,27.0,,51.0,,19.0,1.0,,16.0,,8.0,,13.0,26.0,3.0,,80.0,,3.0,,,33.0,,10.0,,2.0,3.0,,3.0,,,10.0,20.0,35.0,,,,,,3.0,2.0,,2.0,1.0,2.0,,,,,,,,,,16.0,,,,,,,,7.0,,,2.0,,,1.0,,6.0,31.0,5.0,4.0,2.0,4.0,11.0,,,,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,6gbmjgjyf3h1mu0jmw84o2fv9,A. Guerra,Forward,10.0,,100.0,4.0,46.0,,11.0,,25.0,1.0,2.0,16.0,12.0,8.0,46.0,3.0,34.0,1.0,2.0,9.0,,14.0,,6.0,6.0,1.0,3.0,68.0,,2.0,2.0,13.0,10.0,8.0,10.0,1.0,16.0,3.0,,2.0,,8.0,11.0,37.0,37.0,10.0,3.0,2.0,,2.0,3.0,6.0,,1.0,,3.0,,,5.0,1.0,,,1.0,2.0,,3.0,,3.0,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,Defender,8.0,5.0,254.0,,163.0,,18.0,1.0,51.0,24.0,1.0,68.0,71.0,22.0,167.0,,104.0,1.0,1.0,46.0,,45.0,2.0,39.0,18.0,3.0,8.0,231.0,,3.0,,19.0,100.0,1.0,10.0,2.0,39.0,3.0,5.0,3.0,,8.0,4.0,118.0,121.0,13.0,16.0,5.0,4.0,5.0,12.0,26.0,,15.0,5.0,20.0,2.0,3.0,11.0,,,,1.0,,9.0,17.0,1.0,2.0,,,,,1.0,1.0,4.0,,2.0,,2.0,,,,,5.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,8envagj4daoc5ni22kpi98c89,K. Higashi,Midfielder,25.0,1.0,111.0,1.0,26.0,1.0,9.0,,20.0,1.0,,17.0,4.0,2.0,27.0,,23.0,1.0,,3.0,,7.0,1.0,4.0,3.0,1.0,3.0,49.0,,2.0,,10.0,4.0,3.0,10.0,2.0,11.0,3.0,1.0,2.0,,7.0,7.0,24.0,24.0,8.0,,1.0,,1.0,,3.0,,,,1.0,,2.0,3.0,1.0,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Charleston Battery,5hrkmr014lfjfwfutoucg450q,A. Kelly,Midfielder,21.0,8.0,180.0,,55.0,1.0,14.0,3.0,21.0,2.0,2.0,41.0,17.0,18.0,55.0,3.0,34.0,,2.0,20.0,,4.0,2.0,25.0,11.0,2.0,8.0,110.0,,2.0,1.0,24.0,21.0,5.0,10.0,1.0,35.0,,8.0,2.0,,9.0,16.0,35.0,35.0,15.0,3.0,6.0,8.0,4.0,3.0,20.0,,5.0,,11.0,8.0,3.0,15.0,,,,,1.0,2.0,1.0,3.0,4.0,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
