liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Successful Lay-offs,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Throw Ins to Own Player,Aerial Duels lost,Total Tackles,Successful Dribbles,Unsuccessful Passes Own Half,Duels won,Shots On Target ( inc goals ),Aerial Duels won,Total Clearances,Aerial Duels,Tackles Won,Interceptions,Ground Duels won,Substitute On,Goals,Right Foot Goals,Substitute Off,Blocked Shots,Throw Ins to Opposition Player,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Goals from Inside Box,Penalties Taken,Goal Assists,Penalty Goals,Offsides,Successful Launches,PutThrough/Blocked Distribution Won,Goals from Outside Box,Clean Sheets,Through balls,Tackles Lost,Yellow Cards,Blocks,Saves Made,GK Successful Distribution,Unsuccessful Launches,Catches,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Clearances Off the Line,Unsuccessful lay-offs,Left Foot Goals,Foul Won Penalty,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Attempts from Set Pieces,Punches,Saves Made from Outside Box,Penalties Faced,Assists (Intentional),Headed Goals,Handballs conceded,Hit Woodwork,Penalties Conceded,Second Goal Assists,Drops,Own Goal Scored,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal,Saves made - caught,Goal Kicks,Set Pieces Goals,Other Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Goalkeeper Smother
USA_US_Open_Cup,2018,Chicago Fire FC,ahsgqqn4mjj7isq2x0fdkl49,B. Bronico,Midfielder,13.0,1.0,372.0,7.0,186.0,1.0,33.0,1.0,83.0,7.0,3.0,34.0,85.0,14.0,188.0,2.0,156.0,3.0,3.0,21.0,,46.0,1.0,18.0,12.0,4.0,7.0,236.0,1.0,4.0,2.0,22.0,48.0,5.0,10.0,3.0,26.0,3.0,2.0,4.0,1.0,9.0,61.0,165.0,167.0,12.0,,3.0,7.0,3.0,5.0,14.0,,1.0,7.0,4.0,5.0,2.0,13.0,,,,1.0,1.0,,11.0,1.0,3.0,,,,,1.0,,3.0,,2.0,,2.0,,4.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,4pvzci644zwid3yddruz3l0id,J. Campbell,Defender,16.0,,217.0,,132.0,1.0,7.0,1.0,31.0,8.0,,14.0,91.0,4.0,133.0,2.0,107.0,2.0,,12.0,,29.0,2.0,10.0,7.0,2.0,,151.0,,3.0,1.0,5.0,46.0,,10.0,,12.0,2.0,,3.0,,3.0,51.0,121.0,121.0,9.0,1.0,6.0,1.0,,2.0,3.0,,1.0,3.0,7.0,1.0,6.0,2.0,1.0,,,,,,14.0,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,991l8wbi9cfhm2pmyid7cle22,D. Campos,Forward,17.0,7.0,275.0,1.0,92.0,6.0,26.0,5.0,45.0,5.0,2.0,52.0,36.0,16.0,97.0,3.0,71.0,2.0,4.0,21.0,3.0,13.0,4.0,36.0,11.0,3.0,7.0,167.0,15.0,3.0,1.0,19.0,31.0,11.0,10.0,3.0,27.0,2.0,19.0,3.0,11.0,11.0,27.0,72.0,76.0,17.0,10.0,6.0,2.0,2.0,4.0,10.0,2.0,2.0,3.0,8.0,1.0,5.0,8.0,,1.0,,1.0,2.0,4.0,5.0,1.0,4.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,4.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,ei4ddhpc4jooivjfq9uw3092h,S. Cleveland,Goalkeeper,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,1nl79aq9il743hgoaijmupmmt,E. Collier,Forward,28.0,,90.0,3.0,34.0,1.0,16.0,,16.0,,1.0,20.0,8.0,10.0,34.0,2.0,23.0,,2.0,10.0,,4.0,1.0,9.0,6.0,1.0,2.0,59.0,,1.0,1.0,15.0,7.0,4.0,10.0,3.0,26.0,,,1.0,,8.0,7.0,24.0,24.0,15.0,,7.0,1.0,2.0,1.0,11.0,1.0,4.0,1.0,11.0,1.0,1.0,7.0,,1.0,1.0,,,1.0,1.0,,6.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,qltl203pzsm3rkzahegvglpl,D. Conner,Midfielder,18.0,,5.0,,1.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,10.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,1wcq33p7w71u1mkdk349gicph,J. Corrales,Defender,25.0,6.0,374.0,1.0,205.0,1.0,35.0,,81.0,12.0,1.0,60.0,94.0,23.0,210.0,7.0,163.0,3.0,1.0,35.0,,77.0,3.0,32.0,22.0,4.0,6.0,308.0,1.0,4.0,4.0,32.0,88.0,1.0,10.0,2.0,34.0,3.0,6.0,4.0,,14.0,10.0,171.0,175.0,15.0,27.0,1.0,11.0,5.0,9.0,19.0,,1.0,7.0,2.0,6.0,11.0,18.0,,,,1.0,,16.0,12.0,,3.0,,,1.0,,,,3.0,,2.0,1.0,5.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,817ltkyap93lk4mew1u7p8xk9,R. Edwards,Forward,7.0,5.0,90.0,,37.0,4.0,13.0,1.0,22.0,2.0,1.0,27.0,7.0,8.0,38.0,1.0,27.0,3.0,1.0,10.0,,14.0,2.0,15.0,6.0,1.0,6.0,68.0,1.0,1.0,1.0,13.0,6.0,5.0,10.0,4.0,15.0,3.0,6.0,1.0,1.0,10.0,5.0,27.0,28.0,11.0,1.0,1.0,,2.0,1.0,4.0,,1.0,,2.0,,2.0,3.0,,,,,,,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,drg3v7974zszuaaltfys5teqd,K. Ellis,Defender,5.0,,41.0,,15.0,,2.0,,2.0,,,3.0,10.0,3.0,15.0,,12.0,2.0,,3.0,,1.0,,2.0,5.0,,,20.0,,2.0,,1.0,8.0,,10.0,,3.0,2.0,,2.0,,,4.0,12.0,12.0,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,Chicago Fire FC,a60ttf7nfope40pqngj6fsp1x,Rafael Ramos,Defender,27.0,5.0,136.0,1.0,60.0,1.0,18.0,,25.0,1.0,,19.0,27.0,7.0,60.0,3.0,49.0,2.0,,8.0,,2.0,3.0,11.0,9.0,1.0,4.0,100.0,,2.0,2.0,15.0,15.0,1.0,10.0,2.0,16.0,2.0,5.0,2.0,,9.0,25.0,52.0,52.0,10.0,18.0,1.0,3.0,2.0,2.0,6.0,,,,1.0,2.0,2.0,6.0,1.0,,,,,1.0,3.0,,1.0,,,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
