dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
26,,DC United,US Open Cup,Goalkeeper,USA,2064tn0xmtvyqn799kddgrnpx,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/2064tn0xmtvyqn799kddgrnpx
,,DC United,US Open Cup,Defender,USA,22ho8ntvk2y658oyycypgpyw9,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/22ho8ntvk2y658oyycypgpyw9
29,,DC United,US Open Cup,Attacker,Jamaica,2ahydamecjom9wgc8o59g3v85,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/2ahydamecjom9wgc8o59g3v85
,,DC United,US Open Cup,Attacker,England,2o9fqapnt5ixaydwbk9gjtolx,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/2o9fqapnt5ixaydwbk9gjtolx
18,,DC United,US Open Cup,Attacker,Hungary,36haurik255ui3s3i8eetw1jp,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/36haurik255ui3s3i8eetw1jp
,,DC United,US Open Cup,,USA,381pzgvkt2j5zj6oe19eduj1l,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/381pzgvkt2j5zj6oe19eduj1l
,,DC United,US Open Cup,Midfielder,USA,3vscyl50qba385iuu4odsu505,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/3vscyl50qba385iuu4odsu505
,,DC United,US Open Cup,Defender,Canada,44xe59w51j9i2j144979ynyl1,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/44xe59w51j9i2j144979ynyl1
20,,DC United,US Open Cup,Defender,USA,49pl202vb1r6qu8kh2n9snahh,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/49pl202vb1r6qu8kh2n9snahh
48,,DC United,US Open Cup,Goalkeeper,USA,5tw4eu899whebkaq8q68wuajt,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/5tw4eu899whebkaq8q68wuajt
7,,DC United,US Open Cup,Attacker,USA,6glxg9gvqn1uc1jmwisnml68l,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/6glxg9gvqn1uc1jmwisnml68l
13,,DC United,US Open Cup,Defender,France,6k0onvkpo84py83rbc28852ol,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/6k0onvkpo84py83rbc28852ol
15,,DC United,US Open Cup,Defender,USA,7ftzvsdtanjzae4acqwp5r0lx,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/7ftzvsdtanjzae4acqwp5r0lx
21,,DC United,US Open Cup,Midfielder,USA,7uv8k6pqob0xqw7zchsfxk4ix,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/7uv8k6pqob0xqw7zchsfxk4ix
23,,DC United,US Open Cup,Midfielder,USA,7v2udgcj3xk2douxfmge6lp7t,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/7v2udgcj3xk2douxfmge6lp7t
22,,DC United,US Open Cup,Attacker,Argentina,7z9pkb01zugta9xl1bplj79w5,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/7z9pkb01zugta9xl1bplj79w5
16,,DC United,US Open Cup,Attacker,USA,80r2a3jnvy8ekbl3ojskctjo5,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/80r2a3jnvy8ekbl3ojskctjo5
25,,DC United,US Open Cup,Midfielder,USA,84glcl7l5zbb8dkjauon561h,5qw82lpi6fio4fbljihlyyulb,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/5qw82lpi6fio4fbljihlyyulb/player/view/84glcl7l5zbb8dkjauon561h
