liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Successful Lay-offs,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Throw Ins to Own Player,Aerial Duels lost,Total Tackles,Successful Dribbles,Unsuccessful Passes Own Half,Duels won,Shots On Target ( inc goals ),Aerial Duels won,Total Clearances,Aerial Duels,Tackles Won,Interceptions,Ground Duels won,Substitute On,Goals,Right Foot Goals,Substitute Off,Blocked Shots,Throw Ins to Opposition Player,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Goals from Inside Box,Penalties Taken,Goal Assists,Penalty Goals,Offsides,Successful Launches,PutThrough/Blocked Distribution Won,Goals from Outside Box,Clean Sheets,Through balls,Tackles Lost,Yellow Cards,Blocks,Saves Made,GK Successful Distribution,Unsuccessful Launches,Catches,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Clearances Off the Line,Unsuccessful lay-offs,Left Foot Goals,Foul Won Penalty,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Attempts from Set Pieces,Punches,Saves Made from Outside Box,Penalties Faced,Assists (Intentional),Headed Goals,Handballs conceded,Hit Woodwork,Penalties Conceded,Second Goal Assists,Drops,Own Goal Scored,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal,Saves made - caught,Goal Kicks,Set Pieces Goals,Other Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Goalkeeper Smother
USA_US_Open_Cup,2018,FC Golden State Force,a3puv9bm6e6uel5oe1dmcjhbe,T. Allen,Midfielder,0.0,8.0,270.0,,74.0,2.0,12.0,2.0,21.0,8.0,,50.0,37.0,10.0,74.0,3.0,53.0,4.0,,18.0,1.0,3.0,1.0,18.0,10.0,3.0,2.0,149.0,1.0,3.0,2.0,21.0,24.0,,10.0,1.0,26.0,6.0,8.0,3.0,,10.0,35.0,56.0,56.0,14.0,14.0,4.0,5.0,4.0,8.0,12.0,,1.0,5.0,5.0,5.0,5.0,11.0,,,,,,14.0,3.0,1.0,2.0,,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,335jn70k4mdbsba33qit3zyll,E. Cárdenas,Midfielder,0.0,,66.0,,21.0,,4.0,,12.0,,1.0,13.0,3.0,8.0,23.0,2.0,15.0,1.0,1.0,8.0,,8.0,,8.0,1.0,,5.0,40.0,,2.0,2.0,11.0,9.0,5.0,10.0,1.0,11.0,2.0,,2.0,,4.0,2.0,13.0,15.0,4.0,,,1.0,3.0,,7.0,,,,,,,7.0,2.0,,,,,,,,3.0,,,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,afjaw9ti0gula9ll45ajz6sid,Allisson Ricardo,Forward,0.0,,250.0,6.0,74.0,2.0,23.0,,27.0,1.0,5.0,51.0,24.0,28.0,80.0,9.0,48.0,4.0,9.0,29.0,,27.0,1.0,23.0,9.0,3.0,3.0,136.0,1.0,3.0,3.0,36.0,22.0,6.0,10.0,,74.0,5.0,1.0,3.0,1.0,22.0,8.0,45.0,51.0,41.0,,19.0,5.0,2.0,7.0,33.0,4.0,19.0,2.0,38.0,4.0,1.0,14.0,,3.0,3.0,2.0,1.0,,3.0,,10.0,2.0,2.0,,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,38jjjjgxxvi9pdv763ttsphhx,D. Flores,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,5jz7p2yap2y7xizp1pg1hquax,Pedro Fonseca,Midfielder,0.0,,164.0,4.0,36.0,,16.0,,13.0,1.0,1.0,18.0,15.0,9.0,38.0,2.0,26.0,3.0,3.0,10.0,,3.0,2.0,9.0,8.0,2.0,5.0,62.0,,2.0,1.0,18.0,11.0,9.0,10.0,3.0,18.0,4.0,,2.0,,9.0,8.0,27.0,28.0,9.0,,,2.0,2.0,1.0,9.0,2.0,,,,1.0,,9.0,,2.0,1.0,1.0,,,2.0,,5.0,2.0,,1.0,,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,4qzonhmx8c081x73u7gdu2a96,N. Gantous,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,7s0itzfs2u4gu6zym2vumu28l,E. García,Defender,0.0,,270.0,,93.0,,9.0,,11.0,10.0,,24.0,61.0,13.0,95.0,1.0,66.0,4.0,,23.0,,17.0,,8.0,13.0,3.0,,133.0,,3.0,1.0,13.0,38.0,2.0,10.0,,27.0,6.0,,3.0,,3.0,31.0,70.0,72.0,10.0,1.0,7.0,3.0,3.0,15.0,17.0,,7.0,15.0,14.0,2.0,5.0,10.0,,,,,,,6.0,,4.0,,,,,,2.0,,,,,1.0,,1.0,,,7.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,6e28tp92ixrknorjpqawcm311,Samuel Goñi,Forward,0.0,1.0,270.0,1.0,75.0,3.0,15.0,1.0,45.0,4.0,2.0,32.0,16.0,13.0,77.0,3.0,58.0,4.0,6.0,17.0,,23.0,4.0,16.0,13.0,3.0,2.0,114.0,,3.0,1.0,23.0,21.0,15.0,10.0,4.0,32.0,6.0,1.0,3.0,,16.0,18.0,58.0,60.0,23.0,,7.0,1.0,2.0,2.0,9.0,4.0,2.0,1.0,9.0,,1.0,7.0,,1.0,,,1.0,,2.0,,4.0,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,1z750xyx7stmv6uf51h1y6ehh,E. Holt,Defender,0.0,,135.0,1.0,68.0,,6.0,,27.0,1.0,,24.0,22.0,20.0,70.0,1.0,47.0,3.0,,21.0,,13.0,1.0,15.0,8.0,2.0,1.0,84.0,,2.0,1.0,10.0,34.0,,10.0,1.0,17.0,3.0,,2.0,,4.0,17.0,47.0,49.0,9.0,,5.0,3.0,2.0,6.0,8.0,,2.0,3.0,7.0,2.0,,6.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,27u8nwbptxzorat8qm5fgqt7u,D. Kelly,Midfielder,0.0,,180.0,1.0,66.0,,4.0,,15.0,4.0,,18.0,43.0,8.0,70.0,4.0,55.0,3.0,,12.0,,23.0,,5.0,12.0,2.0,1.0,100.0,,2.0,2.0,11.0,22.0,3.0,10.0,,17.0,5.0,,2.0,,5.0,21.0,54.0,58.0,9.0,,4.0,2.0,,7.0,8.0,,2.0,11.0,6.0,2.0,4.0,6.0,,,,,,,3.0,,4.0,,,1.0,,,2.0,1.0,,,,,1.0,2.0,,,3.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,f5koymd3cnh9k78xlw2qo0z8q,A. López,Midfielder,0.0,1.0,267.0,6.0,151.0,,19.0,4.0,66.0,6.0,,45.0,75.0,21.0,164.0,3.0,110.0,4.0,,27.0,4.0,37.0,5.0,23.0,15.0,3.0,2.0,206.0,5.0,3.0,,21.0,51.0,2.0,10.0,3.0,24.0,6.0,3.0,3.0,1.0,12.0,57.0,126.0,137.0,14.0,3.0,2.0,3.0,3.0,7.0,10.0,,1.0,2.0,3.0,3.0,3.0,9.0,,,,1.0,1.0,,27.0,,3.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,7bwb4uy0au1vg6bwd0wob4ru1,Marcelo Manfredini,Midfielder,0.0,1.0,51.0,,13.0,1.0,5.0,,10.0,1.0,2.0,5.0,2.0,1.0,14.0,1.0,12.0,1.0,2.0,2.0,,2.0,,2.0,5.0,,,29.0,,3.0,1.0,11.0,5.0,2.0,10.0,1.0,12.0,2.0,1.0,3.0,,3.0,2.0,11.0,12.0,4.0,,1.0,,5.0,1.0,8.0,,,1.0,1.0,,,8.0,3.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Golden State Force,44gz81yqbchzyrg376o05d8q2,K. Marquez,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
