liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Successful Lay-offs,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Throw Ins to Own Player,Aerial Duels lost,Total Tackles,Successful Dribbles,Unsuccessful Passes Own Half,Duels won,Shots On Target ( inc goals ),Aerial Duels won,Total Clearances,Aerial Duels,Tackles Won,Interceptions,Ground Duels won,Substitute On,Goals,Right Foot Goals,Substitute Off,Blocked Shots,Throw Ins to Opposition Player,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Goals from Inside Box,Penalties Taken,Goal Assists,Penalty Goals,Offsides,Successful Launches,PutThrough/Blocked Distribution Won,Goals from Outside Box,Clean Sheets,Through balls,Tackles Lost,Yellow Cards,Blocks,Saves Made,GK Successful Distribution,Unsuccessful Launches,Catches,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Clearances Off the Line,Unsuccessful lay-offs,Left Foot Goals,Foul Won Penalty,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Attempts from Set Pieces,Punches,Saves Made from Outside Box,Penalties Faced,Assists (Intentional),Headed Goals,Handballs conceded,Hit Woodwork,Penalties Conceded,Second Goal Assists,Drops,Own Goal Scored,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal,Saves made - caught,Goal Kicks,Set Pieces Goals,Other Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Goalkeeper Smother
USA_US_Open_Cup,2018,FC Tucson,akbsmkm4h4z3dtiiseyrg9f55,G. Carranza,Defender,22.0,,82.0,,7.0,,,1.0,3.0,3.0,,11.0,1.0,1.0,7.0,,2.0,4.0,1.0,4.0,,,,4.0,1.0,1.0,1.0,21.0,,1.0,,8.0,3.0,1.0,10.0,1.0,10.0,4.0,,1.0,,6.0,4.0,3.0,3.0,8.0,,2.0,2.0,,,2.0,1.0,,,2.0,2.0,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,7s6ymy86gyzn5wyt6nqhtn0t1,Andreu Cases,Goalkeeper,0.0,,90.0,,8.0,,,,4.0,18.0,,18.0,5.0,,27.0,,3.0,4.0,,18.0,,2.0,1.0,17.0,7.0,1.0,,35.0,,1.0,,,24.0,,10.0,,,4.0,,1.0,,,1.0,5.0,9.0,,,,,,1.0,,,,1.0,,,,,,,,,,,6.0,,,,,,,,1.0,,,,,,,,,5.0,1.0,2.0,,,12.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,55wjcbiee7kjgs6yxpog6nrhl,W. Delmonte,Midfielder,9.0,,21.0,,6.0,,1.0,,4.0,,1.0,1.0,1.0,1.0,6.0,,5.0,,1.0,1.0,,4.0,1.0,1.0,1.0,,,10.0,,1.0,,2.0,1.0,1.0,10.0,,2.0,,,1.0,,1.0,,5.0,5.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,1ib0duqrlpdskyfshb46hjpt6,J. Gaona,Forward,0.0,,90.0,,27.0,1.0,2.0,,8.0,5.0,,14.0,10.0,5.0,28.0,,16.0,4.0,1.0,10.0,,4.0,2.0,8.0,5.0,1.0,5.0,56.0,,1.0,,6.0,21.0,1.0,10.0,,10.0,4.0,,1.0,,2.0,1.0,17.0,18.0,5.0,8.0,3.0,2.0,2.0,2.0,5.0,1.0,1.0,3.0,4.0,1.0,2.0,4.0,,,,,,1.0,2.0,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,4eja1g2xx9gwysxnfgg6rpdqt,D. Germán,Midfielder,0.0,1.0,90.0,,7.0,2.0,3.0,,3.0,,1.0,14.0,5.0,3.0,11.0,1.0,8.0,4.0,1.0,3.0,,4.0,,4.0,3.0,1.0,2.0,38.0,,1.0,1.0,18.0,3.0,4.0,10.0,,19.0,4.0,1.0,1.0,,7.0,1.0,4.0,8.0,8.0,1.0,1.0,1.0,4.0,,11.0,,,,1.0,1.0,,11.0,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,4qplz3rdvmlml1ahkhn536qga,I. German,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,cssh7ot986ppecau1yv1ci6p6,A. Gonzales,Midfielder,0.0,,80.0,,12.0,,3.0,,4.0,2.0,1.0,9.0,5.0,2.0,13.0,2.0,7.0,4.0,1.0,4.0,,,1.0,2.0,4.0,1.0,1.0,36.0,,1.0,1.0,10.0,9.0,2.0,10.0,,12.0,4.0,,1.0,,6.0,1.0,8.0,9.0,7.0,5.0,1.0,3.0,,2.0,5.0,,1.0,3.0,2.0,1.0,3.0,4.0,,,,1.0,,2.0,2.0,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,e9xcugwm5ksxil80kpbcow9nt,B. Guarneri,Midfielder,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,c5nmw4475depafhoycy6no2ne,A. Martinez,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Tucson,dft9lcg462ypsn57ryewy1uga,J. McGhee,Midfielder,0.0,,90.0,,18.0,,,,4.0,5.0,,11.0,5.0,6.0,20.0,,5.0,4.0,,11.0,,3.0,,5.0,3.0,1.0,,34.0,,1.0,,5.0,12.0,,10.0,,9.0,4.0,,1.0,,1.0,5.0,8.0,9.0,1.0,,,3.0,,6.0,8.0,,4.0,5.0,4.0,1.0,4.0,4.0,,,,,,,4.0,,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
