liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Successful Lay-offs,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Throw Ins to Own Player,Aerial Duels lost,Total Tackles,Successful Dribbles,Unsuccessful Passes Own Half,Duels won,Shots On Target ( inc goals ),Aerial Duels won,Total Clearances,Aerial Duels,Tackles Won,Interceptions,Ground Duels won,Substitute On,Goals,Right Foot Goals,Substitute Off,Blocked Shots,Throw Ins to Opposition Player,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Goals from Inside Box,Penalties Taken,Goal Assists,Penalty Goals,Offsides,Successful Launches,PutThrough/Blocked Distribution Won,Goals from Outside Box,Clean Sheets,Through balls,Tackles Lost,Yellow Cards,Blocks,Saves Made,GK Successful Distribution,Unsuccessful Launches,Catches,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Clearances Off the Line,Unsuccessful lay-offs,Left Foot Goals,Foul Won Penalty,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Attempts from Set Pieces,Punches,Saves Made from Outside Box,Penalties Faced,Assists (Intentional),Headed Goals,Handballs conceded,Hit Woodwork,Penalties Conceded,Second Goal Assists,Drops,Own Goal Scored,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal,Saves made - caught,Goal Kicks,Set Pieces Goals,Other Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Goalkeeper Smother
USA_US_Open_Cup,2018,FC Wichita,7mu0xgi1tzgnlshib0pgiybu2,B. Andoh,Defender,0.0,3.0,180.0,,49.0,,7.0,1.0,20.0,1.0,,19.0,23.0,7.0,50.0,1.0,42.0,4.0,,8.0,,11.0,1.0,11.0,12.0,2.0,4.0,81.0,,2.0,,12.0,24.0,,10.0,,15.0,6.0,3.0,2.0,,6.0,8.0,41.0,42.0,9.0,7.0,3.0,2.0,2.0,,6.0,,,2.0,3.0,2.0,2.0,6.0,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,8k8wx2h29175jidvgeaqcrhed,M. Clare,Midfielder,0.0,1.0,53.0,1.0,35.0,,6.0,2.0,23.0,2.0,1.0,13.0,9.0,4.0,36.0,2.0,23.0,1.0,1.0,6.0,2.0,19.0,3.0,7.0,3.0,,2.0,53.0,3.0,1.0,2.0,5.0,10.0,3.0,10.0,,6.0,1.0,3.0,1.0,1.0,4.0,1.0,29.0,30.0,5.0,3.0,1.0,,1.0,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,7.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,7m8wz4y14u4ahj7lvg19f7giy,T. Cubero,Midfielder,0.0,1.0,46.0,,3.0,1.0,1.0,,,,,4.0,2.0,1.0,3.0,2.0,2.0,1.0,,1.0,,1.0,,2.0,,1.0,,12.0,,2.0,1.0,5.0,1.0,,10.0,,5.0,2.0,1.0,2.0,,4.0,,2.0,2.0,4.0,3.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,8xbpjxldu8tspcimpzfg0ne2,Roberto Gomes,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,6cc44wspjhxgd0ctvnf894cq2,E. Gomez,Midfielder,0.0,,49.0,,11.0,,2.0,1.0,7.0,,,4.0,4.0,1.0,11.0,2.0,10.0,1.0,,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,20.0,1.0,1.0,1.0,8.0,5.0,1.0,10.0,1.0,9.0,2.0,,1.0,,6.0,1.0,10.0,10.0,7.0,1.0,1.0,2.0,,,2.0,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,ez08b2ue51ppm5pcgw5j9alm1,S. Hamersky,Goalkeeper,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,2q12qst09m152m0huwc7vb0iy,K. Laking,Forward,0.0,,31.0,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,,2.0,,,,,,1.0,,,5.0,,1.0,,2.0,1.0,2.0,10.0,,3.0,,,1.0,,,,1.0,1.0,,,,1.0,,,3.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,78bixpvllncobs06cmmv4pqi2,J. Landaverde,Defender,0.0,2.0,180.0,,40.0,,7.0,3.0,24.0,5.0,,26.0,16.0,7.0,49.0,5.0,32.0,4.0,3.0,12.0,3.0,14.0,2.0,15.0,12.0,2.0,1.0,86.0,4.0,2.0,4.0,21.0,14.0,6.0,10.0,2.0,26.0,6.0,3.0,2.0,1.0,10.0,14.0,33.0,37.0,15.0,,5.0,3.0,3.0,,11.0,3.0,,,5.0,3.0,1.0,11.0,,2.0,1.0,,2.0,,5.0,,5.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,
USA_US_Open_Cup,2018,FC Wichita,7mrbt69jsid6nlj9hgdj2gd79,C. Lemons,Forward,0.0,,88.0,,21.0,,1.0,,3.0,6.0,,9.0,11.0,1.0,21.0,,11.0,2.0,,7.0,,4.0,,6.0,3.0,1.0,,28.0,,1.0,,3.0,9.0,1.0,10.0,,4.0,3.0,,1.0,,2.0,7.0,14.0,14.0,3.0,,1.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,f249rzwogqk85ftwqalexz6y,A. Ochoa,Midfielder,0.0,1.0,179.0,,56.0,1.0,7.0,,29.0,3.0,,14.0,20.0,5.0,57.0,2.0,43.0,4.0,1.0,8.0,,16.0,,8.0,10.0,2.0,,87.0,,2.0,1.0,21.0,19.0,1.0,10.0,,25.0,6.0,1.0,2.0,,6.0,15.0,48.0,49.0,8.0,,2.0,11.0,2.0,1.0,17.0,1.0,2.0,2.0,4.0,9.0,1.0,15.0,,1.0,,1.0,,,6.0,,2.0,1.0,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
