dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
27,,Houston Dynamo FC,US Open Cup,Midfielder,Honduras,15kop7o6luu9ppzl283ixra39,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/15kop7o6luu9ppzl283ixra39
7,,Houston Dynamo FC,US Open Cup,Defender,USA,1knx6w8nx8sd81peciwtes3x1,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/1knx6w8nx8sd81peciwtes3x1
23,,Houston Dynamo FC,US Open Cup,Goalkeeper,USA,241n038j8171d06j7y97ug4id,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/241n038j8171d06j7y97ug4id
22,Leonardo,Houston Dynamo FC,US Open Cup,Defender,Brazil,2549kn039x6iee2381nveyh1x,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/2549kn039x6iee2381nveyh1x
5,,Houston Dynamo FC,US Open Cup,Midfielder,Colombia,2az3hi45krcxbzny070v5mo5x,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/2az3hi45krcxbzny070v5mo5x
38,,Houston Dynamo FC,US Open Cup,Attacker,Mexico,2fukq219ldu5qdsyfh4do6j56,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/2fukq219ldu5qdsyfh4do6j56
10,,Houston Dynamo FC,US Open Cup,Midfielder,Argentina,2r3t66obvs4j4ruzkatu2mmdx,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/2r3t66obvs4j4ruzkatu2mmdx
33,,Houston Dynamo FC,US Open Cup,Defender,USA,35srvwi22gglg0bn135o3987p,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/35srvwi22gglg0bn135o3987p
14,,Houston Dynamo FC,US Open Cup,Defender,Sweden,3ks6pxe94hk9l4q46do2c628l,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/3ks6pxe94hk9l4q46do2c628l
13,Luis Gil,Houston Dynamo FC,US Open Cup,Midfielder,USA,3o1ofvw8de8lo5wdn0cs5gxxx,69m5c06m9up1j8vf8ulnb80xu,2bmwykmdlcc2u1c40ytoc39vy,cxw5w4qfd7logmfcqvoby2noq,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/teams/view/69m5c06m9up1j8vf8ulnb80xu/player/view/3o1ofvw8de8lo5wdn0cs5gxxx
