dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
46,,Black Rock FC,US Open Cup,Midfielder,USA,1qfb1oasdbgeh8w2rc3gbh5re,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/1qfb1oasdbgeh8w2rc3gbh5re
108,,Black Rock FC,US Open Cup,Defender,USA,1ree0sgii0qpqm7h88wnz86lm,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/1ree0sgii0qpqm7h88wnz86lm
151,,Black Rock FC,US Open Cup,Midfielder,USA,22j37y2067yt4rweqqtvdfrl6,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/22j37y2067yt4rweqqtvdfrl6
39,,Black Rock FC,US Open Cup,Defender,USA,2vcm2nbz6lo2hp68sde1437u2,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/2vcm2nbz6lo2hp68sde1437u2
2,,Black Rock FC,US Open Cup,Midfielder,USA,34b6ihy0puv91z56j4hcyn3ai,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/34b6ihy0puv91z56j4hcyn3ai
1,Leland Gazo,Black Rock FC,US Open Cup,Goalkeeper,USA,36r1lzuipcu17e40fh0h07mne,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/36r1lzuipcu17e40fh0h07mne
10,,Black Rock FC,US Open Cup,Attacker,Nigeria,3c1xz4vpfoum0jbq6bmtdrtux,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/3c1xz4vpfoum0jbq6bmtdrtux
366,,Black Rock FC,US Open Cup,Attacker,USA,3pwdvm4ggglf2pdomm7lzpisq,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/3pwdvm4ggglf2pdomm7lzpisq
,,Black Rock FC,US Open Cup,Defender,USA,49chf5svpe7gxuhykgde1cvai,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/49chf5svpe7gxuhykgde1cvai
6,,Black Rock FC,US Open Cup,Midfielder,USA,65rtfg8xu3ie833t4kwyhwg2y,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/65rtfg8xu3ie833t4kwyhwg2y
12,,Black Rock FC,US Open Cup,Midfielder,Chile,6dft7gl2gewepo0984hab32i2,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/6dft7gl2gewepo0984hab32i2
22,,Black Rock FC,US Open Cup,Defender,USA,72aka0xb4sp07icf3660rypuy,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/72aka0xb4sp07icf3660rypuy
8,,Black Rock FC,US Open Cup,Midfielder,USA,74pvc87d0dgl1mfr8y35fmtm2,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/74pvc87d0dgl1mfr8y35fmtm2
56,Louis Gazo,Black Rock FC,US Open Cup,Defender,USA,79sbe57kmkhafyirarhyjs4tm,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/79sbe57kmkhafyirarhyjs4tm
,,Black Rock FC,US Open Cup,Defender,England,7hgqc7xgsxqxtzc0xt5jw5drd,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/7hgqc7xgsxqxtzc0xt5jw5drd
32,,Black Rock FC,US Open Cup,Goalkeeper,USA,8gqxryxg8i5lowybseu3oo4tm,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/8gqxryxg8i5lowybseu3oo4tm
11,,Black Rock FC,US Open Cup,Midfielder,Chile,9b7nndvfbd9z3x7jba0p6poiy,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/9b7nndvfbd9z3x7jba0p6poiy
159,,Black Rock FC,US Open Cup,Defender,USA,a1vy5n1nufu2e6b4hafd83wbu,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/a1vy5n1nufu2e6b4hafd83wbu
37,,Black Rock FC,US Open Cup,Attacker,Burkina Faso,a5zvb5q87awncgadmlqd0sm0a,lcjkhdv8npg84brebis6p9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/lcjkhdv8npg84brebis6p9ii/player/view/a5zvb5q87awncgadmlqd0sm0a
