liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Ground Duels,Forward Passes,Index,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Interceptions,Unsuccessful Crosses open play,Throw Ins to Own Player,Corners Won,Successful Crosses & Corners,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Key Passes (Attempt Assists),Blocked Shots,Throw Ins to Opposition Player,Total Touches In Opposition Box,Duels won,Successful Long Passes,Successful Crosses open play,Aerial Duels won,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Aerial Duels,Ground Duels won,Goals,Right Foot Goals,PutThrough/Blocked Distribution Won,Total Tackles,Successful Corners into Box,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Goals from Outside Box,Shots On Target ( inc goals ),Total Fouls Won,Unsuccessful Corners into Box,Tackles Won,Tackles Lost,Attempts from Set Pieces,Aerial Duels lost,Unsuccessful Launches,Yellow Cards,Foul Attempted Tackle,GK Successful Distribution,Catches,GK Unsuccessful Distribution,Substitute On,Offsides,Successful Launches,Blocks,Goals from Inside Box,Through balls,Successful Lay-offs,Saves Made,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Assists (Intentional),Unsuccessful lay-offs,Goal Assists,Goals Conceded Outside Box,Clean Sheets,Total Red Cards,Red Cards - 2nd Yellow,Own Goal Scored,Drops,Left Foot Goals,Second Goal Assists,Handballs conceded,Penalties Taken,Penalty Goals,Foul Won Penalty,Headed Goals,Hit Woodwork,Times Tackled,Winning Goal,Home Goals,Away Goals,Set Pieces Goals,Goal Kicks,Saves made - caught,Punches,Penalty Goals Conceded,Penalties Conceded,Penalties Faced,Saves from Penalty,Penalties Saved,Clearances Off the Line,Goalkeeper Smother,Straight Red Cards,Penalties Off Target,Last Man Tackle,Other Goals,Crosses not Claimed
USA_US_Open_Cup,2019,Dayton Dutch Lions,1xv10v30auh43q67k21yqgokq,F. Barrios,Goalkeeper,16,180.0,28.0,,4.0,17.0,30.0,,51.0,,,25.0,4.0,17.0,6.0,15.0,20.0,2.0,2.0,74.0,2.0,1.0,30.0,10.0,6.0,5.0,4.0,2.0,1.0,15.0,19.0,34.0,1.0,,,,,,17.0,,,,,,,,5.0,9.0,,5.0,,,5.0,,,,,,,,,,,,,,,,,11.0,1.0,,18.0,3.0,6.0,,,4.0,,,,,7.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,1.0,,,,,,,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,5ddimj8pcj4xk3g5rgmv2ml4a,T. Bernedo,Forward,9,48.0,9.0,7.0,5.0,5.0,5.0,2.0,12.0,,,10.0,3.0,2.0,2.0,1.0,2.0,,1.0,20.0,1.0,5.0,2.0,10.0,8.0,,3.0,1.0,2.0,1.0,7.0,10.0,4.0,,,,,,,,,1.0,,,,,4.0,,,1.0,,,3.0,3.0,,,,2.0,,,,,1.0,2.0,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,ds97vbf6q7yfwf3g70qsd86zu,Z. Buescher,Midfielder,2,90.0,53.0,8.0,12.0,7.0,37.0,6.0,55.0,,1.0,43.0,3.0,6.0,17.0,4.0,7.0,1.0,2.0,64.0,1.0,3.0,15.0,10.0,4.0,2.0,3.0,1.0,1.0,15.0,47.0,49.0,1.0,3.0,,,,,,,,,1.0,,,,3.0,6.0,,1.0,,,1.0,2.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,4dczis55sdm8kryabmjqzfr6y,G. Charkoutsakis,Defender,15,180.0,68.0,9.0,19.0,31.0,32.0,9.0,68.0,,1.0,47.0,4.0,18.0,1.0,10.0,10.0,2.0,9.0,111.0,2.0,11.0,28.0,10.0,13.0,3.0,4.0,2.0,4.0,30.0,50.0,50.0,5.0,3.0,1.0,15.0,,1.0,9.0,1.0,2.0,1.0,1.0,,8.0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,,,,4.0,,1.0,,,,1.0,,2.0,2.0,,1.0,6.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,4nm2j5cavbbu9f7rbexgdswve,S. Deroy,Midfielder,27,90.0,36.0,6.0,17.0,14.0,10.0,7.0,36.0,,3.0,20.0,1.0,9.0,6.0,9.0,1.0,1.0,1.0,49.0,1.0,6.0,12.0,10.0,10.0,1.0,1.0,1.0,5.0,12.0,27.0,27.0,8.0,,1.0,,2.0,,2.0,1.0,,3.0,1.0,,,3.0,2.0,7.0,,1.0,,1.0,4.0,1.0,,,1.0,1.0,,2.0,,,2.0,,,1.0,,,3.0,2.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,35gw2u5bmazcn9vfiti4puy21,J. Dietrich,Forward,8,178.0,65.0,17.0,31.0,38.0,26.0,18.0,77.0,1.0,4.0,51.0,4.0,21.0,17.0,20.0,10.0,2.0,7.0,123.0,2.0,25.0,25.0,10.0,28.0,,4.0,2.0,10.0,18.0,47.0,56.0,12.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,4.0,4.0,6.0,1.0,1.0,4.0,16.0,5.0,1.0,1.0,2.0,6.0,3.0,15.0,,,2.0,3.0,,4.0,6.0,,2.0,8.0,3.0,2.0,1.0,1.0,2.0,,,4.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,evivgtu6qv1qxaqjchxkwwrca,J. Dizdarević,Midfielder,17,13.0,3.0,,,5.0,1.0,1.0,3.0,,,1.0,,2.0,2.0,1.0,2.0,,1.0,7.0,1.0,,1.0,10.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,ody1ty0csq2lnatvjwdrrv11,J. Fjeldberg,Midfielder,14,119.0,34.0,6.0,15.0,19.0,11.0,7.0,34.0,2.0,3.0,26.0,1.0,8.0,6.0,7.0,9.0,2.0,2.0,55.0,2.0,13.0,15.0,10.0,16.0,,1.0,2.0,10.0,7.0,26.0,26.0,12.0,,1.0,1.0,2.0,,1.0,,2.0,2.0,,,,8.0,4.0,,,1.0,1.0,1.0,3.0,3.0,,,1.0,1.0,,4.0,,,2.0,,,1.0,,,2.0,,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,6njayte6lfiqpjy9rw2qqag6i,A. Frank,Midfielder,18,2.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,5.0,1.0,3.0,,10.0,4.0,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Dayton Dutch Lions,e346doad1tp4hsam1x1lpidm2,E. Hutton,Midfielder,5,180.0,106.0,7.0,15.0,25.0,68.0,7.0,108.0,,,72.0,4.0,25.0,28.0,15.0,13.0,2.0,10.0,135.0,2.0,4.0,62.0,10.0,11.0,11.0,4.0,2.0,,11.0,82.0,83.0,2.0,4.0,,,,,18.0,,1.0,1.0,,,,1.0,9.0,11.0,,5.0,,,7.0,4.0,,,1.0,3.0,,2.0,,,1.0,,,3.0,,,2.0,13.0,,,,,,,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
