dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
15,,FC Denver,US Open Cup,Defender,USA,1g862m040owu8krcgpfgq13l6,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/1g862m040owu8krcgpfgq13l6
,,FC Denver,US Open Cup,Midfielder,Mexico,1ibbj1aevu4h7gvi580lmd1ey,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/1ibbj1aevu4h7gvi580lmd1ey
99,,FC Denver,US Open Cup,Goalkeeper,USA,1iiqgr5cv537s1babhu6gygyy,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/1iiqgr5cv537s1babhu6gygyy
2,,FC Denver,US Open Cup,Defender,USA,23wawqctmte3gufkdhf9gn97u,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/23wawqctmte3gufkdhf9gn97u
19,,FC Denver,US Open Cup,Midfielder,USA,2wixp5su9cmpy0zlmt80hbf56,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/2wixp5su9cmpy0zlmt80hbf56
14,,FC Denver,US Open Cup,Midfielder,USA,3elay08yrcnediza5yhyezpm2,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/3elay08yrcnediza5yhyezpm2
7,,FC Denver,US Open Cup,Defender,USA,434e3rm8fvh9b4gddcb3ucrxm,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/434e3rm8fvh9b4gddcb3ucrxm
4,,FC Denver,US Open Cup,Defender,USA,4asej6c4gdq85js558id90n6y,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/4asej6c4gdq85js558id90n6y
11,,FC Denver,US Open Cup,Attacker,USA,4uucx78t1ga15q5j18hx30odm,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/4uucx78t1ga15q5j18hx30odm
16,,FC Denver,US Open Cup,Midfielder,USA,5zo3msk8m3x8wqmb4qf0e0goa,1zignzxbb3zm8xyvx4ucdt9ii,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/1zignzxbb3zm8xyvx4ucdt9ii/player/view/5zo3msk8m3x8wqmb4qf0e0goa
