dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
7,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,1f22onorbsmxq8mxu8eir1nxm,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/1f22onorbsmxq8mxu8eir1nxm
9,,Little Rock Rangers SC,US Open Cup,Attacker,El Salvador,1nqqwxrywot6ul9mhf9srab8q,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/1nqqwxrywot6ul9mhf9srab8q
20,,Little Rock Rangers SC,US Open Cup,Defender,USA,2clnmjxrsyhuu57tewvu2h2sq,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/2clnmjxrsyhuu57tewvu2h2sq
18,,Little Rock Rangers SC,US Open Cup,Defender,USA,2iz9x83rftjgrtm02ypdyf622,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/2iz9x83rftjgrtm02ypdyf622
15,,Little Rock Rangers SC,US Open Cup,Attacker,USA,2p7g5eumq60t2aba62qy83p7u,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/2p7g5eumq60t2aba62qy83p7u
27,,Little Rock Rangers SC,US Open Cup,Goalkeeper,England,2u9wtjp8n7ci5k4tafe7aeaga,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/2u9wtjp8n7ci5k4tafe7aeaga
31,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,30v1vo27j9xog95wgfmtf7mui,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/30v1vo27j9xog95wgfmtf7mui
30,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,4bgptrdg0pelu52hs6x5spk6i,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/4bgptrdg0pelu52hs6x5spk6i
22,,Little Rock Rangers SC,US Open Cup,Goalkeeper,USA,4e9wgqaamxhpr49x7s350lboq,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/4e9wgqaamxhpr49x7s350lboq
11,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,4m7c09949okd9lj1iiubhyctm,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/4m7c09949okd9lj1iiubhyctm
,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,5m37xmqqspp9tndoiudinrcb8,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/5m37xmqqspp9tndoiudinrcb8
4,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,6kmpclr2xodpm1beue2nff52i,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/6kmpclr2xodpm1beue2nff52i
14,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,7j8667tkqa8q49bt72uc4e1d6,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/7j8667tkqa8q49bt72uc4e1d6
24,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,8l8z3k527s08bfjjcueotkhgq,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/8l8z3k527s08bfjjcueotkhgq
73,,Little Rock Rangers SC,US Open Cup,Goalkeeper,USA,8vqgy4m1qk8w1g3avuy8sv78q,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/8vqgy4m1qk8w1g3avuy8sv78q
6,,Little Rock Rangers SC,US Open Cup,Midfielder,USA,9qz0gqoek50fwaw7tcu9z43my,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/9qz0gqoek50fwaw7tcu9z43my
28,,Little Rock Rangers SC,US Open Cup,Midfielder,Scotland,a7b2f21qf9s8yhndb7kx0vyl1,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/a7b2f21qf9s8yhndb7kx0vyl1
19,,Little Rock Rangers SC,US Open Cup,Attacker,Central African Republic,ajzn8uul75c8w86az53iytt2i,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/ajzn8uul75c8w86az53iytt2i
23,,Little Rock Rangers SC,US Open Cup,Defender,USA,aleldqkstn2tf9e4h7x9elc2y,b09tzvfsvzb1uww75lefq3hpm,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/b09tzvfsvzb1uww75lefq3hpm/player/view/aleldqkstn2tf9e4h7x9elc2y
