dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
19,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,1izs4knrp5qeugu9e9s2jwsbu,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/1izs4knrp5qeugu9e9s2jwsbu
,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,Mexico,261j3764uyp1viq4e138y7wiy,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/261j3764uyp1viq4e138y7wiy
,,Midland-Odessa Sockers FC,US Open Cup,Defender,England,27fxelpggkbo0gbidhv3b2mdx,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/27fxelpggkbo0gbidhv3b2mdx
21,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,35mqcilelhroff6n00wl6sktm,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/35mqcilelhroff6n00wl6sktm
2,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,3pi45ctxicgivp4imgghsv04q,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/3pi45ctxicgivp4imgghsv04q
,,Midland-Odessa Sockers FC,US Open Cup,,USA,482pd5pob9sff3frejerx42ga,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/482pd5pob9sff3frejerx42ga
1,,Midland-Odessa Sockers FC,US Open Cup,Goalkeeper,USA,48ddhzmf9gnvnzdw9pjd57yay,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/48ddhzmf9gnvnzdw9pjd57yay
,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,5lh6mkeiqj800z3iz528ptzl6,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/5lh6mkeiqj800z3iz528ptzl6
17,,Midland-Odessa Sockers FC,US Open Cup,Attacker,USA,5tmce4yi2qxhbwb8bv41oyvze,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/5tmce4yi2qxhbwb8bv41oyvze
14,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,6m3q1nrtk0pol9rn6u0c66h62,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/6m3q1nrtk0pol9rn6u0c66h62
18,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,6oxv5skt0k5lvw6wvctvkpqi2,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/6oxv5skt0k5lvw6wvctvkpqi2
,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,7471gupus9aubl3k2bd7xnk2y,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/7471gupus9aubl3k2bd7xnk2y
20,,Midland-Odessa Sockers FC,US Open Cup,Defender,USA,77146b7jpe8mta6481p2y04tm,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/77146b7jpe8mta6481p2y04tm
,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,7cr82n16cqieqi3r3zwhi7vqi,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/7cr82n16cqieqi3r3zwhi7vqi
,,Midland-Odessa Sockers FC,US Open Cup,Midfielder,USA,7osi3x25zc3t6f1ocejbdx8iy,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/7osi3x25zc3t6f1ocejbdx8iy
12,,Midland-Odessa Sockers FC,US Open Cup,Goalkeeper,Germany,7vpdyliozusa9hctj7ax1267d,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/7vpdyliozusa9hctj7ax1267d
25,,Midland-Odessa Sockers FC,US Open Cup,Defender,England,7wnds81bhqhajg2dnndnwh2ei,6t5hzuis2kqy50ifyew66hw3r,2bmwykmdlcc2u1c40ytoc39vy,c7tmg7pxkutef9ymogovz4huy,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/teams/view/6t5hzuis2kqy50ifyew66hw3r/player/view/7wnds81bhqhajg2dnndnwh2ei
