dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,GPS Portland Phoenix,US Open Cup,Defender,USA,1fvnahdcw0pumglj2ggcj2vvt,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/1fvnahdcw0pumglj2ggcj2vvt
,,GPS Portland Phoenix,US Open Cup,Midfielder,USA,1kw9hg8axfcf555ypmz9bboq1,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/1kw9hg8axfcf555ypmz9bboq1
,,GPS Portland Phoenix,US Open Cup,Attacker,Jamaica,34f77dy0jfkmf7489ql2ep9zp,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/34f77dy0jfkmf7489ql2ep9zp
,,GPS Portland Phoenix,US Open Cup,Defender,USA,476imcdasprn5v7j45lx6ldd5,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/476imcdasprn5v7j45lx6ldd5
,,GPS Portland Phoenix,US Open Cup,Midfielder,USA,4dukao2xahl2xee1pce57bj6x,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/4dukao2xahl2xee1pce57bj6x
,,GPS Portland Phoenix,US Open Cup,Defender,USA,7nyaaxcrie8ps2azpoqj3pall,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/7nyaaxcrie8ps2azpoqj3pall
,,GPS Portland Phoenix,US Open Cup,Goalkeeper,USA,85qmi5o2fn5xbvsjjvunve3md,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/85qmi5o2fn5xbvsjjvunve3md
,,GPS Portland Phoenix,US Open Cup,Midfielder,USA,89hi865wakywa24e33ch1q86h,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/89hi865wakywa24e33ch1q86h
,,GPS Portland Phoenix,US Open Cup,Unknown,USA,azum6pja9uuzeatlfadftucyc,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/azum6pja9uuzeatlfadftucyc
,,GPS Portland Phoenix,US Open Cup,Goalkeeper,USA,d1mkbj9ix9vtdf896aimucsfd,bgndbxvifiwd1nl7edtiu2syt,2bmwykmdlcc2u1c40ytoc39vy,3n0zoyhnmxo7iu70s0oqjep9m,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/view/bgndbxvifiwd1nl7edtiu2syt/player/view/d1mkbj9ix9vtdf896aimucsfd
