liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels won,Tackles Lost,Unsuccessful Passes Opposition Half,Goals Conceded Inside Box,Blocks,Total Shots,Open Play Passes,Aerial Duels lost,Successful Long Passes,Aerial Duels,Total Touches In Opposition Box,Goals Conceded,Unsuccessful Passes Own Half,Duels lost,Duels won,Touches,Rightside Passes,Unsuccessful Launches,Successful Passes Opposition Half,Games Played,Ground Duels lost,Recoveries,Shots Off Target (inc woodwork),Successful Short Passes,Total Passes,Total Fouls Won,Total Tackles,Backward Passes,Unsuccessful Long Passes,Aerial Duels won,Unsuccessful Short Passes,Successful Launches,Index,Duels,Forward Passes,Tackles Won,Interceptions,Ground Duels,Successful Passes Own Half,Starts,Throw Ins to Own Player,Total Clearances,Total Fouls Conceded,Foul Attempted Tackle,Successful Open Play Passes,Leftside Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Yellow Cards,Home Goals,Away Goals,Winning Goal,Substitute Off,Times Tackled,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution,Substitute On,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Offsides,Corners Won,Shots On Target ( inc goals ),Successful Corners into Box,Key Passes (Attempt Assists),Blocked Shots,Successful Dribbles,Unsuccessful Corners into Box,Unsuccessful Dribbles,Successful Crosses & Corners,Corners Taken (incl short corners),Throw Ins to Opposition Player,Successful Crosses open play,Punches,Saves Made,Saves Made from Inside Box,Saves made - parried,Catches,GK Unsuccessful Distribution,GK Successful Distribution,Goal Assists,Assists (Intentional),Straight Red Cards,Total Red Cards,Goals,Goals from Inside Box,Right Foot Goals,Saves Made from Outside Box,Penalty Goals Conceded,Left Foot Goals,Clean Sheets,Hit Woodwork,Headed Goals,Goals from Outside Box,Penalties Conceded,Second Goal Assists,Successful Lay-offs,Penalties Taken,Through balls,Penalty Goals,Foul Won Penalty,Penalties Faced,Attempts from Set Pieces,Red Cards - 2nd Yellow,Handballs conceded,Goals Conceded Outside Box,Overruns,Saves made - caught,Goal Kicks,Drops,Clearances Off the Line,Last Man Tackle,Goalkeeper Smother,Unsuccessful lay-offs,Set Pieces Goals,Own Goal Scored,Saves from Penalty,Penalties Saved,Crosses not Claimed
USA_US_Open_Cup,2022,Albion San Diego,cdjd7qgqedffsj4hjkjih0ogl,É. Arreola,Defender,7,88.0,1.0,7.0,,,5.0,1.0,,,12.0,,1.0,,,1.0,3.0,4.0,,26.0,6.0,1.0,1.0,1.0,4.0,1.0,,5.0,13.0,,,,3.0,,4.0,,10.0,4.0,4.0,,1.0,4.0,5.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,6.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,9isbk9daqxgtj196349irnkk,J. Bazaes,Midfielder,23,58.0,1.0,6.0,4.0,,6.0,1.0,,,12.0,1.0,,1.0,2.0,1.0,,6.0,4.0,22.0,2.0,1.0,6.0,1.0,5.0,4.0,,7.0,13.0,3.0,1.0,1.0,1.0,,5.0,,10.0,10.0,4.0,1.0,1.0,9.0,1.0,1.0,,,2.0,,6.0,6.0,7.0,10.0,,0.0,0.0,0.0,1.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,2s3dli7xsg62b8n2debgeketw,E. Benito,Midfielder,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,6y82xdwl27dh70zrs7qfso4r8,R. Buckingham,Goalkeeper,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,6w54f9nwll1ke2mr5f4o1lv8q,L. Carreon,Midfielder,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,9fdod4oecx9u4e64in40xphat,I. Conteh,Midfielder,55,90.0,1.0,13.0,7.0,2.0,11.0,2.0,1.0,,30.0,1.0,3.0,1.0,,2.0,3.0,10.0,7.0,48.0,5.0,5.0,16.0,1.0,9.0,4.0,,18.0,34.0,5.0,2.0,3.0,7.0,,6.0,,10.0,17.0,18.0,,,16.0,5.0,1.0,,1.0,6.0,3.0,19.0,8.0,21.0,15.0,,0.0,0.0,0.0,,1.0,1.0,3.0,,1.0,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,79qyiuj0oektgfulyyhid61ka,A. Diakhate,Forward,9,90.0,1.0,9.0,1.0,1.0,6.0,2.0,,2.0,15.0,4.0,,7.0,2.0,2.0,4.0,7.0,4.0,24.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,8.0,17.0,,1.0,7.0,3.0,3.0,6.0,,10.0,11.0,4.0,,,4.0,7.0,1.0,,,1.0,1.0,6.0,2.0,8.0,11.0,,0.0,0.0,0.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,dat9t30trrkryddtnshb8lucp,H. Hanson,Midfielder,45,90.0,1.0,9.0,4.0,1.0,10.0,2.0,,1.0,17.0,,,,1.0,2.0,2.0,5.0,4.0,40.0,,4.0,4.0,1.0,5.0,5.0,1.0,8.0,17.0,,2.0,4.0,4.0,,5.0,,10.0,9.0,8.0,1.0,,9.0,5.0,1.0,8.0,,1.0,,8.0,5.0,8.0,18.0,,0.0,0.0,0.0,,2.0,3.0,,,3.0,,1.0,1.0,,,,,2.0,,2.0,1.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,2otgaj8s3xbmp5ddhf9kervh0,J. Haupt,Defender,4,19.0,1.0,3.0,1.0,,2.0,1.0,,,5.0,,1.0,,,1.0,1.0,,1.0,10.0,2.0,,1.0,1.0,,,,2.0,6.0,,1.0,,1.0,,2.0,,10.0,1.0,3.0,1.0,,1.0,2.0,,,1.0,,,3.0,1.0,3.0,4.0,,0.0,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Albion San Diego,agbxi27862rcsx9glgzygltuy,K. Jolicoeur,Forward,17,32.0,1.0,1.0,,,1.0,1.0,,1.0,5.0,,,,,1.0,,6.0,,12.0,1.0,,4.0,1.0,6.0,,1.0,4.0,5.0,,,1.0,,,1.0,,10.0,6.0,,,,6.0,1.0,,,,2.0,1.0,4.0,3.0,4.0,6.0,,0.0,0.0,0.0,,3.0,,,1.0,,,1.0,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
