dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
13,,Chicago FC United,US Open Cup,Attacker,USA,262tdox5ujb6hl6df3do4ehw4,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/262tdox5ujb6hl6df3do4ehw4
4,,Chicago FC United,US Open Cup,Defender,Costa Rica,2bh3aegkzo88er5l3q8ktb0lx,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/2bh3aegkzo88er5l3q8ktb0lx
11,,Chicago FC United,US Open Cup,Midfielder,USA,2xdt1rvmyc4xbrxwnm7p9a238,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/2xdt1rvmyc4xbrxwnm7p9a238
12,,Chicago FC United,US Open Cup,Defender,USA,3q0fhqettkcm6fhttfo6hxeui,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/3q0fhqettkcm6fhttfo6hxeui
14,,Chicago FC United,US Open Cup,Midfielder,USA,4qmuu41crr7j9r74sudks5o9g,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/4qmuu41crr7j9r74sudks5o9g
9,,Chicago FC United,US Open Cup,Midfielder,USA,547r5dd8867qt2vuld8m9pnv8,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/547r5dd8867qt2vuld8m9pnv8
,,Chicago FC United,US Open Cup,Defender,USA,59jaozrc1ncyrz1ii5lxhfp7u,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/59jaozrc1ncyrz1ii5lxhfp7u
6,,Chicago FC United,US Open Cup,Midfielder,USA,5oam2171uz9x8kx4spxsf00dl,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/5oam2171uz9x8kx4spxsf00dl
,,Chicago FC United,US Open Cup,Midfielder,USA,5ybacdg8s4w1gjwargmop4t05,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/5ybacdg8s4w1gjwargmop4t05
24,,Chicago FC United,US Open Cup,Midfielder,Canada,6j051nsgwlr00hkm0z8wm8owk,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/6j051nsgwlr00hkm0z8wm8owk
2,,Chicago FC United,US Open Cup,Goalkeeper,USA,7jbjs08oz0r0sklp1b54r8nx0,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/7jbjs08oz0r0sklp1b54r8nx0
7,,Chicago FC United,US Open Cup,Midfielder,Morocco,7z2xyu1geynb98lu3orrj5e6s,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/7z2xyu1geynb98lu3orrj5e6s
,,Chicago FC United,US Open Cup,Defender,USA,889gjfv4tn9044u0axj7kbmdw,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/889gjfv4tn9044u0axj7kbmdw
17,,Chicago FC United,US Open Cup,Defender,Spain,8wfb60rofu3rw0q1k3m3j98iy,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/8wfb60rofu3rw0q1k3m3j98iy
8,,Chicago FC United,US Open Cup,Midfielder,England,91q2i2vntttqbi2m2dd2ukc89,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/91q2i2vntttqbi2m2dd2ukc89
22,,Chicago FC United,US Open Cup,Midfielder,Norway,a37dd8oz0eyhkrtorjw5d54b8,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/a37dd8oz0eyhkrtorjw5d54b8
16,,Chicago FC United,US Open Cup,Defender,USA,a5pqm4bfcc5tkzdmuro2ggzqh,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/a5pqm4bfcc5tkzdmuro2ggzqh
,,Chicago FC United,US Open Cup,Defender,USA,au84p8frp4hnw25sc0dcyz2s,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/au84p8frp4hnw25sc0dcyz2s
,,Chicago FC United,US Open Cup,Defender,USA,auakqndjpsttc89i0n5hffpm2,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/auakqndjpsttc89i0n5hffpm2
,,Chicago FC United,US Open Cup,Midfielder,USA,b2im8d8waekwldk37w9nf5e96,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/b2im8d8waekwldk37w9nf5e96
5,,Chicago FC United,US Open Cup,Midfielder,USA,bay1aq539b589l8fh48atg1uy,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/bay1aq539b589l8fh48atg1uy
,,Chicago FC United,US Open Cup,Defender,USA,bm8lbs4i3af24mfpjpcl3u3v8,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/bm8lbs4i3af24mfpjpcl3u3v8
,,Chicago FC United,US Open Cup,Attacker,USA,c68beea0njdtx5kebgc6rpkb8,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/c68beea0njdtx5kebgc6rpkb8
,,Chicago FC United,US Open Cup,Attacker,USA,cqg2m4ntq73qff2yxr6fsley,6i4chjs4m1gf1157f3072xzop,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/6i4chjs4m1gf1157f3072xzop/player/view/cqg2m4ntq73qff2yxr6fsley
