liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels won,Tackles Lost,Unsuccessful Passes Opposition Half,Goals Conceded Inside Box,Blocks,Total Shots,Open Play Passes,Aerial Duels lost,Successful Long Passes,Aerial Duels,Total Touches In Opposition Box,Goals Conceded,Unsuccessful Passes Own Half,Duels lost,Duels won,Touches,Rightside Passes,Unsuccessful Launches,Successful Passes Opposition Half,Games Played,Ground Duels lost,Recoveries,Shots Off Target (inc woodwork),Successful Short Passes,Total Passes,Total Fouls Won,Total Tackles,Backward Passes,Unsuccessful Long Passes,Aerial Duels won,Unsuccessful Short Passes,Successful Launches,Index,Duels,Forward Passes,Tackles Won,Interceptions,Ground Duels,Successful Passes Own Half,Starts,Throw Ins to Own Player,Total Clearances,Total Fouls Conceded,Foul Attempted Tackle,Successful Open Play Passes,Leftside Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Yellow Cards,Home Goals,Away Goals,Winning Goal,Substitute Off,Times Tackled,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution,Substitute On,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Offsides,Corners Won,Shots On Target ( inc goals ),Successful Corners into Box,Key Passes (Attempt Assists),Blocked Shots,Successful Dribbles,Unsuccessful Corners into Box,Unsuccessful Dribbles,Successful Crosses & Corners,Corners Taken (incl short corners),Throw Ins to Opposition Player,Successful Crosses open play,Punches,Saves Made,Saves Made from Inside Box,Saves made - parried,Catches,GK Unsuccessful Distribution,GK Successful Distribution,Goal Assists,Assists (Intentional),Straight Red Cards,Total Red Cards,Goals,Goals from Inside Box,Right Foot Goals,Saves Made from Outside Box,Penalty Goals Conceded,Left Foot Goals,Clean Sheets,Hit Woodwork,Headed Goals,Goals from Outside Box,Penalties Conceded,Second Goal Assists,Successful Lay-offs,Penalties Taken,Through balls,Penalty Goals,Foul Won Penalty,Penalties Faced,Attempts from Set Pieces,Red Cards - 2nd Yellow,Handballs conceded,Goals Conceded Outside Box,Overruns,Saves made - caught,Goal Kicks,Drops,Clearances Off the Line,Last Man Tackle,Goalkeeper Smother,Unsuccessful lay-offs,Set Pieces Goals,Own Goal Scored,Saves from Penalty,Penalties Saved,Crosses not Claimed
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,9yb7mpdypokfylz8dz17wsl5g,H. Abdikadir,Midfielder,42,18.0,1.0,4.0,5.0,1.0,3.0,,,,16.0,,2.0,,1.0,,1.0,2.0,5.0,26.0,11.0,,9.0,1.0,2.0,3.0,,11.0,17.0,1.0,4.0,,2.0,,2.0,,10.0,7.0,5.0,3.0,1.0,7.0,4.0,,1.0,,1.0,,12.0,1.0,13.0,5.0,,0.0,0.0,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,Forward,23,75.0,1.0,3.0,,,4.0,1.0,,2.0,14.0,,,1.0,7.0,1.0,,4.0,1.0,26.0,3.0,,10.0,1.0,4.0,3.0,2.0,12.0,15.0,,,5.0,,1.0,3.0,,10.0,5.0,5.0,,,4.0,2.0,,,,1.0,,11.0,2.0,12.0,9.0,,0.0,0.0,0.0,,3.0,1.0,1.0,1.0,,1.0,2.0,2.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,5ulmvt2y2v42prk4kdadcdyp5,K. Belmar,Forward,90,120.0,1.0,8.0,6.0,,10.0,1.0,,5.0,31.0,4.0,2.0,8.0,4.0,1.0,2.0,9.0,10.0,61.0,19.0,,19.0,1.0,5.0,2.0,5.0,22.0,32.0,5.0,,7.0,1.0,4.0,7.0,,10.0,19.0,4.0,,,11.0,6.0,1.0,2.0,,1.0,,23.0,2.0,24.0,23.0,,0.0,0.0,0.0,,5.0,4.0,3.0,,4.0,,2.0,1.0,,,2.0,,1.0,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,bigiacypufyahxaysge8nybbp,J. Caldwell,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,bjm0d2f9er34ymm41sulmkout,S. Echevarria,Midfielder,13,120.0,1.0,7.0,2.0,1.0,14.0,1.0,,2.0,34.0,3.0,2.0,4.0,7.0,1.0,1.0,5.0,3.0,54.0,9.0,,22.0,1.0,2.0,2.0,2.0,26.0,35.0,1.0,1.0,11.0,,1.0,7.0,1.0,10.0,8.0,8.0,,,4.0,7.0,1.0,2.0,,1.0,1.0,28.0,7.0,28.0,19.0,1.0,0.0,0.0,0.0,,1.0,8.0,3.0,,,,,1.0,,,2.0,,,8.0,,1.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,492xymfeeamtb7ovbzs5q9lud,D. Erdmann,Defender,31,45.0,1.0,4.0,,,2.0,,,1.0,22.0,,3.0,1.0,1.0,,2.0,,1.0,30.0,12.0,,5.0,1.0,,1.0,,16.0,23.0,,,1.0,1.0,1.0,3.0,1.0,10.0,1.0,6.0,,,,14.0,1.0,1.0,3.0,,,18.0,4.0,19.0,5.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,39t59x9q2xumbn2hphk7urp7u,I. Foster,Defender,33,102.0,1.0,13.0,1.0,,18.0,1.0,,3.0,54.0,1.0,,1.0,9.0,1.0,1.0,5.0,1.0,73.0,17.0,,37.0,1.0,4.0,6.0,3.0,42.0,55.0,1.0,,19.0,2.0,,11.0,,10.0,6.0,15.0,,,5.0,6.0,1.0,1.0,,2.0,1.0,41.0,4.0,42.0,22.0,,0.0,0.0,0.0,1.0,2.0,6.0,1.0,,5.0,,,7.0,,,4.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,duuhalibp64gdz6nub5ub0ovd,C. Herrera,Goalkeeper,30,120.0,1.0,,1.0,,,1.0,,,17.0,,8.0,,,1.0,,,1.0,37.0,9.0,,2.0,1.0,,10.0,,20.0,28.0,,,,,,,,10.0,1.0,11.0,,,1.0,26.0,1.0,,,,,17.0,8.0,28.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,17.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,6a6bagymcckyt43w6b31irsvd,T. Hodge,Defender,55,103.0,1.0,10.0,1.0,,7.0,1.0,,2.0,88.0,2.0,16.0,3.0,1.0,1.0,3.0,6.0,2.0,100.0,35.0,,58.0,1.0,4.0,2.0,2.0,63.0,89.0,1.0,,8.0,4.0,1.0,6.0,1.0,10.0,8.0,40.0,,,5.0,21.0,1.0,4.0,,4.0,2.0,78.0,6.0,79.0,12.0,,0.0,0.0,0.0,,,,1.0,,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Colorado Springs Switchbacks FC,7x150gl6osjwn2t4y7ra5kxqt,M. Johnson,Midfielder,7,75.0,1.0,9.0,2.0,,16.0,1.0,,1.0,26.0,,1.0,,6.0,1.0,,7.0,2.0,58.0,,,18.0,1.0,7.0,6.0,1.0,16.0,26.0,,,11.0,,,9.0,,10.0,9.0,3.0,,,9.0,2.0,,8.0,,1.0,,17.0,12.0,17.0,25.0,,0.0,0.0,0.0,,5.0,7.0,2.0,1.0,6.0,1.0,,1.0,,1.0,,,2.0,1.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
