dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,FC Cincinnati,US Open Cup,,USA,2aglg2msi6zhyimmrrxn5h51x,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/2aglg2msi6zhyimmrrxn5h51x
23,,FC Cincinnati,US Open Cup,Attacker,Ghana,34wwqpo7jzb1vazqdawumqpnu,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/34wwqpo7jzb1vazqdawumqpnu
29,,FC Cincinnati,US Open Cup,Attacker,Guatemala,49ki6wsieoy8t4baq73o0zhbe,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/49ki6wsieoy8t4baq73o0zhbe
3,,FC Cincinnati,US Open Cup,Defender,USA,4bnxkvwj5hh7ivj4z32oozlrd,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/4bnxkvwj5hh7ivj4z32oozlrd
8,Allan Cruz,FC Cincinnati,US Open Cup,Midfielder,Costa Rica,52cki9zte648usjhlutb0x239,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/52cki9zte648usjhlutb0x239
25,,FC Cincinnati,US Open Cup,Goalkeeper,Netherlands,54h1lfdtkvy63u899mpdbq3th,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/54h1lfdtkvy63u899mpdbq3th
20,,FC Cincinnati,US Open Cup,Defender,USA,5ppt0al5l0aqlvu2ygtdo2bx1,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/5ppt0al5l0aqlvu2ygtdo2bx1
32,,FC Cincinnati,US Open Cup,Defender,USA,5zspcm1rjdhxjc8jk2w2z9isq,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/5zspcm1rjdhxjc8jk2w2z9isq
,,FC Cincinnati,US Open Cup,Defender,Costa Rica,66zgg8oyv7c7cvkujkan5ptxx,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/66zgg8oyv7c7cvkujkan5ptxx
24,,FC Cincinnati,US Open Cup,Defender,England,6jdyrpshsdi9ja6cx5oncgnv9,652hppivbqchvrp3wopx1isyt,2bmwykmdlcc2u1c40ytoc39vy,dhzyoostrc6so36xhzo5l1kb8,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/teams/view/652hppivbqchvrp3wopx1isyt/player/view/6jdyrpshsdi9ja6cx5oncgnv9
