dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Bavarian United FC,US Open Cup,Defender,USA,1u7b9gbjmeurg6jnq9lmm1st0,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/1u7b9gbjmeurg6jnq9lmm1st0
17,,Bavarian United FC,US Open Cup,Defender,USA,1vzsti1wfef9lduvkqmnaccmh,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/1vzsti1wfef9lduvkqmnaccmh
14,,Bavarian United FC,US Open Cup,Attacker,Nigeria,2k073u42tjyf2hgfhk0vse6wa,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/2k073u42tjyf2hgfhk0vse6wa
5,,Bavarian United FC,US Open Cup,Defender,USA,459nlaw56bizaodsz60n7o2l0,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/459nlaw56bizaodsz60n7o2l0
,,Bavarian United FC,US Open Cup,Midfielder,USA,4qdig99m9yq1jpt8v2puta6tw,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/4qdig99m9yq1jpt8v2puta6tw
3,,Bavarian United FC,US Open Cup,Attacker,USA,5c5ovnwyzngk7i77855j01gk4,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/5c5ovnwyzngk7i77855j01gk4
,,Bavarian United FC,US Open Cup,Midfielder,USA,69ykppmgd06mihb7e8yom3f9w,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/69ykppmgd06mihb7e8yom3f9w
13,,Bavarian United FC,US Open Cup,Midfielder,USA,7ct0dh2li6t5x79wempclaz9w,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/7ct0dh2li6t5x79wempclaz9w
6,,Bavarian United FC,US Open Cup,Defender,USA,81lrh22dc7fo2m0ijyekh0z1m,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/81lrh22dc7fo2m0ijyekh0z1m
12,,Bavarian United FC,US Open Cup,Defender,USA,8zpal5pim8ttvzr6r79hn1jx0,6ix8penr7f8trelz81724q1ud,2bmwykmdlcc2u1c40ytoc39vy,5375c8qg9sy48l9wr2o8sjpxw,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/teams/view/6ix8penr7f8trelz81724q1ud/player/view/8zpal5pim8ttvzr6r79hn1jx0
