liga,temporada,equipo,id,nombre,posicion,dorsal,Penalty Goals Conceded,Goals Conceded,Games Played,Appearances,Index,Starts,Goals Conceded Inside Box,Time Played,Winning Goal,Yellow Cards,Substitute On,Substitute Off,Goals Conceded Outside Box,Rightside Passes,Successful Open Play Passes,Forward Passes,Touches,Goalkeeper Smother,Punches,Total Passes,Successful Passes Opposition Half,GK Successful Distribution,Leftside Passes,Saves Made from Outside Box,Unsuccessful Passes Own Half,Unsuccessful Passes Opposition Half,Successful Short Passes,Recoveries,Saves Made,Penalties Faced,Goal Kicks,Successful Long Passes,Total Losses Of Possession,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,GK Unsuccessful Distribution,Saves Made from Inside Box,Total Clearances,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Long Passes,Unsuccessful Launches,Successful Passes Own Half,Saves made - parried,Tackles Lost,PutThrough/Blocked Distribution,Backward Passes,Total Fouls Won,Tackles Won,Duels,Blocked Shots,Unsuccessful Dribbles,Aerial Duels,Ground Duels lost,Corners Won,Aerial Duels lost,Times Tackled,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution Won,Total Fouls Conceded,Total Tackles,Ground Duels,Total Touches In Opposition Box,Aerial Duels won,Duels lost,Unsuccessful Crosses open play,Successful Dribbles,Unsuccessful Short Passes,Ground Duels won,Duels won,Successful Lay-offs,Total Shots,Shots Off Target (inc woodwork),Interceptions,Foul Attempted Tackle,Throw Ins to Own Player,Last Man Tackle,Throw Ins to Opposition Player,Blocks,Successful Crosses open play,Key Passes (Attempt Assists),Successful Crosses & Corners,Through balls,Assists (Intentional),Shots On Target ( inc goals ),Goal Assists,Goals,Goals from Inside Box,Offsides,Left Foot Goals,Home Goals,Away Goals,Handballs conceded,Penalties Conceded,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Attempts from Set Pieces,Unsuccessful lay-offs,Catches,Clean Sheets,Headed Goals,Hit Woodwork,Right Foot Goals,Red Cards - 2nd Yellow,Total Red Cards,Goals from Outside Box,Second Goal Assists,Saves made - caught,Own Goal Scored,Penalties Taken,Penalty Goals,Foul Won Penalty,Drops,Clearances Off the Line,Set Pieces Goals,Straight Red Cards,Penalties Saved,Saves from Penalty,Overruns
USA_US_Open_Cup,2023,Capistrano FC,l9r5phhvov9w27c6qga816ac,Hevany Ramos,Forward,92,1.0,6.0,2.0,2.0,10.0,2.0,6.0,180.0,1.0,,,,,16.0,15.0,12.0,78.0,,,33.0,13.0,,2.0,,4.0,14.0,15.0,15.0,,,,,43.0,18.0,33.0,,,1.0,,15.0,3.0,2.0,2.0,,1.0,,3.0,,1.0,30.0,3.0,2.0,8.0,18.0,1.0,1.0,11.0,,,1.0,2.0,22.0,10.0,7.0,19.0,,2.0,15.0,4.0,11.0,,5.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,4.0,1.0,2.0,2.0,,,0.0,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,8eft6vwuc0lzizp7goe3ahtlg,F. Becovic,Defender,11,,2.0,2.0,2.0,10.0,1.0,2.0,60.0,0.0,,1.0,1.0,,7.0,10.0,7.0,25.0,,,17.0,3.0,,1.0,,4.0,2.0,8.0,4.0,,,,3.0,8.0,6.0,16.0,,,,1.0,11.0,3.0,2.0,8.0,,,1.0,2.0,,1.0,4.0,,,1.0,2.0,,1.0,,,,2.0,1.0,3.0,,,3.0,,,3.0,1.0,1.0,,,,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,aqxvvzuwmyd5wd9tqlcwyxk44,J. Casarrubias,Midfielder,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,3qc6857bvqoxjdmhg0n70cfmc,M. Cervantes,Defender,2,,3.0,2.0,2.0,10.0,2.0,3.0,135.0,0.0,1.0,,1.0,,3.0,17.0,25.0,56.0,,,33.0,3.0,,4.0,,10.0,6.0,16.0,15.0,,,,1.0,17.0,16.0,33.0,,,14.0,1.0,17.0,8.0,5.0,14.0,,1.0,1.0,1.0,1.0,1.0,10.0,,,2.0,5.0,,1.0,,,,5.0,2.0,8.0,,1.0,6.0,,,8.0,3.0,4.0,,,,2.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,94ccc6w1vb5rdpainzwfta2vo,G. Chavez,Forward,15,,,1.0,1.0,10.0,,,19.0,0.0,,1.0,,,1.0,3.0,2.0,9.0,,,6.0,2.0,,1.0,,2.0,1.0,3.0,1.0,,,,,4.0,3.0,6.0,,,1.0,,3.0,,,1.0,,,2.0,2.0,1.0,,3.0,,,2.0,,,2.0,,,,,,1.0,,,2.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,cy3q0zaqafb3do7zypm71mivo,L. Clarida,Goalkeeper,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,379i7wsnqbjvsr6gju9gisahg,R. Egdorf,Midfielder,0,1.0,3.0,1.0,1.0,10.0,,3.0,22.0,0.0,,1.0,,,3.0,6.0,4.0,11.0,,,11.0,5.0,,3.0,,1.0,3.0,7.0,1.0,,,,,4.0,4.0,10.0,,,,,7.0,,,2.0,,,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,2.0,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,903nhj02f6opyvz1tcw61egwk,J. Gallardo,Midfielder,36,,3.0,2.0,2.0,10.0,2.0,3.0,153.0,0.0,,,1.0,,4.0,26.0,13.0,66.0,,,38.0,15.0,,17.0,,7.0,6.0,26.0,13.0,,,,,22.0,12.0,38.0,,,,,26.0,,,11.0,,1.0,5.0,4.0,2.0,1.0,20.0,,3.0,3.0,13.0,,1.0,6.0,1.0,5.0,6.0,2.0,17.0,3.0,2.0,14.0,1.0,,12.0,4.0,6.0,,1.0,,3.0,5.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,e0skje10a2rtdeff8d2zk1yqc,L. Granzow,Defender,21,1.0,6.0,2.0,2.0,10.0,2.0,6.0,180.0,0.0,,,,,13.0,50.0,44.0,108.0,,,67.0,17.0,,7.0,,1.0,15.0,49.0,12.0,,,,2.0,19.0,16.0,64.0,,,14.0,,51.0,12.0,6.0,34.0,,1.0,1.0,3.0,2.0,6.0,23.0,,,9.0,3.0,,4.0,1.0,,1.0,1.0,7.0,14.0,,5.0,7.0,,2.0,4.0,11.0,16.0,,,,5.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,7j3mvgktu1rlwhj2kozemxel0,B. Herrera,Defender,12,1.0,3.0,2.0,2.0,10.0,,3.0,72.0,0.0,,2.0,,,1.0,17.0,9.0,46.0,,,24.0,10.0,,11.0,,4.0,4.0,18.0,3.0,,,,,11.0,6.0,23.0,,,2.0,,18.0,3.0,1.0,9.0,,1.0,,3.0,1.0,,9.0,,1.0,3.0,4.0,,1.0,1.0,2.0,,2.0,1.0,6.0,,2.0,5.0,2.0,,3.0,2.0,4.0,,1.0,1.0,1.0,,6.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Capistrano FC,cf2flileqps8fc9w8bqzx4iz8,B. Jenkins,Defender,3,1.0,4.0,2.0,2.0,10.0,1.0,4.0,90.0,0.0,,1.0,1.0,,8.0,23.0,14.0,64.0,,,28.0,10.0,,2.0,,,10.0,21.0,6.0,,,,2.0,17.0,5.0,28.0,,,8.0,,23.0,2.0,1.0,14.0,,,2.0,4.0,,2.0,4.0,,,,2.0,1.0,,,5.0,2.0,2.0,2.0,4.0,1.0,,2.0,4.0,,3.0,2.0,2.0,,,,3.0,1.0,7.0,,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
