liga,temporada,equipo,id,nombre,posicion,dorsal,Penalty Goals Conceded,Goals Conceded,Games Played,Appearances,Index,Starts,Goals Conceded Inside Box,Time Played,Winning Goal,Yellow Cards,Substitute On,Substitute Off,Goals Conceded Outside Box,Rightside Passes,Successful Open Play Passes,Forward Passes,Touches,Goalkeeper Smother,Punches,Total Passes,Successful Passes Opposition Half,GK Successful Distribution,Leftside Passes,Saves Made from Outside Box,Unsuccessful Passes Own Half,Unsuccessful Passes Opposition Half,Successful Short Passes,Recoveries,Saves Made,Penalties Faced,Goal Kicks,Successful Long Passes,Total Losses Of Possession,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,GK Unsuccessful Distribution,Saves Made from Inside Box,Total Clearances,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Long Passes,Unsuccessful Launches,Successful Passes Own Half,Saves made - parried,Tackles Lost,PutThrough/Blocked Distribution,Backward Passes,Total Fouls Won,Tackles Won,Duels,Blocked Shots,Unsuccessful Dribbles,Aerial Duels,Ground Duels lost,Corners Won,Aerial Duels lost,Times Tackled,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution Won,Total Fouls Conceded,Total Tackles,Ground Duels,Total Touches In Opposition Box,Aerial Duels won,Duels lost,Unsuccessful Crosses open play,Successful Dribbles,Unsuccessful Short Passes,Ground Duels won,Duels won,Successful Lay-offs,Total Shots,Shots Off Target (inc woodwork),Interceptions,Foul Attempted Tackle,Throw Ins to Own Player,Last Man Tackle,Throw Ins to Opposition Player,Blocks,Successful Crosses open play,Key Passes (Attempt Assists),Successful Crosses & Corners,Through balls,Assists (Intentional),Shots On Target ( inc goals ),Goal Assists,Goals,Goals from Inside Box,Offsides,Left Foot Goals,Home Goals,Away Goals,Handballs conceded,Penalties Conceded,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Attempts from Set Pieces,Unsuccessful lay-offs,Catches,Clean Sheets,Headed Goals,Hit Woodwork,Right Foot Goals,Red Cards - 2nd Yellow,Total Red Cards,Goals from Outside Box,Second Goal Assists,Saves made - caught,Own Goal Scored,Penalties Taken,Penalty Goals,Foul Won Penalty,Drops,Clearances Off the Line,Set Pieces Goals,Straight Red Cards,Penalties Saved,Saves from Penalty,Overruns
USA_US_Open_Cup,2023,DC United,6qsj0qaeroaoxi5o41d8sz310,M. Akinmboni,Defender,45,,1.0,2.0,2.0,10.0,2.0,1.0,180.0,0.0,1.0,,,,26.0,50.0,28.0,85.0,,,69.0,10.0,2.0,13.0,,6.0,9.0,48.0,9.0,,,2.0,6.0,16.0,15.0,65.0,,,5.0,1.0,54.0,10.0,7.0,44.0,,,,2.0,,1.0,8.0,,,4.0,3.0,,2.0,1.0,,,2.0,1.0,4.0,,2.0,5.0,,,5.0,1.0,3.0,,,,3.0,1.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,7z9pkb01zugta9xl1bplj79w5,Y. Asad,Midfielder,22,,1.0,2.0,2.0,10.0,2.0,1.0,180.0,1.0,,,,,9.0,35.0,18.0,71.0,,,46.0,19.0,,10.0,,4.0,9.0,33.0,5.0,,,,3.0,17.0,10.0,45.0,,,,,36.0,1.0,,18.0,,2.0,6.0,9.0,,7.0,17.0,,,1.0,6.0,,1.0,4.0,3.0,3.0,,9.0,16.0,1.0,,7.0,,1.0,9.0,10.0,10.0,,2.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,0.0,,,4.0,3.0,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,
USA_US_Open_Cup,2023,DC United,ubuow4ad6azso5zz51b4tivp,C. Benteke,Forward,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,boojy2a86m5qkyqqzxvdk9jv9,A. Bono,Goalkeeper,24,,1.0,2.0,2.0,10.0,2.0,1.0,180.0,0.0,,,,,13.0,32.0,23.0,61.0,,1.0,50.0,2.0,7.0,14.0,,3.0,13.0,24.0,13.0,4.0,1.0,6.0,10.0,16.0,16.0,42.0,4.0,4.0,1.0,6.0,34.0,15.0,10.0,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,
USA_US_Open_Cup,2023,DC United,8huiai8ptzv19jcgidhyp03x1,R. Canouse,Midfielder,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,7uv8k6pqob0xqw7zchsfxk4ix,C. Durkin,Midfielder,8,,1.0,2.0,2.0,10.0,2.0,1.0,180.0,0.0,,,,,10.0,30.0,12.0,53.0,,,41.0,15.0,,10.0,,3.0,6.0,31.0,12.0,,,,1.0,13.0,9.0,39.0,,,,,32.0,6.0,2.0,18.0,,,4.0,9.0,1.0,,8.0,,,1.0,6.0,,1.0,3.0,,3.0,1.0,,7.0,1.0,,7.0,,,3.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,3oj41up7cc77o5qj3i65szemt,C. Dájome,Forward,0,,1.0,1.0,1.0,10.0,1.0,1.0,84.0,0.0,,,1.0,,4.0,6.0,8.0,35.0,,,14.0,4.0,,2.0,,1.0,9.0,5.0,,,,,1.0,14.0,8.0,14.0,,,1.0,,6.0,2.0,1.0,2.0,,,4.0,,2.0,1.0,14.0,,,3.0,6.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,11.0,4.0,1.0,8.0,2.0,2.0,6.0,5.0,6.0,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,4rajisbg07fbyv62y2awtcil0,K. Fletcher,Forward,26,,1.0,2.0,2.0,10.0,2.0,1.0,180.0,0.0,1.0,,,,5.0,13.0,1.0,26.0,,,16.0,10.0,,6.0,,,3.0,10.0,,,,,3.0,9.0,3.0,16.0,,,,1.0,13.0,,,3.0,,,,4.0,1.0,,17.0,,1.0,7.0,7.0,,7.0,2.0,,,5.0,,10.0,1.0,,14.0,,2.0,3.0,3.0,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,cc7auv8d89ohifqg7qwz62mwa,J. Greene,Defender,33,,1.0,2.0,2.0,10.0,2.0,1.0,180.0,0.0,,,,,17.0,33.0,20.0,84.0,,,47.0,12.0,,4.0,,8.0,5.0,33.0,5.0,,,,1.0,19.0,13.0,46.0,,,1.0,1.0,34.0,2.0,2.0,23.0,,,3.0,6.0,2.0,1.0,14.0,1.0,1.0,6.0,5.0,2.0,2.0,3.0,,1.0,1.0,1.0,8.0,,4.0,7.0,,,11.0,3.0,7.0,,,,6.0,,13.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,4rrcs72owauveldlz4o1fwgyx,B. Hines-Ike,Defender,4,,1.0,1.0,1.0,10.0,1.0,1.0,65.0,0.0,,,1.0,,9.0,36.0,7.0,51.0,,,41.0,4.0,,17.0,,2.0,3.0,34.0,5.0,,,,2.0,5.0,5.0,41.0,,,4.0,,36.0,3.0,1.0,32.0,,,3.0,8.0,,,2.0,,,2.0,,,1.0,,,3.0,,,,,1.0,1.0,,,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
