liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Time Played,Recoveries,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Successful Passes Own Half,Total Passes,Ground Duels won,Starts,Throw Ins to Own Player,Unsuccessful Launches,Ground Duels lost,Aerial Duels lost,Successful Dribbles,Aerial Duels won,Unsuccessful Short Passes,Goals Conceded Inside Box,Unsuccessful Long Passes,Games Played,Aerial Duels,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Substitute Off,Duels lost,Total Losses Of Possession,Backward Passes,Appearances,Index,Open Play Passes,Successful Long Passes,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Rightside Passes,Unsuccessful Passes Opposition Half,Overruns,Throw Ins to Opposition Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Duels,Unsuccessful Crosses open play,Forward Passes,Duels won,Winning Goal,Times Tackled,Foul Attempted Tackle,Tackles Won,Total Fouls Conceded,Leftside Passes,Total Tackles,Successful Launches,Blocks,Interceptions,Unsuccessful Dribbles,Handballs conceded,Substitute On,Total Shots,Total Fouls Won,Shots On Target ( inc goals ),Yellow Cards,Key Passes (Attempt Assists),Successful Lay-offs,Saves Made,Goal Kicks,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Offsides,Shots Off Target (inc woodwork),Through balls,Total Touches In Opposition Box,Tackles Lost,Total Red Cards,Straight Red Cards,Attempts from Set Pieces,Saves Made from Outside Box,Punches,Goals from Outside Box,Goals,Right Foot Goals,Home Goals,Away Goals,Successful Crosses & Corners,Corners Won,Unsuccessful Corners into Box,Successful Crosses open play,Corners Taken (incl short corners),Goal Assists,Successful Corners into Box,Blocked Shots,Saves made - parried,Goalkeeper Smother,Assists (Intentional),Red Cards - 2nd Yellow,Goals from Inside Box,Headed Goals,Own Goal Scored,Catches,Clean Sheets,Hit Woodwork,Unsuccessful lay-offs,Penalty Goals Conceded,Left Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Clearances Off the Line,Other Goals,Penalties Faced,Penalties Conceded,Goals Conceded Outside Box,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Saved,Total Big Chances Missed,Goals Openplay,Total Big Chances Created,Total Big Chances Scored,Direct Setpiece Goals,Set Pieces Goals,Penalties Off Target,Drops,Second Goal Assists,Penalties Saved,Saves from Penalty
USA_US_Open_Cup,2024,Colorado Rapids 2,38z2cuwmbeanujqho9cqwozmy,R. Aguirre,Midfielder,40,129.0,171.0,8.0,2.0,71.0,60.0,138.0,3.0,2.0,,,4.0,,,,7.0,2.0,,2.0,,7.0,131.0,129.0,1.0,4.0,16.0,27.0,2.0,10.0,136.0,2.0,,,33.0,8.0,,,7.0,152.0,,2.0,3.0,7.0,,30.0,3.0,0.0,4.0,,,,48.0,1.0,,1.0,,3.0,,,,2.0,,,2.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,f1oc42nax0yel4gblge49py7e,D. Amadou,Midfielder,45,14.0,32.0,1.0,,5.0,9.0,20.0,7.0,,,,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,9.0,14.0,14.0,,3.0,8.0,8.0,1.0,10.0,20.0,,,1.0,4.0,6.0,,,6.0,35.0,2.0,1.0,,12.0,,5.0,9.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,,,3.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,8qqehla9xvhut6uua4a0zcju2,S. Anderson,Defender,22,59.0,90.0,4.0,,36.0,30.0,71.0,3.0,2.0,8.0,1.0,3.0,,,,6.0,,1.0,2.0,,6.0,64.0,62.0,2.0,3.0,15.0,20.0,2.0,10.0,65.0,2.0,1.0,1.0,4.0,11.0,,2.0,7.0,97.0,1.0,,4.0,6.0,1.0,15.0,3.0,0.0,1.0,1.0,1.0,1.0,32.0,2.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,1.0,,3.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,3gzatxlefe9axcrqyllbtrzmc,E. Bandré,Goalkeeper,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,1ss7pdaxmlk0sijax5brwpkyy,L. Batiste,Defender,48,75.0,165.0,3.0,5.0,46.0,32.0,90.0,7.0,1.0,9.0,4.0,8.0,1.0,4.0,,8.0,3.0,5.0,2.0,1.0,15.0,77.0,71.0,,9.0,31.0,24.0,2.0,10.0,87.0,6.0,,1.0,14.0,12.0,,4.0,13.0,132.0,1.0,3.0,4.0,16.0,2.0,25.0,7.0,0.0,6.0,1.0,1.0,1.0,27.0,3.0,1.0,2.0,,4.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,1o5qnb5ktq4u6t11lj3fqntg,A. Beaudry,Goalkeeper,31,40.0,210.0,13.0,1.0,2.0,49.0,62.0,1.0,2.0,1.0,6.0,,,,1.0,1.0,3.0,10.0,2.0,1.0,1.0,51.0,46.0,,,11.0,1.0,2.0,10.0,49.0,5.0,,,15.0,10.0,,,11.0,77.0,1.0,3.0,,2.0,,27.0,2.0,0.0,,,,,19.0,,4.0,,,,,,,1.0,,,,,3.0,11.0,17.0,1.0,2.0,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,a9w6952jyw6x83gxp94zs8ro4,J. Belluz,Midfielder,44,76.0,122.0,10.0,,24.0,57.0,86.0,3.0,1.0,,,,3.0,,,5.0,1.0,,2.0,3.0,3.0,81.0,78.0,,3.0,7.0,2.0,2.0,10.0,81.0,3.0,1.0,1.0,22.0,5.0,,,5.0,100.0,3.0,1.0,,6.0,,33.0,3.0,1.0,,,2.0,,29.0,2.0,1.0,,3.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,0.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,86piuxs9tep01rcbsp3t8vx90,P. Dormoh,Forward,55,1.0,11.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,10.0,1.0,,,,,,,,,3.0,,,,1.0,,,,0.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,28kg6zbpgbb8zrnhidogpxi0a,A. Díaz,Forward,47,21.0,167.0,2.0,1.0,12.0,10.0,30.0,3.0,2.0,,,7.0,1.0,1.0,3.0,8.0,2.0,,2.0,4.0,10.0,22.0,21.0,2.0,8.0,17.0,10.0,2.0,10.0,29.0,1.0,3.0,4.0,8.0,7.0,,,8.0,53.0,2.0,2.0,,14.0,,4.0,6.0,0.0,2.0,5.0,,5.0,8.0,,1.0,,,2.0,1.0,,3.0,2.0,2.0,,1.0,1.0,,,,,,2.0,1.0,,8.0,,,,,,,,1.0,1.0,1.0,0.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,Colorado Rapids 2,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,Defender,34,89.0,120.0,3.0,3.0,41.0,50.0,100.0,5.0,1.0,,1.0,6.0,2.0,1.0,3.0,4.0,3.0,5.0,1.0,5.0,11.0,91.0,84.0,,8.0,11.0,4.0,1.0,10.0,98.0,7.0,,,18.0,6.0,,,9.0,119.0,6.0,3.0,,16.0,,42.0,8.0,0.0,2.0,1.0,1.0,2.0,36.0,2.0,,2.0,2.0,1.0,,,,2.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
