liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Time Played,Recoveries,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Successful Passes Own Half,Total Passes,Ground Duels won,Starts,Throw Ins to Own Player,Unsuccessful Launches,Ground Duels lost,Aerial Duels lost,Successful Dribbles,Aerial Duels won,Unsuccessful Short Passes,Goals Conceded Inside Box,Unsuccessful Long Passes,Games Played,Aerial Duels,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Substitute Off,Duels lost,Total Losses Of Possession,Backward Passes,Appearances,Index,Open Play Passes,Successful Long Passes,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Rightside Passes,Unsuccessful Passes Opposition Half,Overruns,Throw Ins to Opposition Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Duels,Unsuccessful Crosses open play,Forward Passes,Duels won,Winning Goal,Times Tackled,Foul Attempted Tackle,Tackles Won,Total Fouls Conceded,Leftside Passes,Total Tackles,Successful Launches,Blocks,Interceptions,Unsuccessful Dribbles,Handballs conceded,Substitute On,Total Shots,Total Fouls Won,Shots On Target ( inc goals ),Yellow Cards,Key Passes (Attempt Assists),Successful Lay-offs,Saves Made,Goal Kicks,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Offsides,Shots Off Target (inc woodwork),Through balls,Total Touches In Opposition Box,Tackles Lost,Total Red Cards,Straight Red Cards,Attempts from Set Pieces,Saves Made from Outside Box,Punches,Goals from Outside Box,Goals,Right Foot Goals,Home Goals,Away Goals,Successful Crosses & Corners,Corners Won,Unsuccessful Corners into Box,Successful Crosses open play,Corners Taken (incl short corners),Goal Assists,Successful Corners into Box,Blocked Shots,Saves made - parried,Goalkeeper Smother,Assists (Intentional),Red Cards - 2nd Yellow,Goals from Inside Box,Headed Goals,Own Goal Scored,Catches,Clean Sheets,Hit Woodwork,Unsuccessful lay-offs,Penalty Goals Conceded,Left Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Clearances Off the Line,Other Goals,Penalties Faced,Penalties Conceded,Goals Conceded Outside Box,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Saved,Total Big Chances Missed,Goals Openplay,Total Big Chances Created,Total Big Chances Scored,Direct Setpiece Goals,Set Pieces Goals,Penalties Off Target,Drops,Second Goal Assists,Penalties Saved,Saves from Penalty
USA_US_Open_Cup,2024,FC America CFL Spurs,1s19lgv3jly8q76rj6k8rw6xg,N. Alexander,Forward,0,,7.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,,1.0,10.0,,,,,,,,,,3.0,,,,2.0,,,,0.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,9oxb7gi6xxb4038oobno5i8kp,C. Allen,Defender,0,30.0,90.0,2.0,1.0,13.0,19.0,41.0,2.0,1.0,5.0,5.0,1.0,,,,5.0,1.0,5.0,1.0,,3.0,31.0,28.0,,1.0,14.0,4.0,1.0,10.0,40.0,3.0,,,17.0,10.0,,2.0,10.0,57.0,1.0,1.0,1.0,3.0,1.0,19.0,2.0,0.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,2n7mca0ba8xadkiftzkl93qj8,R. Allen,Midfielder,0,3.0,18.0,1.0,,2.0,1.0,3.0,,,,,2.0,,,,,,,1.0,,2.0,3.0,2.0,,2.0,4.0,1.0,1.0,10.0,3.0,1.0,,,1.0,,,,,7.0,,,,2.0,,1.0,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,3wbyjfs401bgulecycrjv4ine,W. Centeno,Midfielder,0,65.0,90.0,1.0,1.0,20.0,50.0,79.0,3.0,1.0,1.0,,1.0,1.0,,,3.0,1.0,6.0,1.0,1.0,4.0,70.0,59.0,,2.0,9.0,3.0,1.0,10.0,74.0,11.0,,1.0,30.0,8.0,,,9.0,90.0,5.0,1.0,,5.0,,32.0,3.0,0.0,,1.0,1.0,1.0,14.0,1.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,16ezt2e5v4e3xryhu1r5fts0k,Felipe D'Agostini,Midfielder,0,23.0,90.0,5.0,1.0,20.0,10.0,38.0,8.0,1.0,1.0,,8.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,2.0,16.0,29.0,25.0,,9.0,25.0,8.0,1.0,10.0,30.0,4.0,1.0,2.0,12.0,13.0,,,9.0,71.0,,1.0,5.0,18.0,,9.0,9.0,0.0,6.0,1.0,1.0,1.0,9.0,2.0,,,,2.0,,,2.0,4.0,1.0,,1.0,2.0,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,1.0,2.0,5.0,,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,bcdaqrrdyvjd5vqj2v8by75lg,C. Dilan,Midfielder,0,30.0,72.0,4.0,,18.0,13.0,36.0,1.0,1.0,5.0,1.0,1.0,,,,3.0,1.0,2.0,1.0,,2.0,31.0,30.0,1.0,1.0,9.0,11.0,1.0,10.0,35.0,1.0,1.0,1.0,1.0,6.0,,,5.0,52.0,,1.0,1.0,2.0,1.0,14.0,1.0,0.0,1.0,,1.0,,10.0,1.0,,,3.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,cfrbmxoiygiwpy4y0bqnv04bt,W. Eyang,Forward,0,10.0,83.0,3.0,,8.0,2.0,17.0,1.0,1.0,,,7.0,,,,5.0,1.0,2.0,1.0,,8.0,10.0,10.0,1.0,7.0,15.0,6.0,1.0,10.0,17.0,,,,4.0,7.0,1.0,,7.0,28.0,,1.0,,8.0,,2.0,1.0,0.0,5.0,2.0,,2.0,5.0,,,,,3.0,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,86uhtdkl8v4r9uk2xxzsf3vqi,A. Forth,Defender,0,11.0,17.0,,,3.0,9.0,13.0,,,,,,,,,,,1.0,1.0,,,12.0,11.0,,,3.0,1.0,1.0,10.0,12.0,1.0,,,3.0,2.0,,1.0,1.0,16.0,1.0,,1.0,,1.0,4.0,,0.0,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,c8nhxe7wdmf9668sin26t3yfo,M. Jones,Forward,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC America CFL Spurs,cimddaqegpaixacbdw3hv5wd0,C. Kwesi,Midfielder,0,45.0,90.0,7.0,1.0,25.0,20.0,59.0,5.0,1.0,,1.0,2.0,,1.0,1.0,8.0,1.0,6.0,1.0,1.0,7.0,45.0,41.0,,2.0,18.0,4.0,1.0,10.0,59.0,4.0,2.0,2.0,17.0,13.0,,,14.0,71.0,,1.0,,8.0,,26.0,6.0,0.0,2.0,,2.0,,12.0,2.0,,,,1.0,,,1.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
