liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Total Passes,Time Played,Goals Conceded,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Total Shots,Total Losses Of Possession,Backward Passes,Times Tackled,Appearances,Aerial Duels won,Aerial Duels lost,Foul Attempted Tackle,Successful Passes Own Half,Aerial Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Duels,Games Played,Rightside Passes,Corners Won,Forward Passes,Duels lost,Substitute On,Ground Duels,Starts,Tackles Won,Shots Off Target (inc woodwork),Successful Lay-offs,Total Fouls Conceded,Shots On Target ( inc goals ),Successful Passes Opposition Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Total Clearances,Leftside Passes,Unsuccessful Short Passes,Ground Duels won,Unsuccessful Dribbles,Assists (Intentional),Recoveries,Offsides,Goals Conceded Inside Box,Total Touches In Opposition Box,Substitute Off,Interceptions,Successful Short Passes,Touches,Goal Assists,Ground Duels lost,Blocked Shots,Index,Key Passes (Attempt Assists),Duels won,Winning Goal,Goals from Inside Box,Total Fouls Won,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Handballs conceded,Successful Launches,Left Foot Goals,Goals,Successful Long Passes,Throw Ins to Opposition Player,Overruns,Successful Dribbles,Yellow Cards,Unsuccessful Passes Own Half,Home Goals,Away Goals,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Throw Ins to Own Player,Blocks,Unsuccessful Launches,Successful Corners into Box,Through balls,Successful Crosses open play,Successful Crosses & Corners,Unsuccessful lay-offs,Corners Taken (incl short corners),Unsuccessful Corners into Box,Right Foot Goals,Hit Woodwork,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Headed Goals,Goal Kicks,GK Unsuccessful Distribution,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Saves Made from Outside Box,Saves Made,Saves Made from Inside Box,Catches,Goals Conceded Outside Box,Drops,Clean Sheets,Penalty Goals Conceded,Goals Openplay,Straight Red Cards,Penalties Conceded,Penalties Faced,Punches,Clearances Off the Line,Goalkeeper Smother,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Saves made - caught,Own Goal Scored,Last Player Tackle
USA_US_Open_Cup,2025,Charlotte FC,czazwj4nt23bydpdi67i0wga2,L. Abada,Forward,11,23.0,35.0,85.0,3.0,,11.0,2.0,19.0,12.0,1.0,2.0,,1.0,,4.0,1.0,24.0,,7.0,2.0,13.0,1.0,6.0,4.0,2.0,6.0,,,1.0,2.0,1.0,1.0,21.0,,11.0,34.0,,4.0,11.0,3.0,,,3.0,,3.0,9.0,,,24.0,52.0,,3.0,1.0,10.0,3.0,3.0,0.0,1.0,1.0,,,,,,1.0,,,1.0,2.0,,2.0,0.0,1.0,2.0,2.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,8vzvcjbccc5skj9e7n5f6vd3o,P. Agyemang,Forward,33,19.0,30.0,121.0,2.0,1.0,6.0,6.0,13.0,14.0,4.0,2.0,3.0,1.0,,6.0,4.0,24.0,,19.0,2.0,10.0,1.0,4.0,8.0,1.0,15.0,1.0,,2.0,2.0,4.0,4.0,18.0,,6.0,25.0,2.0,2.0,6.0,8.0,2.0,1.0,2.0,1.0,2.0,15.0,1.0,,23.0,59.0,1.0,7.0,1.0,10.0,1.0,11.0,1.0,2.0,3.0,,,1.0,,,2.0,1.0,,,5.0,,,0.0,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,1dk0bdadfdnycriqp8u21ulpm,B. Bender,Midfielder,15,10.0,11.0,24.0,,1.0,1.0,,3.0,2.0,,1.0,,1.0,,3.0,1.0,10.0,,2.0,1.0,6.0,,3.0,2.0,1.0,1.0,,,,,,,7.0,,1.0,11.0,,,1.0,,,,2.0,,,2.0,,,10.0,17.0,,1.0,,10.0,1.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,240d7z6v0gx52zf59ntaa2aqd,Pep Biel,Midfielder,16,10.0,10.0,15.0,,1.0,,,3.0,1.0,3.0,1.0,,,,3.0,,10.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,,1.0,,,,,8.0,,,10.0,,3.0,,1.0,3.0,,1.0,,,2.0,,,10.0,17.0,,3.0,1.0,10.0,1.0,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,cqx2x7351ie20giqha8hd5djp,D. Bingham,Goalkeeper,22,20.0,57.0,240.0,4.0,,15.0,,21.0,,,2.0,1.0,,,36.0,1.0,36.0,,1.0,2.0,13.0,,32.0,,,,2.0,,,,,,,,21.0,36.0,3.0,12.0,1.0,,,,21.0,,4.0,,,,28.0,88.0,,,,10.0,,1.0,0.0,,,20.0,,,1.0,,,8.0,,,,,6.0,,,,,,,11.0,,,,,,,,,,,,,,,,15.0,1.0,32.0,,,1.0,1.0,5.0,4.0,3.0,,1.0,,,,,,,3.0,,1.0,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,ahsgqqn4mjj7isq2x0fdkl49,B. Bronico,Midfielder,13,56.0,63.0,85.0,3.0,4.0,4.0,2.0,10.0,10.0,2.0,2.0,,,1.0,25.0,,56.0,2.0,8.0,2.0,14.0,1.0,21.0,5.0,2.0,8.0,,,1.0,,2.0,1.0,31.0,2.0,7.0,63.0,2.0,18.0,6.0,3.0,1.0,,12.0,,3.0,2.0,,2.0,51.0,78.0,,5.0,1.0,10.0,1.0,3.0,0.0,,,1.0,1.0,,,,,5.0,,,1.0,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
USA_US_Open_Cup,2025,Charlotte FC,2mmmt24h514bl1j112kf99dd5,D. Diani,Midfielder,28,143.0,158.0,189.0,2.0,5.0,10.0,1.0,20.0,20.0,2.0,2.0,4.0,3.0,2.0,58.0,7.0,146.0,4.0,17.0,2.0,38.0,,47.0,7.0,,10.0,2.0,2.0,1.0,8.0,2.0,,89.0,2.0,12.0,155.0,2.0,53.0,8.0,6.0,,1.0,8.0,,2.0,1.0,1.0,2.0,135.0,183.0,1.0,4.0,,10.0,2.0,10.0,0.0,,1.0,4.0,2.0,,,,,11.0,,,1.0,1.0,3.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,537yyv46hctf4ig8h7x63cokq,A. Malanda,Defender,29,53.0,73.0,120.0,3.0,2.0,12.0,2.0,16.0,3.0,,1.0,1.0,,,45.0,1.0,58.0,1.0,3.0,1.0,10.0,1.0,31.0,,,2.0,1.0,1.0,1.0,,,1.0,13.0,,15.0,67.0,15.0,29.0,7.0,2.0,,,7.0,,3.0,2.0,,1.0,46.0,100.0,,,,10.0,,3.0,0.0,,1.0,8.0,2.0,,1.0,,,12.0,,,,,3.0,,,,,,2.0,4.0,,,,,,,,,1.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,aiifscgp07zvj7thb3p3huelm,G. Marks,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,9qshi2dind1f6unpfneiuj14a,J. Marshall-Rutty,Defender,2,140.0,152.0,240.0,4.0,,15.0,,22.0,45.0,1.0,2.0,1.0,1.0,1.0,69.0,2.0,140.0,4.0,16.0,2.0,56.0,1.0,48.0,5.0,,14.0,2.0,3.0,,1.0,3.0,,72.0,1.0,12.0,151.0,4.0,3.0,8.0,10.0,1.0,1.0,8.0,,4.0,3.0,,3.0,132.0,202.0,2.0,4.0,,10.0,3.0,11.0,0.0,,3.0,4.0,,,2.0,,,8.0,1.0,,3.0,1.0,3.0,,,6.0,6.0,18.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
