liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Total Passes,Time Played,Goals Conceded,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Total Shots,Total Losses Of Possession,Backward Passes,Times Tackled,Appearances,Aerial Duels won,Aerial Duels lost,Foul Attempted Tackle,Successful Passes Own Half,Aerial Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Duels,Games Played,Rightside Passes,Corners Won,Forward Passes,Duels lost,Substitute On,Ground Duels,Starts,Tackles Won,Shots Off Target (inc woodwork),Successful Lay-offs,Total Fouls Conceded,Shots On Target ( inc goals ),Successful Passes Opposition Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Total Clearances,Leftside Passes,Unsuccessful Short Passes,Ground Duels won,Unsuccessful Dribbles,Assists (Intentional),Recoveries,Offsides,Goals Conceded Inside Box,Total Touches In Opposition Box,Substitute Off,Interceptions,Successful Short Passes,Touches,Goal Assists,Ground Duels lost,Blocked Shots,Index,Key Passes (Attempt Assists),Duels won,Winning Goal,Goals from Inside Box,Total Fouls Won,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Handballs conceded,Successful Launches,Left Foot Goals,Goals,Successful Long Passes,Throw Ins to Opposition Player,Overruns,Successful Dribbles,Yellow Cards,Unsuccessful Passes Own Half,Home Goals,Away Goals,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Throw Ins to Own Player,Blocks,Unsuccessful Launches,Successful Corners into Box,Through balls,Successful Crosses open play,Successful Crosses & Corners,Unsuccessful lay-offs,Corners Taken (incl short corners),Unsuccessful Corners into Box,Right Foot Goals,Hit Woodwork,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Headed Goals,Goal Kicks,GK Unsuccessful Distribution,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Saves Made from Outside Box,Saves Made,Saves Made from Inside Box,Catches,Goals Conceded Outside Box,Drops,Clean Sheets,Penalty Goals Conceded,Goals Openplay,Straight Red Cards,Penalties Conceded,Penalties Faced,Punches,Clearances Off the Line,Goalkeeper Smother,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Saves made - caught,Own Goal Scored,Last Player Tackle
USA_US_Open_Cup,2025,FC Arizona,f0tdjqy3iqxny3s8bjw56wdg4,B. Acevez,Midfielder,5,36.0,48.0,90.0,7.0,2.0,4.0,1.0,12.0,10.0,3.0,1.0,,1.0,,29.0,1.0,40.0,1.0,7.0,1.0,21.0,,8.0,5.0,,6.0,1.0,,1.0,,,,11.0,1.0,8.0,44.0,,9.0,7.0,2.0,1.0,,6.0,,5.0,1.0,,,36.0,61.0,,4.0,1.0,10.0,,2.0,0.0,,1.0,1.0,1.0,,,,,4.0,,,,,4.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,crcpjq0niuiayvpeggjn1zfh0,M. Afonso,Midfielder,10,25.0,30.0,75.0,5.0,2.0,5.0,1.0,12.0,8.0,5.0,1.0,,,,13.0,,27.0,1.0,12.0,1.0,1.0,1.0,9.0,6.0,,12.0,1.0,1.0,1.0,2.0,,,14.0,,3.0,28.0,,12.0,3.0,6.0,2.0,1.0,3.0,,3.0,1.0,1.0,,27.0,49.0,1.0,6.0,,10.0,1.0,6.0,0.0,,3.0,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,6iyosuhn1pxg37ruv9b1diadw,C. Aguirre,Defender,12,41.0,46.0,90.0,7.0,1.0,4.0,,4.0,1.0,,1.0,,,,38.0,,42.0,1.0,2.0,1.0,15.0,,22.0,1.0,,2.0,1.0,1.0,,,,,4.0,,4.0,45.0,3.0,8.0,1.0,1.0,,,4.0,,5.0,,,2.0,42.0,54.0,,1.0,,10.0,,1.0,0.0,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,7h87ppg7zlgwekcjooimeavx0,S. Alharthy,Defender,18,10.0,13.0,14.0,2.0,,3.0,,3.0,2.0,,1.0,,,1.0,6.0,,10.0,,1.0,1.0,3.0,,7.0,1.0,1.0,1.0,,,,,1.0,,4.0,,3.0,13.0,1.0,1.0,2.0,,,,1.0,,2.0,,,,9.0,15.0,,1.0,,10.0,,,0.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,3gkkccfrdk43lovx1bjat09p0,M. Atondo,Midfielder,7,1.0,5.0,15.0,2.0,,3.0,,4.0,,,1.0,,,,1.0,,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,3.0,,3.0,4.0,,3.0,2.0,,,,,,2.0,,,1.0,1.0,10.0,,,,10.0,1.0,,0.0,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,2.0,,,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,c1a6dy8ccj134vree952rw8ic,I. Benjamin,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,ea1ypid02qm9z9bx6ydrsq2ac,K. Benjamin,Defender,11,5.0,8.0,38.0,3.0,,1.0,,8.0,3.0,3.0,1.0,,1.0,2.0,4.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,6.0,1.0,6.0,,1.0,,,2.0,,3.0,,1.0,6.0,,2.0,1.0,1.0,2.0,,1.0,,2.0,3.0,,,7.0,16.0,,5.0,,10.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,75dovz33h61mnhinjnh7vuvis,A. Cuevas,Defender,13,23.0,29.0,90.0,7.0,1.0,3.0,,12.0,3.0,2.0,1.0,2.0,1.0,,15.0,3.0,23.0,4.0,11.0,1.0,2.0,,13.0,5.0,,8.0,1.0,3.0,,,,,8.0,1.0,6.0,29.0,1.0,11.0,6.0,4.0,,,7.0,,5.0,,,1.0,22.0,50.0,,4.0,,10.0,,6.0,0.0,,,,,,1.0,,,1.0,,,,,5.0,,,2.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,5vjwrp9b9upthc75bepykhiol,J. Cunliffe,Midfielder,9,9.0,11.0,39.0,3.0,,2.0,,2.0,3.0,,1.0,,,,4.0,,9.0,,,1.0,3.0,,2.0,,1.0,,,,,1.0,,,5.0,,2.0,11.0,,3.0,2.0,,,,1.0,,2.0,1.0,,,9.0,13.0,,,1.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Arizona,3n9h0gn1e9suqgggr66l0agic,L. Guzman,Defender,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
