liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Total Passes,Time Played,Goals Conceded,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Total Shots,Total Losses Of Possession,Backward Passes,Times Tackled,Appearances,Aerial Duels won,Aerial Duels lost,Foul Attempted Tackle,Successful Passes Own Half,Aerial Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Duels,Games Played,Rightside Passes,Corners Won,Forward Passes,Duels lost,Substitute On,Ground Duels,Starts,Tackles Won,Shots Off Target (inc woodwork),Successful Lay-offs,Total Fouls Conceded,Shots On Target ( inc goals ),Successful Passes Opposition Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Total Clearances,Leftside Passes,Unsuccessful Short Passes,Ground Duels won,Unsuccessful Dribbles,Assists (Intentional),Recoveries,Offsides,Goals Conceded Inside Box,Total Touches In Opposition Box,Substitute Off,Interceptions,Successful Short Passes,Touches,Goal Assists,Ground Duels lost,Blocked Shots,Index,Key Passes (Attempt Assists),Duels won,Winning Goal,Goals from Inside Box,Total Fouls Won,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Handballs conceded,Successful Launches,Left Foot Goals,Goals,Successful Long Passes,Throw Ins to Opposition Player,Overruns,Successful Dribbles,Yellow Cards,Unsuccessful Passes Own Half,Home Goals,Away Goals,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Throw Ins to Own Player,Blocks,Unsuccessful Launches,Successful Corners into Box,Through balls,Successful Crosses open play,Successful Crosses & Corners,Unsuccessful lay-offs,Corners Taken (incl short corners),Unsuccessful Corners into Box,Right Foot Goals,Hit Woodwork,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Headed Goals,Goal Kicks,GK Unsuccessful Distribution,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Saves Made from Outside Box,Saves Made,Saves Made from Inside Box,Catches,Goals Conceded Outside Box,Drops,Clean Sheets,Penalty Goals Conceded,Goals Openplay,Straight Red Cards,Penalties Conceded,Penalties Faced,Punches,Clearances Off the Line,Goalkeeper Smother,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Saves made - caught,Own Goal Scored,Last Player Tackle
USA_US_Open_Cup,2025,FC Tulsa,2giowiodzndu5m2gwn79iiui1,L. Batista,Defender,15,113.0,163.0,300.0,2.0,3.0,27.0,1.0,59.0,6.0,1.0,3.0,12.0,2.0,2.0,64.0,14.0,119.0,7.0,38.0,3.0,53.0,1.0,87.0,11.0,,24.0,3.0,6.0,1.0,,5.0,,56.0,1.0,44.0,155.0,10.0,17.0,27.0,15.0,1.0,,8.0,,2.0,7.0,,5.0,105.0,234.0,,9.0,1.0,10.0,1.0,27.0,0.0,,4.0,17.0,1.0,,3.0,,,14.0,10.0,,4.0,1.0,19.0,,,2.0,2.0,13.0,5.0,14.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,dtb9aa7wp7e73bm367myma1n9,J. Berner,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,cdyrj15oxu3l5sgzgwof8ohgq,F. Bettache,Midfielder,77,15.0,18.0,20.0,,2.0,5.0,,5.0,4.0,,1.0,,,,3.0,,16.0,,2.0,1.0,7.0,3.0,7.0,2.0,1.0,2.0,,,,,2.0,,14.0,,2.0,17.0,,,1.0,,,,,,,,,,16.0,24.0,,2.0,2.0,10.0,1.0,,0.0,,,1.0,,,,,,,,,,,,,,3.0,2.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,1d20nyyvmp0doobj6heejkowk,T. Calheira,Forward,9,34.0,53.0,299.0,2.0,6.0,16.0,10.0,41.0,12.0,10.0,3.0,10.0,10.0,,7.0,20.0,34.0,2.0,45.0,3.0,14.0,6.0,13.0,25.0,,25.0,3.0,2.0,3.0,1.0,6.0,7.0,28.0,,19.0,53.0,1.0,14.0,18.0,10.0,1.0,1.0,6.0,1.0,2.0,24.0,1.0,1.0,33.0,110.0,1.0,15.0,2.0,10.0,1.0,20.0,1.0,2.0,7.0,1.0,4.0,1.0,,,2.0,1.0,,1.0,3.0,,4.0,0.0,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,2.0,1.0,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,bw0h202lprp7jzdtp6hv78ixh,Marcos Cerato,Midfielder,5,91.0,131.0,283.0,2.0,2.0,36.0,2.0,48.0,19.0,1.0,3.0,4.0,2.0,4.0,39.0,6.0,94.0,6.0,21.0,3.0,36.0,1.0,48.0,11.0,,15.0,3.0,4.0,2.0,,6.0,,59.0,2.0,37.0,127.0,1.0,28.0,22.0,6.0,,,15.0,,2.0,2.0,1.0,2.0,88.0,164.0,,9.0,,10.0,6.0,10.0,0.0,,,15.0,1.0,,,,,6.0,,1.0,,1.0,6.0,,,5.0,2.0,1.0,,7.0,3.0,,1.0,4.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,d99eakp27bro9g50wpzti8rca,A. Cissoko,Defender,91,56.0,73.0,108.0,1.0,1.0,9.0,,16.0,1.0,,3.0,2.0,4.0,,33.0,6.0,59.0,,9.0,3.0,16.0,,33.0,4.0,2.0,3.0,1.0,,,,,,26.0,,14.0,70.0,2.0,23.0,7.0,3.0,,,5.0,,1.0,1.0,1.0,,54.0,87.0,,,,10.0,1.0,5.0,0.0,,3.0,7.0,1.0,,1.0,,,5.0,,1.0,,,5.0,,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,Midfielder,26,90.0,125.0,300.0,2.0,6.0,37.0,2.0,58.0,25.0,6.0,3.0,5.0,6.0,2.0,34.0,11.0,97.0,7.0,32.0,3.0,30.0,,38.0,16.0,,21.0,3.0,6.0,2.0,,2.0,,68.0,1.0,28.0,116.0,2.0,32.0,20.0,11.0,1.0,,9.0,,2.0,3.0,,2.0,80.0,187.0,,10.0,,10.0,6.0,16.0,0.0,,5.0,8.0,4.0,,2.0,,,17.0,,,,1.0,4.0,,,13.0,4.0,2.0,,3.0,5.0,,,5.0,,14.0,8.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,Forward,21,17.0,19.0,108.0,1.0,2.0,2.0,2.0,8.0,4.0,3.0,2.0,,2.0,1.0,3.0,2.0,17.0,1.0,9.0,2.0,6.0,2.0,7.0,7.0,,7.0,2.0,1.0,1.0,,2.0,1.0,14.0,,2.0,19.0,,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,4.0,2.0,1.0,15.0,33.0,,5.0,,10.0,1.0,2.0,0.0,,,,2.0,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,dgpphcc9ql3pv3b4chhchml90,O. Damm,Defender,2,43.0,63.0,255.0,1.0,5.0,25.0,6.0,45.0,17.0,4.0,3.0,4.0,2.0,1.0,21.0,6.0,43.0,4.0,27.0,3.0,18.0,5.0,16.0,12.0,,21.0,3.0,3.0,2.0,,3.0,4.0,22.0,1.0,20.0,63.0,2.0,12.0,14.0,11.0,2.0,,12.0,1.0,1.0,6.0,3.0,4.0,39.0,128.0,,10.0,1.0,10.0,1.0,15.0,0.0,1.0,2.0,6.0,1.0,,2.0,1.0,1.0,4.0,9.0,,5.0,1.0,3.0,0.0,1.0,8.0,8.0,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,FC Tulsa,do5q14naxm61jw8px8qvacn4k,B. Diallo,Midfielder,6,9.0,20.0,112.0,1.0,2.0,14.0,1.0,26.0,3.0,5.0,2.0,1.0,3.0,2.0,,4.0,9.0,3.0,17.0,2.0,4.0,1.0,11.0,12.0,1.0,13.0,1.0,3.0,,,4.0,1.0,12.0,,11.0,20.0,1.0,2.0,6.0,4.0,1.0,,5.0,,1.0,2.0,1.0,1.0,7.0,50.0,,9.0,1.0,10.0,1.0,5.0,0.0,,2.0,5.0,,,1.0,,,2.0,,,,,1.0,,,4.0,4.0,1.0,,5.0,,,3.0,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
