liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Total Passes,Time Played,Goals Conceded,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Total Shots,Total Losses Of Possession,Backward Passes,Times Tackled,Appearances,Aerial Duels won,Aerial Duels lost,Foul Attempted Tackle,Successful Passes Own Half,Aerial Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Duels,Games Played,Rightside Passes,Corners Won,Forward Passes,Duels lost,Substitute On,Ground Duels,Starts,Tackles Won,Shots Off Target (inc woodwork),Successful Lay-offs,Total Fouls Conceded,Shots On Target ( inc goals ),Successful Passes Opposition Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Total Clearances,Leftside Passes,Unsuccessful Short Passes,Ground Duels won,Unsuccessful Dribbles,Assists (Intentional),Recoveries,Offsides,Goals Conceded Inside Box,Total Touches In Opposition Box,Substitute Off,Interceptions,Successful Short Passes,Touches,Goal Assists,Ground Duels lost,Blocked Shots,Index,Key Passes (Attempt Assists),Duels won,Winning Goal,Goals from Inside Box,Total Fouls Won,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Handballs conceded,Successful Launches,Left Foot Goals,Goals,Successful Long Passes,Throw Ins to Opposition Player,Overruns,Successful Dribbles,Yellow Cards,Unsuccessful Passes Own Half,Home Goals,Away Goals,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Throw Ins to Own Player,Blocks,Unsuccessful Launches,Successful Corners into Box,Through balls,Successful Crosses open play,Successful Crosses & Corners,Unsuccessful lay-offs,Corners Taken (incl short corners),Unsuccessful Corners into Box,Right Foot Goals,Hit Woodwork,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Headed Goals,Goal Kicks,GK Unsuccessful Distribution,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Saves Made from Outside Box,Saves Made,Saves Made from Inside Box,Catches,Goals Conceded Outside Box,Drops,Clean Sheets,Penalty Goals Conceded,Goals Openplay,Straight Red Cards,Penalties Conceded,Penalties Faced,Punches,Clearances Off the Line,Goalkeeper Smother,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Saves made - caught,Own Goal Scored,Last Player Tackle
USA_US_Open_Cup,2025,Loudoun United FC,agl19e1fx5123lk28avksxb3e,A. Aboukoura,Midfielder,11,23.0,33.0,65.0,1.0,1.0,5.0,3.0,15.0,9.0,3.0,3.0,1.0,1.0,1.0,9.0,2.0,24.0,1.0,10.0,3.0,12.0,,10.0,5.0,3.0,8.0,,,,,1.0,3.0,17.0,1.0,9.0,32.0,1.0,2.0,9.0,4.0,,,7.0,,1.0,3.0,,,23.0,51.0,,4.0,1.0,10.0,1.0,5.0,0.0,1.0,2.0,,,,,,1.0,1.0,,1.0,1.0,1.0,4.0,0.0,1.0,,,,,,,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,Defender,6,55.0,70.0,104.0,3.0,,7.0,1.0,18.0,12.0,,2.0,1.0,3.0,2.0,36.0,4.0,57.0,2.0,10.0,2.0,26.0,,27.0,6.0,1.0,6.0,1.0,1.0,1.0,,2.0,,22.0,1.0,13.0,68.0,3.0,5.0,12.0,3.0,,,3.0,,2.0,,1.0,4.0,52.0,98.0,,3.0,,10.0,1.0,4.0,0.0,,1.0,1.0,,,3.0,,,5.0,2.0,,,,7.0,,,1.0,1.0,10.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,8xte0mzawblk2ufasxalijk2y,R. Bidois,Forward,15,30.0,48.0,212.0,4.0,3.0,13.0,9.0,30.0,18.0,8.0,3.0,2.0,1.0,3.0,15.0,3.0,35.0,2.0,25.0,3.0,9.0,1.0,8.0,17.0,,22.0,3.0,2.0,5.0,3.0,7.0,4.0,20.0,,13.0,43.0,1.0,13.0,13.0,6.0,3.0,,3.0,,3.0,19.0,2.0,,34.0,90.0,,16.0,2.0,10.0,1.0,8.0,1.0,3.0,2.0,,1.0,1.0,,2.0,3.0,1.0,,,2.0,,3.0,1.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,3iygln7x6y336sb1qa3lfpa3u,S. Dagnachew,Midfielder,19,22.0,32.0,101.0,2.0,2.0,6.0,1.0,14.0,11.0,2.0,2.0,,1.0,,12.0,1.0,22.0,3.0,9.0,2.0,5.0,,5.0,4.0,,8.0,2.0,3.0,1.0,1.0,,,11.0,,10.0,32.0,,11.0,9.0,5.0,,1.0,,,2.0,2.0,2.0,,21.0,44.0,1.0,3.0,,10.0,1.0,5.0,0.0,,2.0,1.0,1.0,,,,,1.0,,,,,4.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,b6t0f1g03ixymivs4fbaiewic,J. Erlandson,Defender,24,125.0,172.0,184.0,4.0,6.0,22.0,3.0,36.0,3.0,,3.0,7.0,2.0,3.0,81.0,9.0,138.0,4.0,26.0,3.0,68.0,,64.0,9.0,1.0,17.0,2.0,3.0,3.0,,4.0,,57.0,1.0,34.0,159.0,11.0,37.0,18.0,10.0,,,7.0,,3.0,3.0,2.0,3.0,128.0,205.0,,7.0,,10.0,2.0,17.0,0.0,,6.0,16.0,2.0,,1.0,,,10.0,,1.0,,,12.0,,,,,,1.0,5.0,,,,,,,,,,,,,,,,7.0,,7.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,7xmkuf6t0h8n9dirv85jx25n8,J. Erlandson,Defender,55,4.0,5.0,4.0,,,1.0,,1.0,1.0,,1.0,,,1.0,4.0,,4.0,,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,5.0,,,1.0,,,,,,,,,,4.0,5.0,,1.0,,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,7lmf6beyvhncglhw9avm40qju,H. Fauroux,Goalkeeper,23,50.0,92.0,270.0,6.0,,16.0,,25.0,,,3.0,,,,58.0,,67.0,,,3.0,17.0,,50.0,,,,3.0,,,,,,9.0,,25.0,68.0,1.0,25.0,3.0,,,,23.0,,5.0,,,,53.0,121.0,,,,10.0,,,0.0,,,22.0,,,2.0,,,14.0,,,,,9.0,,,,,,,11.0,,,,,,,,,,,,,,,,16.0,3.0,28.0,,,1.0,4.0,9.0,5.0,4.0,1.0,,,1.0,,,,1.0,,,,,,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,e01adcq62lg6avlh5730enx90,A. Hurge,Midfielder,88,64.0,80.0,180.0,4.0,4.0,10.0,,24.0,19.0,2.0,2.0,1.0,,3.0,34.0,1.0,65.0,2.0,18.0,2.0,19.0,,21.0,10.0,,17.0,2.0,1.0,,1.0,5.0,,32.0,1.0,15.0,79.0,4.0,21.0,11.0,7.0,,,15.0,,4.0,,,2.0,63.0,111.0,,10.0,,10.0,1.0,8.0,0.0,,2.0,4.0,4.0,,,,,2.0,,,3.0,,5.0,,,,,,,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,f0wprovraucxrx9wwd5au2pzo,R. Jack,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Loudoun United FC,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,Defender,5,133.0,161.0,214.0,5.0,1.0,9.0,1.0,20.0,6.0,1.0,3.0,1.0,,3.0,106.0,1.0,142.0,1.0,14.0,3.0,20.0,,57.0,7.0,1.0,13.0,2.0,1.0,,,5.0,1.0,36.0,,19.0,152.0,9.0,78.0,14.0,6.0,,,9.0,,4.0,,,4.0,136.0,184.0,,7.0,,10.0,,7.0,0.0,,4.0,5.0,,,1.0,,,6.0,,,1.0,1.0,10.0,,,,,,2.0,3.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
