liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Total Passes,Time Played,Goals Conceded,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Total Shots,Total Losses Of Possession,Backward Passes,Times Tackled,Appearances,Aerial Duels won,Aerial Duels lost,Foul Attempted Tackle,Successful Passes Own Half,Aerial Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Duels,Games Played,Rightside Passes,Corners Won,Forward Passes,Duels lost,Substitute On,Ground Duels,Starts,Tackles Won,Shots Off Target (inc woodwork),Successful Lay-offs,Total Fouls Conceded,Shots On Target ( inc goals ),Successful Passes Opposition Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Total Clearances,Leftside Passes,Unsuccessful Short Passes,Ground Duels won,Unsuccessful Dribbles,Assists (Intentional),Recoveries,Offsides,Goals Conceded Inside Box,Total Touches In Opposition Box,Substitute Off,Interceptions,Successful Short Passes,Touches,Goal Assists,Ground Duels lost,Blocked Shots,Index,Key Passes (Attempt Assists),Duels won,Winning Goal,Goals from Inside Box,Total Fouls Won,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Handballs conceded,Successful Launches,Left Foot Goals,Goals,Successful Long Passes,Throw Ins to Opposition Player,Overruns,Successful Dribbles,Yellow Cards,Unsuccessful Passes Own Half,Home Goals,Away Goals,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Throw Ins to Own Player,Blocks,Unsuccessful Launches,Successful Corners into Box,Through balls,Successful Crosses open play,Successful Crosses & Corners,Unsuccessful lay-offs,Corners Taken (incl short corners),Unsuccessful Corners into Box,Right Foot Goals,Hit Woodwork,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Headed Goals,Goal Kicks,GK Unsuccessful Distribution,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Saves Made from Outside Box,Saves Made,Saves Made from Inside Box,Catches,Goals Conceded Outside Box,Drops,Clean Sheets,Penalty Goals Conceded,Goals Openplay,Straight Red Cards,Penalties Conceded,Penalties Faced,Punches,Clearances Off the Line,Goalkeeper Smother,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Saves made - caught,Own Goal Scored,Last Player Tackle
USA_US_Open_Cup,2025,Miami FC,8gnvbaqsuet4v3x6orkm20b56,A. Acloque,Midfielder,27,,,5.0,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,10.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,Defender,21,79.0,103.0,277.0,1.0,4.0,15.0,,23.0,10.0,1.0,3.0,3.0,1.0,1.0,62.0,4.0,82.0,10.0,26.0,3.0,39.0,,38.0,7.0,,22.0,3.0,8.0,,,2.0,,20.0,2.0,21.0,98.0,12.0,16.0,10.0,16.0,,,4.0,,1.0,3.0,1.0,,82.0,141.0,,6.0,1.0,10.0,,19.0,0.0,,7.0,11.0,1.0,,,,,,,,1.0,,6.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,cefb3xpf94kmg4rk0v1mkk2l0,B. Bent,Forward,35,8.0,10.0,80.0,1.0,1.0,3.0,,7.0,1.0,1.0,2.0,,3.0,,4.0,3.0,9.0,3.0,8.0,2.0,7.0,1.0,2.0,4.0,2.0,5.0,,3.0,,,,,6.0,,1.0,9.0,3.0,,1.0,4.0,1.0,,1.0,,1.0,2.0,,2.0,9.0,28.0,,1.0,,10.0,2.0,4.0,0.0,,1.0,,,,,,,,1.0,,,1.0,,,,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,Midfielder,10,39.0,53.0,68.0,2.0,,14.0,3.0,19.0,11.0,1.0,2.0,,,,20.0,,42.0,1.0,6.0,2.0,10.0,1.0,21.0,1.0,2.0,6.0,,1.0,2.0,,,1.0,24.0,,11.0,50.0,,11.0,9.0,5.0,1.0,,7.0,,2.0,3.0,,,38.0,73.0,,1.0,1.0,10.0,3.0,5.0,0.0,,3.0,2.0,,,,,,4.0,,1.0,1.0,,1.0,,,4.0,3.0,,,,,,1.0,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,Forward,9,57.0,71.0,271.0,,4.0,10.0,12.0,26.0,24.0,5.0,3.0,6.0,6.0,,17.0,12.0,61.0,3.0,26.0,3.0,15.0,4.0,14.0,14.0,,14.0,3.0,,2.0,2.0,1.0,10.0,44.0,3.0,10.0,67.0,1.0,18.0,9.0,6.0,,,7.0,1.0,,18.0,2.0,4.0,59.0,118.0,,8.0,1.0,10.0,2.0,12.0,2.0,3.0,3.0,1.0,1.0,,,1.0,3.0,2.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,1460tac94fhhy43lmohs4fj3e,N. Cardona,Defender,4,71.0,106.0,210.0,2.0,7.0,28.0,1.0,47.0,12.0,2.0,2.0,2.0,3.0,2.0,41.0,5.0,74.0,4.0,21.0,2.0,4.0,1.0,57.0,7.0,,16.0,2.0,3.0,1.0,,3.0,,34.0,1.0,32.0,102.0,10.0,33.0,18.0,12.0,1.0,1.0,8.0,,2.0,2.0,,4.0,68.0,176.0,1.0,4.0,,10.0,,14.0,0.0,,7.0,14.0,1.0,1.0,2.0,,,6.0,7.0,,1.0,1.0,6.0,,,2.0,2.0,20.0,1.0,9.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,c14ntw6zvozswy685dztldl1x,F. Celeste,Midfielder,22,41.0,48.0,45.0,1.0,2.0,6.0,,10.0,14.0,2.0,1.0,,,1.0,26.0,,43.0,2.0,6.0,1.0,13.0,,9.0,3.0,1.0,6.0,,2.0,,,1.0,,18.0,,5.0,46.0,,12.0,4.0,3.0,,,2.0,,1.0,1.0,,,37.0,59.0,,3.0,,10.0,3.0,3.0,0.0,,1.0,1.0,1.0,,,,,6.0,,,,,1.0,,,2.0,1.0,,,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,bbic10tw6eaf7rgpogt37rgtl,G. Díaz,Midfielder,16,81.0,95.0,126.0,2.0,1.0,6.0,2.0,13.0,14.0,1.0,2.0,1.0,,4.0,38.0,1.0,87.0,5.0,15.0,2.0,27.0,,21.0,7.0,1.0,14.0,1.0,3.0,,1.0,4.0,2.0,49.0,2.0,8.0,89.0,1.0,33.0,8.0,7.0,,,2.0,,2.0,3.0,,,76.0,112.0,,7.0,,10.0,4.0,8.0,0.0,,1.0,,1.0,,,,,11.0,,,1.0,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,bolmgcfvbdizfyh6n9oz4xjsa,A. Gavilanes,Midfielder,7,57.0,72.0,227.0,,2.0,26.0,4.0,39.0,18.0,8.0,3.0,1.0,2.0,2.0,12.0,3.0,62.0,3.0,33.0,3.0,9.0,1.0,21.0,13.0,,30.0,3.0,3.0,1.0,1.0,3.0,3.0,52.0,,10.0,67.0,3.0,24.0,9.0,19.0,2.0,,7.0,1.0,,7.0,3.0,3.0,58.0,136.0,,11.0,,10.0,5.0,20.0,0.0,1.0,13.0,1.0,1.0,,,1.0,1.0,4.0,1.0,,3.0,1.0,1.0,1.0,0.0,17.0,8.0,,,,2.0,,1.0,2.0,,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,9q3w4j10qfsq94svbmyxa879x,B. Hamid,Goalkeeper,28,23.0,82.0,300.0,2.0,2.0,21.0,,26.0,,,3.0,,,,42.0,,56.0,,,3.0,15.0,,52.0,,,,3.0,,,,,,14.0,,26.0,33.0,4.0,15.0,1.0,,,,28.0,,2.0,,,,32.0,112.0,,,,10.0,,,0.0,,,25.0,2.0,,11.0,,,24.0,,,,,5.0,,,,,,,11.0,,,,,,,,,,,,,,,,24.0,4.0,35.0,,,3.0,3.0,7.0,4.0,,,,1.0,,,,,,1.0,,,,,,,,,
