liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Backward Passes,Duels,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels won,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Own Player,Time Played,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Corners Won,Duels lost,Handballs conceded,Interceptions,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Starts,Successful Launches,Successful Lay-offs,Successful Long Passes,Tackles Lost,Tackles Won,Total Clearances,Total Fouls Conceded,Total Tackles,Blocks,Corners Taken (incl short corners),Hit Woodwork,Penalties Off Target,Penalties Taken,Substitute Off,Successful Corners into Box,Successful Dribbles,Throw Ins to Opposition Player,Total Big Chances Missed,Unsuccessful Corners into Box,Foul Attempted Tackle,Ground Duels lost,Offsides,Shots On Target ( inc goals ),Yellow Cards,Times Tackled,Unsuccessful Crosses open play,Unsuccessful Dribbles,Blocked Shots,GK Successful Distribution,Goal Kicks,Foul Won Penalty,Catches,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Goals Conceded Outside Box,Overruns,Penalty Goals Conceded,Penalties Conceded,GK Unsuccessful Distribution,Penalties Faced,Unsuccessful lay-offs,Carries,Progressive Carries,Total Big Chances Created,Goals,Goals Openplay,Goals from Inside Box,Right Foot Goals,Total Big Chances Scored,Home Goals,Away Goals,Attempts from Set Pieces,Penalty Goals,Assists (Intentional),Goal Assists,Straight Red Cards,Total Red Cards,Clean Sheets,Left Foot Goals,Through balls,Headed Goals,Goalkeeper Smother,Own Goal Scored,Red Cards - 2nd Yellow,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Drops,Penalties Saved,Saves from Penalty,Clearances Off the Line,Second Goal Assists,Saves made - caught,Crosses not Claimed,Other Goals,Last Player Tackle
USA_US_Open_Cup,2026,Chattanooga FC,3ya4g8ymk5we3ho89tse85atw,F. Amoateng,Midfielder,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,3xwwblrwal3q83scc8c7wecfe,K. Ancelin,Forward,26,3.0,15.0,18.0,7.0,39.0,9.0,3.0,2.0,2.0,10.0,3.0,2.0,19.0,53.0,8.0,10.0,2.0,2.0,2.0,,,43.0,29.0,14.0,41.0,,159.0,1.0,20.0,53.0,5.0,43.0,13.0,10.0,83.0,1.0,,,9.0,2.0,10.0,0.0,8.0,4.0,4.0,1.0,11.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,,,1.0,5.0,,,,2.0,,,1.0,,2.0,,3.0,,3.0,7.0,,3.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,atlxhd0vy00ide6tap7l405xw,A. Arrúa,Forward,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,es77zuezg8qvczh819uj6c844,D. Barker John,Midfielder,9,2.0,17.0,17.0,8.0,14.0,8.0,2.0,4.0,3.0,16.0,8.0,1.0,8.0,31.0,4.0,4.0,1.0,1.0,,,,25.0,16.0,15.0,30.0,1.0,126.0,5.0,17.0,37.0,2.0,31.0,4.0,6.0,65.0,1.0,,1.0,6.0,1.0,5.0,0.0,1.0,1.0,,2.0,9.0,,1.0,1.0,,2.0,,2.0,1.0,,1.0,,1.0,1.0,,,,,,2.0,,2.0,,,,1.0,8.0,,1.0,,6.0,1.0,6.0,1.0,,,,,,,,,,,1.0,,,,,,,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,ezq3vqtlf2keocudx8ndelct0,M. Barrueta,Goalkeeper,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,8l4bqb8gtyzqpx3pti200phqs,Y. Cohen,Forward,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,b0gj9mxlb2dtpn2ijr305yolw,J. Flores,Defender,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,53ufl7f1lbwnr7klx9ofxufbo,A. García,Midfielder,7,3.0,4.0,9.0,2.0,17.0,3.0,3.0,,,8.0,2.0,2.0,1.0,13.0,5.0,5.0,2.0,2.0,2.0,,,6.0,6.0,,6.0,,63.0,1.0,14.0,13.0,2.0,6.0,7.0,7.0,27.0,,1.0,3.0,6.0,1.0,4.0,0.0,1.0,1.0,,,7.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,6.0,1.0,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,9.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,ax2y5fvc4dzwn4qkxrfutapsk,A. Gordon,Forward,19,3.0,18.0,23.0,13.0,57.0,8.0,3.0,3.0,2.0,21.0,11.0,8.0,12.0,52.0,5.0,16.0,8.0,3.0,2.0,7.0,3.0,45.0,38.0,15.0,43.0,1.0,162.0,4.0,29.0,54.0,4.0,46.0,9.0,8.0,106.0,7.0,1.0,2.0,14.0,1.0,6.0,0.0,2.0,,2.0,2.0,10.0,,,,,1.0,1.0,3.0,3.0,3.0,3.0,5.0,2.0,6.0,,6.0,,,,,3.0,1.0,2.0,,2.0,1.0,10.0,,1.0,1.0,7.0,4.0,4.0,3.0,,,,,,,,,,,1.0,,,,,,1.0,17.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chattanooga FC,8u9op6ac2d1la3hcryt1eun3e,M. Hanchard,Defender,4,2.0,5.0,4.0,2.0,1.0,15.0,2.0,3.0,3.0,4.0,2.0,,18.0,43.0,4.0,7.0,,,1.0,,,37.0,12.0,27.0,31.0,,106.0,1.0,6.0,45.0,,39.0,,6.0,59.0,,1.0,6.0,5.0,1.0,,0.0,,,,,2.0,,2.0,1.0,1.0,1.0,,,8.0,,1.0,8.0,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
