liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Backward Passes,Duels,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels won,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Own Player,Time Played,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Corners Won,Duels lost,Handballs conceded,Interceptions,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Starts,Successful Launches,Successful Lay-offs,Successful Long Passes,Tackles Lost,Tackles Won,Total Clearances,Total Fouls Conceded,Total Tackles,Blocks,Corners Taken (incl short corners),Hit Woodwork,Penalties Off Target,Penalties Taken,Substitute Off,Successful Corners into Box,Successful Dribbles,Throw Ins to Opposition Player,Total Big Chances Missed,Unsuccessful Corners into Box,Foul Attempted Tackle,Ground Duels lost,Offsides,Shots On Target ( inc goals ),Yellow Cards,Times Tackled,Unsuccessful Crosses open play,Unsuccessful Dribbles,Blocked Shots,GK Successful Distribution,Goal Kicks,Foul Won Penalty,Catches,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Goals Conceded Outside Box,Overruns,Penalty Goals Conceded,Penalties Conceded,GK Unsuccessful Distribution,Penalties Faced,Unsuccessful lay-offs,Carries,Progressive Carries,Total Big Chances Created,Goals,Goals Openplay,Goals from Inside Box,Right Foot Goals,Total Big Chances Scored,Home Goals,Away Goals,Attempts from Set Pieces,Penalty Goals,Assists (Intentional),Goal Assists,Straight Red Cards,Total Red Cards,Clean Sheets,Left Foot Goals,Through balls,Headed Goals,Goalkeeper Smother,Own Goal Scored,Red Cards - 2nd Yellow,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Drops,Penalties Saved,Saves from Penalty,Clearances Off the Line,Second Goal Assists,Saves made - caught,Crosses not Claimed,Other Goals,Last Player Tackle
USA_US_Open_Cup,2026,Chicago Fire FC,4j6h9mgau5uaxlm589qlc6rjd,André Franco,Midfielder,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,a35r6fa79ipqqktiff3uhz6j9,J. Bamba,Forward,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,842jc9ip6cmresz7ouwhafl04,D. Boltz,Forward,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,83uri423ckm6ngfoerw6gwh04,D. Borso,Forward,27,2.0,6.0,10.0,7.0,8.0,7.0,2.0,1.0,1.0,9.0,6.0,,11.0,25.0,4.0,2.0,,,1.0,,,20.0,11.0,10.0,18.0,4.0,83.0,1.0,7.0,26.0,,21.0,,5.0,53.0,,,,3.0,2.0,5.0,0.0,1.0,,1.0,,3.0,,1.0,4.0,3.0,1.0,,,3.0,1.0,4.0,4.0,3.0,5.0,,,,,,1.0,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,6ycb14t59u46bwsvbb4kuur1m,C. Brady,Goalkeeper,1,2.0,,1.0,1.0,,29.0,2.0,3.0,3.0,,,,11.0,39.0,20.0,18.0,,,,,,32.0,2.0,40.0,37.0,,180.0,,16.0,58.0,,42.0,,16.0,74.0,,7.0,16.0,12.0,4.0,,0.0,1.0,,1.0,,,,,,,2.0,1.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,17.0,11.0,,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,5.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,cu84s15ig7u7g9iwwcff82yuh,J. Cohen,Goalkeeper,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,b3xoqrbmua9uzr0tw8kmnw9as,C. Cupps,Defender,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,Forward,9,1.0,2.0,4.0,1.0,7.0,2.0,1.0,,,2.0,1.0,,4.0,14.0,,6.0,,3.0,,,,6.0,4.0,2.0,6.0,,64.0,,10.0,14.0,3.0,6.0,3.0,8.0,23.0,,,,5.0,3.0,8.0,0.0,2.0,2.0,,,3.0,,,3.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,2343y1f4dtezub9633ghspqi2,J. Dean,Defender,24,1.0,7.0,10.0,3.0,11.0,13.0,1.0,1.0,1.0,6.0,1.0,,12.0,34.0,3.0,2.0,,,,1.0,1.0,26.0,14.0,13.0,24.0,5.0,90.0,,15.0,34.0,,26.0,,8.0,62.0,,2.0,4.0,6.0,2.0,4.0,0.0,4.0,2.0,2.0,,7.0,,5.0,3.0,2.0,1.0,,,2.0,,,4.0,2.0,,1.0,,,,,,,1.0,5.0,,,2.0,5.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,55m0mky1hal5hyuy5sjz4hrmc,P. Dithejane,Forward,12,1.0,4.0,12.0,5.0,20.0,5.0,1.0,1.0,1.0,12.0,5.0,,4.0,17.0,3.0,5.0,,1.0,,,,13.0,10.0,4.0,13.0,,80.0,1.0,13.0,18.0,1.0,14.0,6.0,4.0,36.0,,,,3.0,1.0,4.0,0.0,,,,,7.0,,,,,1.0,,,1.0,1.0,,,4.0,1.0,,,,,,,,3.0,,,,3.0,7.0,,,,3.0,,2.0,,1.0,1.0,,,,,,,,,,2.0,,,,,,11.0,7.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,38w2cnl8iapo60shv15xjl8no,T. D'Avilla,Midfielder,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
