dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
22,,FC Naples,FC_Naples,US Open Cup,Defender,USA,23vpsspbg4wdsnpy918h077kk,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/23vpsspbg4wdsnpy918h077kk
4,,FC Naples,FC_Naples,US Open Cup,Defender,Nicaragua,26ch3v6i6cj0evk767slxcqhg,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/26ch3v6i6cj0evk767slxcqhg
,,FC Naples,FC_Naples,US Open Cup,,USA,26cx07mlkl04r7chqrse27384,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/26cx07mlkl04r7chqrse27384
12,,FC Naples,FC_Naples,US Open Cup,Defender,Haiti,3o5p74ii3tuo8b41bvls0qdck,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/3o5p74ii3tuo8b41bvls0qdck
31,,FC Naples,FC_Naples,US Open Cup,Defender,USA,3tkozgjy5eav65i3668aumw6i,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/3tkozgjy5eav65i3668aumw6i
34,,FC Naples,FC_Naples,US Open Cup,Goalkeeper,USA,3vmjzpd99qcobzd4xivpbd7h0,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/3vmjzpd99qcobzd4xivpbd7h0
19,,FC Naples,FC_Naples,US Open Cup,Midfielder,Colombia,48luq2cgvsxthnitv05jepyqc,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/48luq2cgvsxthnitv05jepyqc
7,,FC Naples,FC_Naples,US Open Cup,Attacker,USA,4hdai9za2ls03tjpcw0ahu5wq,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/4hdai9za2ls03tjpcw0ahu5wq
2,,FC Naples,FC_Naples,US Open Cup,Defender,USA,4sgoa43sm2aq67rbvh4ulj6y,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/4sgoa43sm2aq67rbvh4ulj6y
11,,FC Naples,FC_Naples,US Open Cup,Attacker,USA,4wgjayv8s85dueh5l88im6lwq,81zwbmxqrp7syzbg24sqcce1g,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/81zwbmxqrp7syzbg24sqcce1g/player/view/4wgjayv8s85dueh5l88im6lwq
