dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
30,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Goalkeeper,USA,12wcwqu2liyd0zv8ramcevh1w,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/12wcwqu2liyd0zv8ramcevh1w
6,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Defender,Liberia,1mp51fueitndhajukl5mcooic,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/1mp51fueitndhajukl5mcooic
,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Attacker,Costa Rica,2qppysxegulhzadlh4z4t3wus,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/2qppysxegulhzadlh4z4t3wus
10,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Attacker,USA,3qh84bqun29zl8i7h2xm499uc,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/3qh84bqun29zl8i7h2xm499uc
1,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Goalkeeper,Canada,3sh1nv3keatzqq5w1x6s8zdas,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/3sh1nv3keatzqq5w1x6s8zdas
14,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Defender,USA,42dx9hj8pk5izd9ky4qk2wf10,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/42dx9hj8pk5izd9ky4qk2wf10
4,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Defender,USA,4ou0t46aipxm5xepak61isphw,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/4ou0t46aipxm5xepak61isphw
18,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Midfielder,Denmark,543zce776jqie9e1gblh6uyvo,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/543zce776jqie9e1gblh6uyvo
27,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Midfielder,Republic of Ireland,5px0irpoeie3z15n7z8jaqns9,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/5px0irpoeie3z15n7z8jaqns9
11,,Flint City Bucks,Flint_City_Bucks,US Open Cup,Midfielder,USA,6y4dhco5w4ontgfdtl1oj06xg,d98xhc5e2i2657btdpwmoor0d,2bmwykmdlcc2u1c40ytoc39vy,5e1xetw29nk8519zs133hf28k,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/teams/view/d98xhc5e2i2657btdpwmoor0d/player/view/6y4dhco5w4ontgfdtl1oj06xg
