liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Backward Passes,Duels,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels won,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Own Player,Time Played,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Corners Won,Duels lost,Handballs conceded,Interceptions,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Starts,Successful Launches,Successful Lay-offs,Successful Long Passes,Tackles Lost,Tackles Won,Total Clearances,Total Fouls Conceded,Total Tackles,Blocks,Corners Taken (incl short corners),Hit Woodwork,Penalties Off Target,Penalties Taken,Substitute Off,Successful Corners into Box,Successful Dribbles,Throw Ins to Opposition Player,Total Big Chances Missed,Unsuccessful Corners into Box,Foul Attempted Tackle,Ground Duels lost,Offsides,Shots On Target ( inc goals ),Yellow Cards,Times Tackled,Unsuccessful Crosses open play,Unsuccessful Dribbles,Blocked Shots,GK Successful Distribution,Goal Kicks,Foul Won Penalty,Catches,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Goals Conceded Outside Box,Overruns,Penalty Goals Conceded,Penalties Conceded,GK Unsuccessful Distribution,Penalties Faced,Unsuccessful lay-offs,Carries,Progressive Carries,Total Big Chances Created,Goals,Goals Openplay,Goals from Inside Box,Right Foot Goals,Total Big Chances Scored,Home Goals,Away Goals,Attempts from Set Pieces,Penalty Goals,Assists (Intentional),Goal Assists,Straight Red Cards,Total Red Cards,Clean Sheets,Left Foot Goals,Through balls,Headed Goals,Goalkeeper Smother,Own Goal Scored,Red Cards - 2nd Yellow,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Drops,Penalties Saved,Saves from Penalty,Clearances Off the Line,Second Goal Assists,Saves made - caught,Crosses not Claimed,Other Goals,Last Player Tackle
USA_US_Open_Cup,2026,Flower City Union,58u67kq1g760n2blfvh0jjok4,M. Bamford,Defender,6,1.0,2.0,5.0,3.0,1.0,10.0,1.0,9.0,7.0,4.0,3.0,,1.0,18.0,1.0,9.0,,,,,,13.0,2.0,13.0,13.0,,90.0,1.0,10.0,22.0,,15.0,,7.0,35.0,,2.0,3.0,5.0,2.0,4.0,0.0,1.0,1.0,,,2.0,,2.0,,,1.0,1.0,,2.0,,2.0,3.0,,2.0,1.0,,,,,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,cadkc73g0g4u2b8db2aiplmhg,R. Brown,Defender,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,lazq5lzgrqpv7drdp0ple6p6,C. Burkhart,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,e03uoef75hv0qe7a618vbqr1m,M. Cunningham,Forward,77,1.0,,3.0,1.0,,2.0,1.0,4.0,3.0,3.0,1.0,,1.0,4.0,1.0,1.0,,,1.0,,,3.0,2.0,1.0,3.0,,35.0,,3.0,4.0,,3.0,,1.0,7.0,,,,1.0,,1.0,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,2.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,2ppf2joikg8q5wcfqumu4latw,L. Dodge,Defender,5,1.0,2.0,9.0,3.0,4.0,5.0,1.0,5.0,4.0,5.0,3.0,,,10.0,2.0,3.0,,,,,,5.0,2.0,3.0,4.0,,56.0,1.0,7.0,10.0,,5.0,1.0,5.0,20.0,,,,3.0,2.0,5.0,0.0,4.0,4.0,,,6.0,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,1.0,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,6h0m1do2eyoknerdd1ibmerro,D. Rice,Forward,10,1.0,2.0,3.0,1.0,2.0,4.0,1.0,7.0,5.0,2.0,1.0,,2.0,7.0,3.0,1.0,,,,,,4.0,2.0,4.0,4.0,,69.0,1.0,4.0,9.0,,6.0,,3.0,14.0,,3.0,3.0,1.0,2.0,,0.0,1.0,1.0,,,2.0,,1.0,,,1.0,1.0,,2.0,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,52u3me6iistj4ley2cphhgc2c,G. Egan,Midfielder,21,1.0,2.0,2.0,2.0,,1.0,1.0,4.0,3.0,2.0,2.0,,1.0,4.0,1.0,,,,1.0,,,3.0,,3.0,3.0,,34.0,2.0,1.0,4.0,,3.0,,1.0,9.0,,,,,1.0,1.0,0.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,cskpo644zovt9j91pjy9dqig9,S. Elias,Defender,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,9d153hf06rei8gwyyunzosno,R. Fitzgerald,Defender,3,1.0,1.0,11.0,5.0,,11.0,1.0,9.0,7.0,11.0,5.0,,1.0,13.0,4.0,,,,,,,5.0,,5.0,5.0,2.0,90.0,1.0,12.0,13.0,,5.0,,8.0,34.0,,1.0,2.0,5.0,3.0,6.0,0.0,,,,,6.0,,2.0,1.0,,1.0,,,,2.0,2.0,2.0,1.0,4.0,2.0,,,,,,,,,,,1.0,6.0,,,1.0,2.0,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,t08hzgzy2f1vctvbxgvm86qc,G. Rice,Midfielder,19,1.0,4.0,3.0,1.0,,5.0,1.0,6.0,5.0,2.0,1.0,,2.0,10.0,2.0,1.0,,,1.0,,,6.0,,6.0,6.0,,45.0,,6.0,12.0,,6.0,,6.0,17.0,,2.0,3.0,4.0,2.0,3.0,0.0,1.0,1.0,,,2.0,,1.0,1.0,,,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,3oil9aelgry38tw26kp1s8dg4,A. Grover,Midfielder,23,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,21.0,,,1.0,,1.0,,,3.0,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,bpg22gzq9vmts1jqyur91h4ic,J. Hopson,Midfielder,14,1.0,,11.0,6.0,5.0,10.0,1.0,9.0,7.0,3.0,2.0,,7.0,14.0,1.0,1.0,,2.0,,,,5.0,3.0,3.0,4.0,1.0,90.0,1.0,14.0,18.0,2.0,6.0,,12.0,33.0,,1.0,4.0,10.0,2.0,8.0,0.0,8.0,4.0,4.0,,5.0,,1.0,,,1.0,1.0,,2.0,1.0,,3.0,,1.0,2.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,8q65ch32f1qh3pusdkha0iot0,T. Horan,Midfielder,20,1.0,,1.0,,,3.0,1.0,3.0,2.0,1.0,,,3.0,7.0,,1.0,,,,,,3.0,1.0,2.0,3.0,1.0,45.0,,4.0,7.0,,3.0,,4.0,16.0,,1.0,1.0,3.0,1.0,3.0,0.0,,,,,1.0,,,,,1.0,,,,,,7.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,24o8475fg0zpgwasum6p6h0d0,N. Masucci,Midfielder,12,1.0,1.0,4.0,,3.0,3.0,1.0,5.0,4.0,4.0,,,2.0,8.0,1.0,2.0,,,,,,6.0,3.0,3.0,5.0,,56.0,,5.0,8.0,,6.0,,2.0,13.0,,,,1.0,1.0,2.0,0.0,,,,,4.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,4.0,,,1.0,3.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Flower City Union,bjynepnucg7xix0iqjk9cn4es,M. Mejia,Goalkeeper,13,1.0,,1.0,,,21.0,1.0,9.0,7.0,1.0,,,4.0,13.0,8.0,1.0,,,,,,7.0,5.0,11.0,4.0,,90.0,,10.0,26.0,,16.0,,10.0,45.0,,7.0,9.0,6.0,4.0,1.0,0.0,,,,,1.0,,,,,1.0,4.0,,12.0,,,5.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,11.0,7.0,,1.0,,8.0,6.0,2.0,,3.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
